#OTU ID,TL1a_FP_230,TL1a_FP_128,TL1a_FP_129,TL1a_FP_86,TL1a_FP_266,TL1a_FP_159,TL1a_FP_195,TL1a_FP_158,TL1a_DTT_127_Repeat,TL1a_DTT_157_Repeat,TL1a_FP_231,TL1a_FP_284,TL1a_FP_267,TL1a_FP_87,TL1a_FP_194,TL1a_FP_285,TL1a_DTT_284,TL1a_DTT_231,TL1a_FP_85,TL1a_DTT_267,TL1a_FP_127,TL1a_DTT_158,TL1a_FP_193,TL1a_FP_265,TL1a_DTT_129,TL1a_DTT_265,TL1a_DTT_285,TL1a_DTT_159,TL1a_FP_157,TL1a_DTT_195,TL1a_DTT_85,TL1a_DTT_86,TL1a_DTT_193,TL1a_DTT_230,TL1a_DTT_128,TL1a_DTT_283,TL1a_DTT_194,TL1a_DTT_229,TL1a_FP_283,TL1a_FP_229,TL1a_DTT_87,TL1a_DTT_266,TL1A_DTT_673,TL1A_FP_626,TL1A_DTT_675,TL1A_DTT_626,TL1A_FP_674,TL1A_DTT_674,TL1A_DTT_627,TL1A_FP_625,TL1A_FP_673,TL1A_FP_675,TL1A_FP_627,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,73,0,0,12,33,0,1,0,12,0,23,146,9,0,2,186,1,7,10,0,6,0,8,2,3,0,49,0,5,0,9,0,1,0,0,52,11,0,100,6,18,43,0,13,0,3,0,0,2,14,9,0,5,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,3,4,6,0,21,0,6,0,0,0,7,2,14,0,15,10,1,1,0,10,11,0,4,1,4,3,22,0,7,1,0,0,2,0,0,5,12,0,12,0,9,4,0,0,0,0,2,2,0,0,5,6,2,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,10350,23555,14777,8638,7416,13028,17380,14727,12238,8879,12270,3926,7229,4667,18157,3830,1174,10998,8312,12053,28515,3265,17226,8466,6587,1074,7660,14405,35427,7159,6538,3117,17653,1920,6780,5481,14657,35434,6548,5715,6396,7825,3926,2477,631,692,1589,601,419,1586,1639,1504,502,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,484,231,481,222,70,79,57,402,211,0,61,380,488,9,278,50,0,335,210,226,17,12,118,313,65,77,105,247,18,197,98,19,0,269,140,16,47,283,0,367,43,29,248,95,72,242,56,151,254,482,432,257,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,26754,9343,8989,25816,10727,613,23300,1797,7257,2122,26478,28718,10442,20971,27205,23352,5785,5443,32664,11380,20332,484,31201,7200,5958,1543,17124,2832,6701,8476,20460,13690,14449,6179,7058,28195,21637,839,27804,20649,12460,6408,1746,5210,8410,5952,5509,5942,2787,5914,10259,5614,3731,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,39,56,85,198,118,46,50,171,107,67,50,531,103,312,106,429,91,55,234,39,76,53,53,108,47,4,306,99,106,41,121,199,54,11,47,568,135,3,221,35,113,363,21,0,73,0,99,38,0,0,102,43,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,1092,817,1427,17526,12608,1623,3811,7242,1723,2766,1278,20290,7522,9118,6385,12785,6547,488,9558,2370,2224,1286,4975,4854,1127,415,14100,4529,17413,1461,9151,6458,2675,275,1089,8773,3672,54,8529,533,11588,2069,116,327,215,163,1074,175,34,259,603,718,132,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,0,24,21,0,0,1,0,22,10,135,4,0,0,1,1,1,0,0,0,0,14,25,1,0,0,48,0,226,0,0,51,6,16,0,0,0,0,4735,0,0,0,785,493,48,0,29,14,4,23,4,2,0,9,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,345,0,0,197,0,0,0,0,0,0,185,0,0,446,0,0,0,5,254,0,0,0,1,0,0,0,0,0,0,0,316,193,0,48,0,0,10,0,0,770,216,17,10,30,8,44,7,6,28,88,30,15,26,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,6225,899,857,3523,3833,257,506,455,1431,484,8333,191,2521,3127,142,551,252,456,3916,1082,770,100,128,1339,717,620,77,373,2393,273,1896,926,260,786,556,606,441,418,933,2647,3005,355,116,563,113,299,374,98,185,803,596,832,852,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella,2,0,0,187,0,0,0,0,0,0,31,0,0,937,0,0,0,1,266,0,0,0,1,0,0,0,0,0,0,0,96,106,0,16,0,0,0,0,0,1,214,0,0,17,20,15,46,22,44,27,193,53,20,
