	TL1a_FP_140	TL1a_FP_207	TL1a_FP_65	TL1a_FP_64	TL1a_FP_209	TL1a_FP_206	TL1a_FP_242	TL1a_FP_77	TL1a_FP_245	TL1a_FP_76	TL1a_FP_102	TL1a_FP_98	TL1a_FP_75	TL1a_FP_173	TL1a_FP_141	TL1a_FP_174	TL1a_FP_144	TL1a_FP_142	TL1a_FP_62	TL1a_FP_74	TL1a_FP_172	TL1a_FP_171	TL1a_FP_66	TL1a_FP_143	TL1a_FP_100	TL1a_FP_99	TL1a_FP_246	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1a_FP_101	TL1a_FP_244	TL1a_FP_63	TL1a_FP_243	TL1a_FP_170	TL1a_FP_205	TL1a_FP_73	TL1a_FP_139	TL1a_FP_169	TL1a_FP_61	TL1a_FP_241	TL1a_FP_97	TL1A_FP_641	TL1A_FP_689	TL1A_FP_638	TL1A_FP_640	TL1A_FP_685	TL1A_FP_686	TL1A_FP_639	TL1A_FP_687	TL1A_FP_637	TL1A_FP_688
TL1a_FP_140	0.0	1.494814837052033	0.6834365595120723	0.9091085335626693	3.982969520518892	2.045359614844006	0.9043660343492226	1.8957301199366592	3.3852699762091594	2.112620146582498	3.3403169522585316	0.9193792972218034	1.4618744761478069	3.57877555372514	0.946719530560659	3.5512006948762007	0.9790015007018003	2.8158216090116985	0.13990436129338682	2.397935121966995	3.231462297681022	0.4411914826453059	2.03030045696593	2.704616812160805	2.7033266443163857	1.2339991069353635	3.232385228061611	0.493263846086607	3.8311626588716976	3.185585177161329	4.214599855394662	2.75096661804477	0.3696420569279014	1.0400791307096697	1.5097487632731352	1.9671313734018971	0.7168412964002063	0.41366965844799186	1.1431492978307531	0.20155192389138446	0.9180339397354086	0.9750446745292927	2.175314811449263	2.1053402817831035	1.509822970460108	1.8097011498361482	2.4631518269708645	1.6372670148842248	2.3971513847561634	2.208710855003696	1.859346893397645	2.195608093175878
TL1a_FP_207	1.494814837052033	0.0	1.0665014114633349	1.2302753678643528	2.513842863987402	0.6722768367246359	0.783958870052417	1.570922952085446	2.3952821557652664	1.518221317922955	3.6502587333761864	1.150108922824709	1.6793481681888496	2.783807718394921	1.283838056482551	2.6464043239594606	0.9712629965584848	2.387765172474505	1.4964275610852844	2.6655921577785473	2.4436791566710063	1.3565248385865212	2.5611637969523304	2.302780138390312	2.8967587305779245	1.4482300812590816	2.064035671942891	1.057516268012909	2.718639350486593	1.7164574227600842	4.484734649734978	1.3124764993895983	1.4291318229242609	0.9559708759104377	1.2700239153386919	0.5125504999196756	1.0950142812522445	1.4060694925384591	1.0575500384301753	1.6373422047448942	0.617847531366481	1.2369577797180462	1.8352333147559636	1.5743591527236631	2.153901615508624	1.3351189493077298	2.865691211259251	2.3310530562217484	2.7111960757341076	2.438347156494811	2.1312671538357444	1.7202426419171866
TL1a_FP_65	0.6834365595120723	1.0665014114633349	0.0	1.166994302860512	3.561219824663945	1.4725222356368053	0.8709290254579477	2.0536421623723395	3.2953675629419776	2.1656638675100983	3.796577231533021	1.1410059421391243	1.8015827282963597	3.5930627868350755	1.2403816886513803	3.520584629918388	1.0893352877197962	2.9754045510955542	0.7118406014155152	2.8253898867547087	3.194240736007424	0.40452800337884603	2.5339553535787185	2.8778100616793747	3.102151358538457	1.5232909306311349	3.053757734277445	0.6330738747970035	3.6657650936985613	2.72449866257355	4.643495148693251	2.378721184083186	0.8709120624607919	1.1184402658361223	1.6569138737598743	1.5778634101779216	0.9051206841991584	0.8803687999952708	1.275821050013663	0.792381739206707	0.7069874989297091	1.2265942845559705	2.3197374945778964	2.150035057602664	1.991231948816702	1.8495639143841882	2.9220614185748413	2.1614167758359684	2.8213044740792297	2.5976143833977132	2.2389180391451027	2.2977871939342718
TL1a_FP_64	0.9091085335626693	1.2302753678643528	1.166994302860512	0.0	3.4263392659422744	1.8856266729791058	0.4656381797937113	1.025808818154058	2.530773280284814	1.234102918079751	2.6434617174549184	0.13317992603769746	0.6550448253016761	2.683806130286534	0.14943388427493923	2.6832438646707137	0.4161235889190384	1.9131632259121263	0.8514083916000063	1.679637687913231	2.3632719675849607	1.181822361039515	1.434479024461514	1.8141705062768367	1.9367916289698572	0.35808901387195047	2.4531729085831815	0.5941752649588278	3.0090677684358322	2.7024277611536793	3.5154520573854486	2.2132155284774684	0.5714635283682092	0.29923609150438024	0.6726378852300311	1.5297258060312722	0.2634936131178013	0.528836352062418	0.3515502240379652	0.9799054779563933	0.6924032984420518	0.07441246029714113	1.2683108744358473	1.2194211526405248	0.9514532613798121	0.9369553724752623	1.784116665255041	1.1198370538962152	1.6692259700350387	1.433920374760924	1.0800890802763898	1.2912569781845902
TL1a_FP_209	3.982969520518892	2.513842863987402	3.561219824663945	3.4263392659422744	0.0	2.1902508499011044	3.1307161914452806	2.9807597071302276	1.9774633021990309	2.6455677187280875	4.792168605184529	3.356098390539898	3.5152297955606766	2.530402510491211	3.4536855841613705	2.2497028165538464	3.2010866011939307	3.043697214228573	3.968942723936525	4.075622389641616	2.449424240644004	3.8677907975090036	4.267962324094545	3.058302378075449	4.126738041041976	3.4244805178187776	1.5128405940289662	3.5119032015081757	1.7263170306452145	0.9056385679467053	5.387939535600336	1.2623014969136812	3.8373891404022364	3.137426697771835	3.0356091989889604	2.019274491504031	3.423459355420562	3.8026159749224435	3.1421975776348283	4.115240277822132	3.0661863764975394	3.393670394901269	2.9998387198245426	2.727828109070934	4.088952234154472	2.793445003530863	4.33865817736327	4.244198246218352	4.142974743840736	3.8902708291568895	3.7642039037641677	2.8089260811805503
TL1a_FP_206	2.045359614844006	0.6722768367246359	1.4725222356368053	1.8856266729791058	2.1902508499011044	0.0	1.440669543183557	2.1546793929448946	2.5968206358056123	2.0227483875540195	4.252317991522975	1.8147190924281504	2.334152332509939	3.0749513404386026	1.9498501995418414	2.8996895973908425	1.643141914022977	2.8616549160252136	2.0503767101295067	3.295620222672267	2.7009779732332877	1.817192395726422	3.2185248411059018	2.799480884604344	3.495760853713277	2.0989518918517676	2.1814316743955855	1.6680549200335768	2.7871329382094827	1.3533865382047479	5.038267887808729	1.1940820230821867	2.037130616430903	1.6133216974581792	1.9028062621447754	0.6743054311365699	1.734376505799986	2.0167043852302875	1.72246876927031	2.176730242957882	1.2492732429231956	1.8956967404378775	2.3563649645434555	2.05107966197448	2.793110051725235	1.8600782773631932	3.489252617455662	2.983954420443336	3.3260157566546216	3.053403651240758	2.7570619944101287	2.229003727253575
TL1a_FP_242	0.9043660343492226	0.783958870052417	0.8709290254579477	0.4656381797937113	3.1307161914452806	1.440669543183557	0.0	1.1863630820191158	2.510558425820609	1.3042749245470238	3.0539200683557963	0.39173982537875823	1.025258543398287	2.756619379333518	0.5276622714690197	2.700064641604242	0.3160053225918944	2.1086262054585725	0.8801388937113944	2.0632558585310186	2.424163415209969	0.9950718537395814	1.8660421090144699	2.0073786229394033	2.324903051822789	0.7572617680614779	2.331772742292411	0.43156015145936993	2.9444719824051684	2.371571839766677	3.9228641753612905	1.8981135825462012	0.7103503775928329	0.2704394049035799	0.7975964825488556	1.150900706038632	0.32583418278753595	0.6793124770783627	0.42657590398301554	1.0307404405666905	0.23944995838247077	0.48782876190880403	1.4765283927411428	1.328578452562003	1.414739858591815	1.0302087765532124	2.215945134773822	1.5839034136903938	2.0866108656526756	1.8327435610068883	1.492324551097904	1.4360643240859925
TL1a_FP_77	1.8957301199366592	1.570922952085446	2.0536421623723395	1.025808818154058	2.9807597071302276	2.1546793929448946	1.1863630820191158	0.0	1.6958490870978042	0.388866851889473	2.1568757206405587	0.9867530567496766	0.6299848070568961	1.7541481381998494	0.9603571157420875	1.739334556749771	0.9958595363985536	0.9840348684020458	1.861444425356601	1.1907515899520444	1.681812295522416	2.1048421803874144	1.2957744517732674	0.8410994282863122	1.411033260562424	0.7676003263531945	1.702238865323033	1.5009110729297996	2.262964797653318	2.472540376591202	3.0637366323919033	1.881365627469245	1.577728195306647	0.9549052544563883	0.40483252974214484	1.541401433213599	1.2419717642179877	1.5416694442693413	0.7859939993919415	1.9901836699677256	1.3854497298855886	0.9522388568901959	0.6064041601673156	0.6958408859814842	1.2888274489250733	0.6520947255090866	1.506239353609053	1.3526535284941417	1.334088069490536	1.0476026856142469	0.8978237593978459	0.46320852328020534
TL1a_FP_245	3.3852699762091594	2.3952821557652664	3.2953675629419776	2.530773280284814	1.9774633021990309	2.5968206358056123	2.510558425820609	1.6958490870978042	0.0	1.3428572576604392	2.925904879946421	2.4988053057740944	2.286233747681127	0.5832384055557961	2.5269462380549186	0.4725123025213022	2.46251402817993	1.221868192309725	3.337065548111382	2.439250173108573	0.7695080774583298	3.496153906200255	2.761960162026992	1.3143309159639158	2.3562396301979973	2.3275679787760266	0.5882999250541747	2.9305387209334106	0.6158607008697994	1.9227899596046312	3.450262337984636	1.6350867303495686	3.090556197468691	2.3455502357920963	1.9842688717161026	1.99816330920873	2.676531787155651	3.0461211020617407	2.27247165777329	3.4784855274077	2.6051379141849953	2.4712640316387944	1.4914638023725506	1.3973624651304033	2.773440491529912	1.6440655598148504	2.658022288303828	2.872856501701927	2.468667237303622	2.274205502116547	2.293431218731748	1.3466660394662104
TL1a_FP_76	2.112620146582498	1.518221317922955	2.1656638675100983	1.234102918079751	2.6455677187280875	2.0227483875540195	1.3042749245470238	0.388866851889473	1.3428572576604392	0.0	2.3298107520367206	1.1978829594324147	0.9673054574850055	1.4756042253911221	1.2062354731303873	1.4499360615641474	1.1882409806462373	0.8734902784981962	2.070154094631695	1.4700292245074185	1.3471921208016444	2.282853340122363	1.6252204364114602	0.7894106661805861	1.5903385284470488	1.0140040646325374	1.3497247599929976	1.6832719882514564	1.8898199138287883	2.160975211873811	3.1478398096985707	1.6101280729272156	1.8018313968562334	1.0928649161395494	0.6521708048922299	1.378560831301474	1.4159424675374768	1.7607179903478378	0.9756673545357946	2.206966262235476	1.4661617539305551	1.167138707318012	0.5185033150422149	0.4646094300562709	1.5562547736911287	0.5335102093088175	1.735070953504275	1.656662713207502	1.5466823277457866	1.2727520731094746	1.1473622803936157	0.2694957531779269
