index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobia
Luminal,0.0,47820.0,7601.0,1852.0,9016.0
Mucosal,9.0,47291.0,8267.0,1173.0,10274.0
