OTU.ID,TL1a_FP_162,TL1a_FP_88,TL1a_FP_230,TL1a_FP_89,TL1a_FP_234,TL1a_FP_128,TL1a_FP_129,TL1a_FP_287,TL1a_FP_86,TL1a_FP_198,TL1a_FP_161,TL1a_FP_266,TL1a_FP_197,TL1a_FP_159,TL1a_FP_132,TL1a_FP_130,TL1a_FP_90,TL1a_FP_195,TL1a_FP_158,TL1a_FP_231,TL1a_FP_284,TL1a_FP_267,TL1a_FP_269,TL1a_FP_288,TL1a_FP_87,TL1a_FP_196,TL1a_FP_131,TL1a_FP_270,TL1a_FP_160,TL1a_FP_194,TL1a_FP_286,TL1a_FP_232,TL1a_FP_233,TL1a_FP_268,TL1a_FP_285,TL1a_FP_85,TL1a_FP_127,TL1a_FP_193,TL1a_FP_265,TL1a_FP_157,TL1a_FP_283,TL1a_FP_229,TL1A_FP_626,TL1A_FP_677,TL1A_FP_674,TL1A_FP_678,TL1A_FP_625,TL1A_FP_630,TL1A_FP_673,TL1A_FP_675,TL1A_FP_627,taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,68,4,0,0,12,23,8,51,0,0,56,0,1,5,0,0,1,0,9,0,99,0,0,17,3,0,0,1,0,9,0,0,51,23,21,17,0,7,4,20,1,15,0,5,0,4,6,4,5,40,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,47,30,10,43,0,0,2,0,25,28,15,0,22,0,0,17,0,0,0,12,0,0,0,0,45,0,0,25,8,0,0,0,2,15,0,32,0,0,0,0,0,4,3,0,3,13,2,4,9,2,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,2,47,2,2,4,4,7,11,36,2,4,9,4,8,7,46,6,4,0,4,707,7,14,263,2,6,66,41,3,2,41537,106,10,7,1397,35,63,9,3,47,268,3,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,0,0,15,0,12,76,36,0,0,0,0,180,27,0,6,22,0,2,0,25,0,104,22,0,0,10,63,18,3,12,0,151,14,89,11,11,105,17,204,0,15,9,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,2,2155,608,2,0,886,177,207,2635,3,1,340,49,58,150,54,143,83,37,562,177,304,6,309,3197,75,27,0,51,40,176,37,0,134,292,1174,175,6,121,307,854,138,167,2,24,0,38,104,31,102,101,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,17,0,0,6,0,0,0,0,0,5,9,0,6,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,94,41,24,79,0,2,7,55,39,20,31,55,11,38,90,23,0,4,17,18,18,110,0,14,5,6,7,29,28,2,38,0,11,77,74,47,9,2,62,84,88,3,24,11,14,0,19,10,23,32,16,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,57,0,64,11,0,28,17,0,0,0,22,15,13,0,0,3,0,0,0,79,1,32,0,0,0,0,0,7,0,0,14,2,3,23,21,0,41,0,3,0,50,4,15,0,5,2,4,8,3,13,19,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1583,1160,1963,2077,52,8315,3635,623,914,1235,758,1728,719,365,1224,617,335,1308,564,1129,891,2141,224,460,961,723,179,904,599,125,1078,69,95,1313,4714,1140,3528,75,396,1145,6443,332,462,104,175,70,139,235,238,645,459,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,4,25,63,0,0,129,131,51,16,75,0,111,352,16,13,0,0,32,9,50,193,134,20,112,1,24,29,0,14,2,250,0,12,84,3563,59,133,1,3,26,1756,22,72,1,103,6,36,59,153,168,123,
