OTU.ID,TL1a_FP_162,TL1a_FP_88,TL1a_FP_230,TL1a_FP_89,TL1a_FP_234,TL1a_FP_128,TL1a_FP_129,TL1a_FP_287,TL1a_FP_86,TL1a_FP_198,TL1a_FP_161,TL1a_FP_266,TL1a_FP_197,TL1a_FP_159,TL1a_FP_132,TL1a_FP_130,TL1a_FP_90,TL1a_FP_195,TL1a_FP_158,TL1a_FP_231,TL1a_FP_284,TL1a_FP_267,TL1a_FP_269,TL1a_FP_288,TL1a_FP_87,TL1a_FP_196,TL1a_FP_131,TL1a_FP_270,TL1a_FP_160,TL1a_FP_194,TL1a_FP_286,TL1a_FP_232,TL1a_FP_233,TL1a_FP_268,TL1a_FP_285,TL1a_FP_85,TL1a_FP_127,TL1a_FP_193,TL1a_FP_265,TL1a_FP_157,TL1a_FP_283,TL1a_FP_229,TL1A_FP_626,TL1A_FP_677,TL1A_FP_674,TL1A_FP_678,TL1A_FP_625,TL1A_FP_630,TL1A_FP_673,TL1A_FP_675,TL1A_FP_627,taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__UBA1819,516,0,0,108,0,0,0,0,0,1710,69,0,101,0,0,87,17,0,0,0,0,0,31,0,0,0,0,70,22,0,0,3,24,38,0,0,0,0,0,0,0,0,0,8,0,20,0,3,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,109,0,0,251,0,0,0,0,0,298,80,0,120,0,0,111,7,0,0,0,0,0,22,0,0,0,0,94,3,0,0,0,11,37,0,0,0,0,0,0,0,0,0,49,0,28,0,11,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Candidatus_Stoquefichus,31,0,0,211,0,0,0,0,0,21,50,0,67,0,0,154,54,0,0,0,0,0,10,0,0,0,0,144,3,0,0,0,26,34,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,1,0,2,0,37,1,0,30,0,5,4,215,11,25,202,4,0,1,20,8,153,96,359,274,0,6,6,13,9992,1,700,280,65,246,116,0,4,1,54,29,65,5,6,3,3,0,5,3,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium,36,0,2,166,2,1,9,31,0,63,55,76,139,1,8,92,110,9,24,0,64,6,6,11,0,29,0,22,1,4,37,8,24,13,51,0,29,36,41,34,24,1,5,12,0,17,4,2,3,0,3,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,1,12,2,0,6,14,15,748,57,20,3,6,14,0,18,108,145,2,2,2,216,10,78,802,3,6,113,16,329,4,1765,87,50,62,356,36,41,2,9,0,146,0,77,221,7,0,84,57,20,12,17,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,67,2,0,157,0,2,0,0,0,32,43,0,77,0,0,106,39,0,0,0,0,0,25,0,0,0,0,94,4,0,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,63,0,0,0,12,0,0,0,0,93,50,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,91,2,0,0,8,58,11,0,0,0,0,0,0,0,0,0,20,0,46,2,16,0,0,0,
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium,0,0,0,2489,0,0,8,0,14,0,0,0,0,0,0,570,80,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,7,0,0,0,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,2613,25,0,1340,0,1,0,0,0,0,1041,0,0,0,4,703,165,0,6,0,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,21,0,0,0,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,3,185,291,0,2010,0,3,470,125,0,43,322,45,16,352,0,135,0,75,934,0,588,7775,103,31,3,8,609,14098,0,92,636,2538,3336,1,277,0,1,12,281,11,12,19,1,156,42,9,37,32,236,72,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,1062,18,0,955,28,3,8,1032,5,1,1586,90,17,0,0,2244,572,0,4,0,0,47,27,308,0,0,9,37,20,0,349,9,7,39,1,0,0,0,10,0,0,0,45,576,10,467,46,141,4,5,18,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,0,38,0,45,6,0,0,0,58,55,0,120,28,24,57,8,9684,0,29,0,9,40,1208,42,5,0,7,406,4859,0,10,0,18,343,7,19,0,0,168,139,16,0,0,2069,0,24,0,0,1,0,0,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella,0,0,0,7,0,0,0,0,0,150,0,0,0,0,0,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0,0,0,0,0,0,0,0,0,908,0,0,0,0,0,0,12,0,0,0,0,0,182,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,27534,202,20,16963,66,131,10,1097,112,2158,14278,6,2360,0,8,8147,18901,35,10,4,49,7,544,154,881,11,10,1223,657,21,73,27,505,184,111,208,1,16,26,0,2,14,1174,4635,222,3260,1955,857,697,94,696,
