index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia
Cecum,51.0,8518.0,90.0,39351.0,50308.0,3224.0,86.0,54.0
Duodenum,79.0,10787.0,21.0,47.0,44726.0,3494.0,11.0,48.0
Distal_Colon,94.0,11227.0,72.0,8461.0,55650.0,5374.0,23.0,370.0
Ileum,51.0,9556.0,28.0,494.0,46646.0,3103.0,28.0,54.0
Jejunum,78.0,8869.0,16.0,38.0,37920.0,3506.0,9.0,76.0
Proximal_Colon,54.0,5560.0,106.0,2141.0,34765.0,3148.0,98.0,49.0
