index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia
Mucosal,64.0,8311.0,89.0,17007.0,46522.0,3853.0,71.0,148.0
Luminal,264.0,16081.0,57.0,58.0,46011.0,1188.0,59.0,394.0
