"","Bifidobacterium","Eggerthellaceae (f)","DNF00809","Enterorhabdus","Parvibacter","Bacteroides","Odoribacter","Muribaculaceae (f)","Muribaculum","Alistipes","Rikenella","Rikenellaceae_RC9_gut_group","Parabacteroides"," (f)","Mucispirillum","Listeria","Staphylococcus","Enterococcus","Lactobacillus","Streptococcus"," (f)","Christensenellaceae (f)","Christensenellaceae_R.7_group","Candidatus_Arthromitus","Clostridiales_vadinBB60_group (f)","Defluviitaleaceae_UCG.011","Anaerofustis","Family_XIII (f)","Family_XIII_AD3011_group","Family_XIII_UCG.001","Lachnospiraceae (f)","A2","ASF356","Acetatifactor","Blautia","GCA.900066575","Lachnoclostridium","Lachnospiraceae_FCS020_group","Lachnospiraceae_NK4A136_group","Lachnospiraceae_UCG.001","Lachnospiraceae_UCG.004","Lachnospiraceae_UCG.006","Lachnospiraceae_UCG.010","Marvinbryantia","Roseburia","Shuttleworthia","Tyzzerella","Peptococcaceae (f)","Ruminococcaceae (f)","Anaerotruncus","Butyricicoccus","Faecalibacterium","Flavonifractor","GCA.900066225","Intestinimonas","Oscillibacter","Ruminiclostridium","Ruminiclostridium_5","Ruminiclostridium_6","Ruminiclostridium_9","Ruminococcaceae_NK4A214_group","Ruminococcaceae_UCG.003","Ruminococcaceae_UCG.009","Ruminococcaceae_UCG.010","Ruminococcaceae_UCG.014","Erysipelotrichaceae (f)","Candidatus_Stoquefichus","Faecalibaculum","Turicibacter"," (f)","Mitochondria (f)","Bilophila","Desulfovibrio","Parasutterella","Escherichia.Shigella","Anaeroplasma","Akkermansia"
"Luminal",148,16,96,32,2,1040,108,10393,524,172,21,31,187,18,97,27,346,6,38747,272,8,4,5,403,39,6,7,15,1,12,1909,95,45,60,13,26,1119,76,698,81,3,2395,1,265,63,6,1,20,146,42,74,4,2,3,74,85,64,52,3,98,8,8,6,6,95,9,13,15794,4740,3,156,23,1448,285,79,50,437
"Mucosal",31,5,25,6,1,190,38,8831,456,102,14,16,68,21,200,172,194,82,26506,241,3,2,2,7901,32,3,2,4,1,8,852,11,24,24,25,9,761,23,208,72,2,764,1,104,49,2,1,17,60,29,49,6,1,3,40,32,25,29,4,59,4,3,3,1,22,4,4,3449,1202,3,1,22,627,253,2456,16,59
