"","k__Bacteria.p__Actinobacteria","k__Bacteria.p__Bacteroidetes","k__Bacteria.p__Cyanobacteria","k__Bacteria.p__Deferribacteres","k__Bacteria.p__Firmicutes","k__Bacteria.p__Proteobacteria","k__Bacteria.p__Tenericutes","k__Bacteria.p__Verrucomicrobia"
"Proximal_Colon_L",319,15035,64,125,42343,1054,66,364
"Cecum_L",195,13125,52,5,45853,1618,67,208
"Distal_Colon_L",274,20081,58,43,49852,892,44,609
"Cecum_M",51,8518,90,39351,50308,3224,86,54
"Distal_Colon_M",94,11227,72,8461,55650,5374,23,370
"Proximal_Colon_M",54,5560,106,2141,34765,3148,98,49
