feature,coef,annotation
K03077,-1.25853913,Ascorbate and aldarate metabolism
K03476,-1.300367425,Ascorbate and aldarate metabolism
K03079,-1.143483207,Ascorbate and aldarate metabolism
K02822,-1.295362829,Ascorbate and aldarate metabolism
K03475,-1.275990663,Ascorbate and aldarate metabolism
K02821,-1.002595594,Ascorbate and aldarate metabolism
K03410,-1.112307589,Bacterial chemotaxis
K03411,-0.9132430352,Bacterial chemotaxis
K02416,-0.623740864,Bacterial chemotaxis
K02410,-0.6034856064,Bacterial chemotaxis
K02557,-0.4738503296,Bacterial chemotaxis
K02417,-0.5809224177,Bacterial chemotaxis
K02456,-1.395726758,Bacterial secretion system
K03199,-0.3582406888,Bacterial secretion system
K03195,-0.3533203332,Bacterial secretion system
K03196,-0.3533203332,Bacterial secretion system
K03200,-0.3533203332,Bacterial secretion system
K03203,-0.3533203332,Bacterial secretion system
K03204,-0.3533203332,Bacterial secretion system
K13820,-2.211394942,Flagellar assembly
K02414,-0.9487375404,Flagellar assembly
K02413,-0.7024730571,Flagellar assembly
K02418,-0.7214130051,Flagellar assembly
K02392,-0.6388347834,Flagellar assembly
K02411,-0.6767185315,Flagellar assembly
K02389,-0.6944264266,Flagellar assembly
K02409,-0.6691887949,Flagellar assembly
K02397,-0.6974197723,Flagellar assembly
K02407,-0.6499985819,Flagellar assembly
K02390,-0.6197583891,Flagellar assembly
K02412,-0.6024320814,Flagellar assembly
K02419,-0.6024320814,Flagellar assembly
K02387,-0.6042225452,Flagellar assembly
K02420,-0.6037647722,Flagellar assembly
K02408,-0.6070938044,Flagellar assembly
K02388,-0.5674807014,Flagellar assembly
K02422,-0.5766675593,Flagellar assembly
K02396,-0.5850794151,Flagellar assembly
K02400,-0.5660088973,Flagellar assembly
K07130,-1.551045725,Tryptophan metabolism
K03781,-0.7031760927,Tryptophan metabolism
K02406,-0.8020592526,Two-component system
K03408,-0.6984871798,Two-component system
K07699,-0.7377300064,Two-component system
K03563,-0.6325371282,Two-component system
K03406,-0.8172993951,Two-component system
K02405,-0.6220709308,Two-component system
K03412,-0.6174188399,Two-component system
K11617,1.048432464,Two-component system
K11618,1.040190068,Two-component system
K00575,-0.5744700541,Two-component system
K03407,-0.5475666979,Two-component system
K02556,-0.5137157075,Two-component system
K03413,-0.4946535466,Two-component system
K11712,-0.3549463522,Two-component system
K13041,-0.3551687965,Two-component system
K13040,-0.3555695068,Two-component system
K07658,-0.311018008,Two-component system
K03776,0.3480662335,Two-component system
