feature,coef,annotation
K03410,1.646279648,Bacterial chemotaxis
K03411,1.630834559,Bacterial chemotaxis
K02416,1.042067978,Bacterial chemotaxis
K02410,0.9889010094,Bacterial chemotaxis
K02557,0.8605954336,Bacterial chemotaxis
K02417,0.9614796506,Bacterial chemotaxis
K03409,1.247708673,Bacterial chemotaxis
K04784,-1.715343733,Biosynthesis of siderophore group nonribosomal peptides
K00216,-1.289526995,Biosynthesis of siderophore group nonribosomal peptides
K01252,-1.289526995,Biosynthesis of siderophore group nonribosomal peptides
K02363,-1.289526995,Biosynthesis of siderophore group nonribosomal peptides
K02364,-1.289526995,Biosynthesis of siderophore group nonribosomal peptides
K04781,-1.289526995,Biosynthesis of siderophore group nonribosomal peptides
K04783,-1.289526995,Biosynthesis of siderophore group nonribosomal peptides
K04785,-1.289526995,Biosynthesis of siderophore group nonribosomal peptides
K04786,-1.289526995,Biosynthesis of siderophore group nonribosomal peptides
K02392,1.071275407,Flagellar assembly
K04562,1.590652826,Flagellar assembly
K02418,1.114164734,Flagellar assembly
K02422,1.054734066,Flagellar assembly
K02388,0.9873412508,Flagellar assembly
K02412,0.9938386013,Flagellar assembly
K02419,0.9938386013,Flagellar assembly
K02421,0.995242475,Flagellar assembly
K02401,0.9933561675,Flagellar assembly
K02387,0.9860728696,Flagellar assembly
K02399,-1.289526995,Flagellar assembly
K02420,0.9906521798,Flagellar assembly
K02423,-1.289526995,Flagellar assembly
K02408,0.9870063348,Flagellar assembly
K02407,1.054270668,Flagellar assembly
K02397,1.034234397,Flagellar assembly
K02413,1.066812304,Flagellar assembly
K02396,1.022120224,Flagellar assembly
K02409,1.002978755,Flagellar assembly
K02400,0.9272585286,Flagellar assembly
K02389,0.9950277616,Flagellar assembly
K02411,0.9568804557,Flagellar assembly
K02391,-1.069339859,Flagellar assembly
K02390,0.8660020523,Flagellar assembly
K02398,0.9011125205,Flagellar assembly
K02414,0.7249087003,Flagellar assembly
K02502,1.242443466,Histidine metabolism
K01693,1.191897212,Histidine metabolism
K04486,0.8362657102,Histidine metabolism
K07008,-1.289526995,Histidine metabolism
K00817,0.7479956465,Histidine metabolism
K00013,0.745305092,Histidine metabolism
K02500,0.7444161649,Histidine metabolism
K02501,0.7442937371,Histidine metabolism
K01814,0.746503785,Histidine metabolism
K00765,0.736524977,Histidine metabolism
K13990,0.8428915557,Histidine metabolism
K01468,0.7924954525,Histidine metabolism
K01712,0.7879092637,Histidine metabolism
K11755,0.7622862134,Histidine metabolism
K00603,0.761390315,Histidine metabolism
K01745,0.7422056887,Histidine metabolism
K01496,0.4857593908,Histidine metabolism
K00146,-1.289526995,Phenylalanine metabolism
K02554,-1.289526995,Phenylalanine metabolism
K02609,-1.289526995,Phenylalanine metabolism
K02610,-1.289526995,Phenylalanine metabolism
K02611,-1.289526995,Phenylalanine metabolism
K02612,-1.289526995,Phenylalanine metabolism
K02613,-1.289526995,Phenylalanine metabolism
K02615,-1.289526995,Phenylalanine metabolism
K02618,-1.289526995,Phenylalanine metabolism
K04073,-1.289526995,Phenylalanine metabolism
K05708,-1.289526995,Phenylalanine metabolism
K05709,-1.289526995,Phenylalanine metabolism
K05710,-1.289526995,Phenylalanine metabolism
K05711,-1.289526995,Phenylalanine metabolism
K05712,-1.289526995,Phenylalanine metabolism
K05713,-1.289526995,Phenylalanine metabolism
K05714,-1.289526995,Phenylalanine metabolism
K10797,1.433328311,Phenylalanine metabolism
K00285,-1.099412565,Phenylalanine metabolism
K00074,0.8158289262,Phenylalanine metabolism
K01666,0.7100342935,Phenylalanine metabolism
K02614,0.5859138252,Phenylalanine metabolism
K01912,0.725891939,Phenylalanine metabolism
K06209,1.327882427,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K04517,1.047202764,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01609,1.050811339,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00766,1.049193018,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K11646,1.362015154,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01658,0.9858560033,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K06208,1.32438049,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00014,0.7562096549,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00891,0.821717741,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K05887,-1.289526995,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K14187,-1.289526995,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K03786,0.983510622,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K03856,0.9040491744,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K14170,0.8075710486,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00800,0.6751528517,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01736,0.6751733835,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01735,0.6712633448,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K13498,-1.305880879,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01626,0.8238185356,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01817,0.6572206658,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01657,0.6950123443,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K03785,0.4996386628,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K13853,-0.46385358,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00595,1.437483927,Porphyrin and chlorophyll metabolism
K04720,1.232681718,Porphyrin and chlorophyll metabolism
K02304,1.202224848,Porphyrin and chlorophyll metabolism
K06042,1.284036982,Porphyrin and chlorophyll metabolism
