# Constructed from biom file
#OTU ID	TL1a_FP_140	TL1a_FP_207	TL1a_FP_65	TL1a_FP_64	TL1a_FP_209	TL1a_FP_206	TL1a_FP_242	TL1a_FP_77	TL1a_FP_245	TL1a_FP_76	TL1a_FP_102	TL1a_FP_98	TL1a_FP_75	TL1a_FP_173	TL1a_FP_141	TL1a_FP_174	TL1a_FP_144	TL1a_FP_142	TL1a_FP_62	TL1a_FP_74	TL1a_FP_172	TL1a_FP_171	TL1a_FP_66	TL1a_FP_143	TL1a_FP_100	TL1a_FP_99	TL1a_FP_246	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1a_FP_101	TL1a_FP_244	TL1a_FP_63	TL1a_FP_243	TL1a_FP_170	TL1a_FP_205	TL1a_FP_73	TL1a_FP_139	TL1a_FP_169	TL1a_FP_61	TL1a_FP_241	TL1a_FP_97	TL1A_FP_641	TL1A_FP_689	TL1A_FP_638	TL1A_FP_640	TL1A_FP_685	TL1A_FP_686	TL1A_FP_639	TL1A_FP_687	TL1A_FP_637	TL1A_FP_688	taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	29.0	0.0	4.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	26.0	0.0	9.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	17.0	0.0	10.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	123623.0	39663.0	79396.0	48482.0	314.0	46039.0	63099.0	10889.0	10512.0	7076.0	18555.0	47803.0	34937.0	9243.0	43482.0	20314.0	62024.0	31423.0	47516.0	31767.0	873.0	109510.0	44549.0	48059.0	26832.0	37776.0	20436.0	47248.0	15043.0	1333.0	4735.0	56524.0	43235.0	68161.0	45089.0	39366.0	27186.0	45048.0	32027.0	34521.0	55484.0	31830.0	711.0	306.0	4132.0	243.0	7497.0	18070.0	6939.0	10989.0	11125.0	956.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	224.0	0.0	151.0	50.0	2.0	0.0	0.0	38.0	99.0	31.0	387.0	74.0	83.0	155.0	56.0	104.0	84.0	309.0	155.0	111.0	55.0	101.0	68.0	239.0	191.0	65.0	34.0	148.0	102.0	0.0	462.0	2.0	101.0	0.0	80.0	0.0	68.0	39.0	45.0	111.0	0.0	52.0	19.0	12.0	40.0	4.0	42.0	67.0	45.0	47.0	62.0	43.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	6.0	9.0	6.0	5.0	674.0	17.0	59.0	808.0	18257.0	2349.0	22455.0	86.0	953.0	14313.0	59.0	24115.0	164.0	8365.0	22.0	3427.0	18050.0	12.0	969.0	5619.0	9854.0	0.0	4770.0	88.0	29307.0	853.0	17215.0	834.0	8.0	113.0	504.0	34.0	65.0	14.0	223.0	27.0	13.0	38.0	1359.0	347.0	101.0	321.0	0.0	5.0	0.0	0.0	3.0	1013.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	125.0	25.0	524.0	0.0	11.0	290.0	5.0	143.0	0.0	67.0	3.0	61.0	1767.0	0.0	21.0	58.0	119.0	0.0	17.0	5.0	97.0	8.0	255.0	9.0	0.0	0.0	0.0	5.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	6.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	1.0	0.0	1.0	2.0	70.0	0.0	0.0	377.0	3845.0	1617.0	10113.0	45.0	586.0	4227.0	16.0	1626.0	8.0	1003.0	3.0	1552.0	660.0	1.0	212.0	594.0	4569.0	0.0	1076.0	22.0	6151.0	110.0	7983.0	49.0	2.0	30.0	27.0	0.0	15.0	3.0	36.0	2.0	2.0	0.0	25.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	24693.0	0.0	1806.0	2504.0	0.0	0.0	0.0	1479.0	0.0	1114.0	2396.0	6868.0	7578.0	129.0	3639.0	422.0	8775.0	2515.0	15268.0	9907.0	9.0	15162.0	575.0	6063.0	3673.0	3958.0	0.0	6724.0	0.0	0.0	20.0	0.0	5304.0	0.0	8276.0	0.0	5837.0	1434.0	3168.0	10671.0	0.0	1899.0	102.0	47.0	678.0	30.0	2222.0	4571.0	1394.0	3238.0	2049.0	154.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	16.0	97.0	267.0	0.0	11.0	17.0	0.0	87.0	0.0	0.0	0.0	45.0	0.0	0.0	31.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	615.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	520.0	0.0	297.0	163.0	31.0	0.0	0.0	177.0	790.0	105.0	3121.0	181.0	272.0	1152.0	230.0	1535.0	330.0	1052.0	418.0	736.0	4385.0	516.0	316.0	1072.0	1784.0	118.0	435.0	713.0	898.0	10.0	2898.0	21.0	397.0	0.0	237.0	0.0	146.0	166.0	371.0	450.0	0.0	302.0	69.0	47.0	142.0	21.0	181.0	411.0	228.0	241.0	472.0	115.0
