"BioGeo.TL1a_FP_77.REP1_S4_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_73.REP1_S3_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_65_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_61_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_241_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_209.REP1_S11_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_205_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_143_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_139_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_101.REP1_S6_R1_001.fastq_profiled_metagenome" "BioGeo.TL1A_FP_689.Rep1_S104_R1_001.fastq_profiled_metagenome" "BioGeo.TL1A_FP_685.REP1_S22_R1_001.fastq_profiled_metagenome" "BioGeo.TL1A_FP_641_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1A_FP_637_merged_R1_001.fastq_profiled_metagenome"
"BioGeo.TL1a_FP_77.REP1_S4_R1_001.fastq_profiled_metagenome" 0 1.73879261222631 0.717828505498673 1.97990576749133 1.03968676602944 2.8162373725244 1.78248495001401 0.875637735545939 1.18663358052176 0.969306229636996 1.28201070112339 1.67501310144535 1.62856766220267 1.4724691210971
"BioGeo.TL1a_FP_73.REP1_S3_R1_001.fastq_profiled_metagenome" 1.73879261222631 0 1.62735602042646 0.338595365749711 1.24798408571365 4.07340083078124 1.84208158754809 1.83444070851179 0.914131746636185 2.13441578148016 2.97706578337244 2.24259817480653 3.21378776035295 2.30249090898371
"BioGeo.TL1a_FP_65_merged_R1_001.fastq_profiled_metagenome" 0.717828505498673 1.62735602042646 0 1.90844189703254 0.55925570850952 2.57598465909791 1.32968189404558 1.48482733023384 0.8946981619286 1.54563797905926 1.78078362372316 2.11582957673866 2.06673931295362 1.95575620766441
"BioGeo.TL1a_FP_61_merged_R1_001.fastq_profiled_metagenome" 1.97990576749133 0.338595365749711 1.90844189703254 0 1.49114191821524 4.28605927061081 1.95982323509052 1.94736881110402 1.12155831108816 2.24643070495723 3.21476143679396 2.46153609805919 3.47466551014798 2.53463846604426
"BioGeo.TL1a_FP_241_merged_R1_001.fastq_profiled_metagenome" 1.03968676602944 1.24798408571365 0.55925570850952 1.49114191821524 0 2.83194574561939 0.944904466292434 1.54723000519464 0.391729814334631 1.64509584538123 2.25314740755605 2.37343836216894 2.57453723326244 2.26732125978263
"BioGeo.TL1a_FP_209.REP1_S11_R1_001.fastq_profiled_metagenome" 2.8162373725244 4.07340083078124 2.57598465909791 4.28605927061081 2.83194574561939 0 2.57152486796696 3.2995791745492 3.16956555550446 3.01601170500276 2.75326746800423 4.29778805329858 3.09239681882392 4.02363540368111
"BioGeo.TL1a_FP_205_merged_R1_001.fastq_profiled_metagenome" 1.78248495001401 1.84208158754809 1.32968189404558 1.95982323509052 0.944904466292434 2.57152486796696 0 2.09032034269498 1.03477316940914 2.05210141977337 2.85391157623949 3.28649683890182 3.26395615950537 3.16205013971095
"BioGeo.TL1a_FP_143_merged_R1_001.fastq_profiled_metagenome" 0.875637735545939 1.83444070851179 1.48482733023384 1.94736881110402 1.54723000519464 3.2995791745492 2.09032034269498 0 1.49116370783645 0.401515138345656 1.6019090082971 1.83698345392081 2.02306827808022 1.68054373443557
"BioGeo.TL1a_FP_139_merged_R1_001.fastq_profiled_metagenome" 1.18663358052176 0.914131746636185 0.8946981619286 1.12155831108816 0.391729814334631 3.16956555550446 1.03477316940914 1.49116370783645 0 1.64848003620894 2.45924821617023 2.36811864053137 2.78662146404151 2.30205509848886
"BioGeo.TL1a_FP_101.REP1_S6_R1_001.fastq_profiled_metagenome" 0.969306229636996 2.13441578148016 1.54563797905926 2.24643070495723 1.64509584538123 3.01601170500276 2.05210141977337 0.401515138345656 1.64848003620894 0 1.50183631175541 2.1380396814644 1.99813360887417 1.94115734601577
"BioGeo.TL1A_FP_689.Rep1_S104_R1_001.fastq_profiled_metagenome" 1.28201070112339 2.97706578337244 1.78078362372316 3.21476143679396 2.25314740755605 2.75326746800423 2.85391157623949 1.6019090082971 2.45924821617023 1.50183631175541 0 1.89207528010541 0.571899066203733 1.57233071814883
"BioGeo.TL1A_FP_685.REP1_S22_R1_001.fastq_profiled_metagenome" 1.67501310144535 2.24259817480653 2.11582957673866 2.46153609805919 2.37343836216894 4.29778805329858 3.28649683890182 1.83698345392081 2.36811864053137 2.1380396814644 1.89207528010541 0 1.76093477484939 0.321602468683682
"BioGeo.TL1A_FP_641_merged_R1_001.fastq_profiled_metagenome" 1.62856766220267 3.21378776035295 2.06673931295362 3.47466551014798 2.57453723326244 3.09239681882392 3.26395615950537 2.02306827808022 2.78662146404151 1.99813360887417 0.571899066203733 1.76093477484939 0 1.44789060129049
"BioGeo.TL1A_FP_637_merged_R1_001.fastq_profiled_metagenome" 1.4724691210971 2.30249090898371 1.95575620766441 2.53463846604426 2.26732125978263 4.02363540368111 3.16205013971095 1.68054373443557 2.30205509848886 1.94115734601577 1.57233071814883 0.321602468683682 1.44789060129049 0
