OTU.ID	TL1a_FP_162	TL1a_FP_88	TL1a_FP_230	TL1a_FP_89	TL1a_FP_234	TL1a_FP_128	TL1a_FP_129	TL1a_FP_287	TL1a_FP_86	TL1a_FP_198	TL1a_FP_161	TL1a_FP_266	TL1a_FP_197	TL1a_FP_159	TL1a_FP_132	TL1a_FP_130	TL1a_FP_90	TL1a_FP_195	TL1a_FP_158	TL1a_FP_231	TL1a_FP_284	TL1a_FP_267	TL1a_FP_269	TL1a_FP_288	TL1a_FP_87	TL1a_FP_196	TL1a_FP_131	TL1a_FP_270	TL1a_FP_160	TL1a_FP_194	TL1a_FP_286	TL1a_FP_232	TL1a_FP_233	TL1a_FP_268	TL1a_FP_285	TL1a_FP_85	TL1a_FP_127	TL1a_FP_193	TL1a_FP_265	TL1a_FP_157	TL1a_FP_283	TL1a_FP_229	TL1A_FP_626	TL1A_FP_677	TL1A_FP_674	TL1A_FP_678	TL1A_FP_625	TL1A_FP_630	TL1A_FP_673	TL1A_FP_675	TL1A_FP_627	taxonomy
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	236	23972	26753	20	84246	9343	8989	26666	25814	23768	568	10727	16137	613	7412	1164	1763	23300	1797	26480	28716	10442	31385	52874	20971	22061	12653	7486	6446	27205	18185	5083	29596	9171	23353	32666	20336	31201	7200	6701	27806	20649	5210	215	5506	1251	5912	4011	10259	5615	3731	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae RC9 gut group	8	0	3047	1	27	1977	2760	9334	0	51	45	11171	457	1092	5694	254	35	1143	1598	3801	1176	13965	5	5264	0	1550	74	132	483	1988	4087	247	106	5574	1080	120	5008	631	15950	11942	6636	3948	0	1	0	48	2	3	1	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	965	1156	1942	1453	39	9935	3994	750	940	674	424	1103	837	485	1113	454	302	1288	371	1103	429	1749	111	618	926	634	192	348	334	128	1043	48	57	925	6167	1183	3763	79	290	885	3986	147	427	72	237	55	110	202	308	686	463	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__	2	2154	608	2	0	886	176	208	2635	3	1	339	50	58	150	54	143	83	37	564	175	306	6	310	3197	75	27	0	51	40	175	37	0	133	292	1175	175	6	121	308	854	137	162	2	24	0	39	104	30	103	100	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group	253	25493	11237	38	133	9453	2860	2123	25001	691	235	598	766	748	1257	246	2317	1686	708	4557	65	1305	497	5083	62729	1269	499	688	2480	143	1423	588	1628	698	1258	9876	3745	95	341	457	5076	1040	2669	1727	3423	116	854	3872	3134	4326	9324	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	135084	7883	10347	103304	812	23555	14777	17323	8637	27206	62291	7379	28636	13028	34760	41178	5195	17377	14727	12276	3926	7229	15142	5582	4667	11194	317	65808	12419	18157	4883	397	6180	23002	3830	8312	28516	17225	8451	35428	6548	5712	2562	558	1591	182	1565	3086	1649	1508	502	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	139	1561	426	136	10	1598	826	223	1133	145	86	195	162	119	286	79	249	186	108	459	35	578	30	101	2024	103	33	43	146	16	119	6	13	287	225	1190	370	10	71	122	434	262	66	8	20	5	17	35	40	126	77	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] fissicatena group	187	3	0	550	0	2	0	0	0	152	127	0	59	0	6	111	7	0	0	0	0	0	23	0	0	0	0	87	9	0	0	0	13	36	0	0	0	0	0	0	0	0	0	6	0	9	0	19	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	63	0	0	0	12	0	0	0	0	93	50	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	91	2	0	0	8	58	11	0	0	0	0	0	0	0	0	0	20	0	46	2	16	0	0	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	1	0	2	0	37	1	0	30	0	5	4	215	11	25	202	4	0	1	20	8	153	96	359	274	0	6	6	13	9992	1	700	280	65	246	116	0	4	1	54	29	65	5	6	3	3	0	5	3	0	0	0	
