	chao1
GnotobioticExp-FP-188-S51	64.5
GnotoExpt-FP569-S85	140.4375
GnotoExpt-FP617-S313	220.25
GnotoExpt-DTT485-S633	20.0
GnotoExpt-DTT484-S632	15.5
806rcbc422-S327	58.90909090909091
806rcbc365-S500	113.6
806rcbc392-S297	73.83333333333333
GnotoExpt-DTT555-S167	70.75
806rcbc423-S424	108.0
GnotobioticExp-DTT-195-S205	87.375
GnotoExpt-DTT552-S163	234.24324324324323
GnotoExpt-DTT543-S154	57.6
GnotoExpt-DTT550-S161	139.07692307692307
GnotoExpt-DTT537-S148	60.5
806rcbc477-S382	126.84
GnotoExpt-DTT472-S620	10.25
GnotoExpt-DTT452-S600	31.0
GnotoExpt-DTT535-S146	67.33333333333333
GnotobioticExp-FP-199-S63	91.23076923076923
GnotoExpt-DTT480-S628	10.6
GnotoExpt-DTT556-S168	199.68965517241378
806rcbc533-S438	98.14285714285714
GnotoExpt-DTT611-S346	48.09090909090909
GnotobioticExp-FP-193-S57	87.16666666666667
806rcbc498-S403	111.11764705882354
GnotoExpt-DTT541-S152	98.0
GnotoExpt-FP562-S78	71.375
806rcbc481-S386	118.15789473684211
GnotoExpt-FP552-S67	183.58823529411765
GnotoExpt-FP610-S306	192.85714285714286
GnotoExpt-DTT538-S149	84.07692307692308
806rcbc381-S515	99.36363636363636
GnotoExpt-DTT557-S169	201.3
806rcbc421-S326	68.9375
806rcbc564-S469	65.6
GnotoExpt-FP452-S673	118.92857142857143
806rcbc179-S276	226.77777777777777
GnotobioticExp-DTT-189-S199	66.15384615384616
GnotoExpt-FP461-S682	152.6
GnotoExpt-DTT570-S182	567.1702127659574
GnotoExpt-DTT389-S535	106.17647058823529
GnotobioticExp-FP-209-S73	126.0909090909091
GnotoExpt-DTT539-S150	112.25
GnotoExpt-FP457-S678	106.5
806rcbc425-S330	65.11111111111111
GnotoExpt-FP456-S677	171.8846153846154
GnotoExpt-DTT564-S176	965.8583333333333
GnotoExpt-DTT565-S177	102.0
GnotoExpt-DTT607-S342	29.42857142857143
806rcbc175-S272	86.33333333333333
GnotobioticExp-FP-197-S61	157.75
GnotoExpt-DTT534-S145	472.875
806rcbc450-S451	164.0
GnotoExpt-DTT464-S612	29.333333333333332
GnotobioticExp-DTT-191-S201	163.11111111111111
GnotoExpt-FP554-S69	72.66666666666667
GnotoExpt-FP472-S693	81.0
806rcbc447-S448	52.0
806rcbc562-S467	84.42857142857143
806rcbc394-S299	116.5
806rcbc433-S338	78.875
GnotoExpt-FP475-S696	132.0
806rcbc492-S397	101.5
GnotobioticExp-FP-207-S71	82.0
GnotoExpt-DTT603-S338	120.78947368421052
GnotoExpt-DTT456-S604	16.5
806rcbc176-S273	82.6
GnotobioticExp-DTT-193-S203	118.83333333333333
GnotoExpt-DTT605-S340	41.14285714285714
806rcbc474-S379	124.5
GnotoExpt-FP455-S676	150.1818181818182
806rcbc432-S337	174.0
GnotoExpt-FP539-S54	128.5
GnotoExpt-FP558-S74	221.78571428571428
GnotoExpt-DTT476-S624	52.5
GnotoExpt-FP616-S312	161.66666666666666
806rcbc495-S400	66.5
806rcbc393-S298	111.2
GnotoExpt-FP453-S674	108.58823529411765
GnotoExpt-DTT596-S331	117.23076923076923
GnotoExpt-FP614-S310	134.43478260869566
GnotobioticExp-DTT-197-S207	156.0
806rcbc530-S435	89.0
GnotobioticExp-FP-175-S37	89.0
806rcbc523-S428	93.58333333333333
806rcbc558-S463	61.0
GnotoExpt-DTT451-S599	11.0
GnotoExpt-FP564-S80	155.375
GnotoExpt-DTT609-S344	108.76923076923077
GnotoExpt-FP536-S51	49.142857142857146
GnotobioticExp-DTT-178-S188	77.75
806rcbc454-S455	102.42857142857143
GnotoExpt-DTT560-S172	82.16666666666667
806rcbc466-S371	126.91304347826087
GnotoExpt-FP469-S690	79.0
GnotoExpt-DTT563-S175	1080.6792452830189
