	BioGeo-TL1a_FP_85_merged_R1_001.fastq_profiled_metagenome	BioGeo-TL1a_FP_233-REP1_S13_R1_001.fastq_profiled_metagenome	BioGeo-TL1a_FP_229-REP1_S12_R1_001.fastq_profiled_metagenome	BioGeo-TL1a_FP_197-REP1_S10_R1_001.fastq_profiled_metagenome	BioGeo-TL1a_FP_193-Rep1_S85_R1_001.fastq_profiled_metagenome	BioGeo-TL1a_FP_131_merged_R1_001.fastq_profiled_metagenome	BioGeo-TL1a_FP_127_merged_R1_001.fastq_profiled_metagenome	BioGeo-TL1A_FP_677-REP1_S21_R1_001.fastq_profiled_metagenome	BioGeo-TL1A_FP_673-REP1_S20_R1_001.fastq_profiled_metagenome	BioGeo-TL1A_FP_629_merged_R1_001.fastq_profiled_metagenome	BioGeo-TL1A_FP_625-REP1_S16_R1_001.fastq_profiled_metagenome
BioGeo-TL1a_FP_85_merged_R1_001.fastq_profiled_metagenome	0.0	3.1517844820602674	1.551483603042687	2.3834442860284972	3.0967486880191224	1.8124386706129971	0.7565989975062061	1.5561833809628973	2.078720455815791	3.1907804032849323	2.593759785094188
BioGeo-TL1a_FP_233-REP1_S13_R1_001.fastq_profiled_metagenome	3.1517844820602674	0.0	1.891758275446829	2.033560951544644	1.3679315169002608	1.9268260986216637	3.0590585437837166	2.4996935869094306	3.025981092094306	1.8037292079443548	1.2948741445050644
BioGeo-TL1a_FP_229-REP1_S12_R1_001.fastq_profiled_metagenome	1.551483603042687	1.891758275446829	0.0	1.7551605874362242	1.6296933266261033	1.1445532250014983	1.3888380270085698	1.9472352647279223	2.3880777086803917	2.6930662207920735	1.802943826229522
BioGeo-TL1a_FP_197-REP1_S10_R1_001.fastq_profiled_metagenome	2.3834442860284972	2.033560951544644	1.7551605874362242	0.0	1.7454077748809795	0.6500332802089344	1.9281919435508963	1.9670607763842995	3.49309848858161	2.9283126769616157	2.5413883606405303
BioGeo-TL1a_FP_193-Rep1_S85_R1_001.fastq_profiled_metagenome	3.0967486880191224	1.3679315169002608	1.6296933266261033	1.7454077748809795	0.0	1.6575469431334888	2.7200126861135336	3.0043528905160586	3.7040434616398317	3.0633965328451502	2.328409439268615
BioGeo-TL1a_FP_131_merged_R1_001.fastq_profiled_metagenome	1.8124386706129971	1.9268260986216637	1.1445532250014983	0.6500332802089344	1.6575469431334888	0.0	1.402156132614072	1.6496107195512382	2.9649050879859105	2.736376074023093	2.183884775221306
BioGeo-TL1a_FP_127_merged_R1_001.fastq_profiled_metagenome	0.7565989975062061	3.0590585437837166	1.3888380270085698	1.9281919435508963	2.7200126861135336	1.402156132614072	0.0	1.8289650606429562	2.7204598106743703	3.467101812047921	2.8207874106758766
BioGeo-TL1A_FP_677-REP1_S21_R1_001.fastq_profiled_metagenome	1.5561833809628973	2.4996935869094306	1.9472352647279223	1.9670607763842995	3.0043528905160586	1.6496107195512382	1.8289650606429562	0.0	1.9272260119615165	2.022032952861534	1.9062666600555862
BioGeo-TL1A_FP_673-REP1_S20_R1_001.fastq_profiled_metagenome	2.078720455815791	3.025981092094306	2.3880777086803917	3.49309848858161	3.7040434616398317	2.9649050879859105	2.7204598106743703	1.9272260119615165	0.0	2.1504790208062152	1.7984168284067956
BioGeo-TL1A_FP_629_merged_R1_001.fastq_profiled_metagenome	3.1907804032849323	1.8037292079443548	2.6930662207920735	2.9283126769616157	3.0633965328451502	2.736376074023093	3.467101812047921	2.022032952861534	2.1504790208062152	0.0	1.043423031864456
BioGeo-TL1A_FP_625-REP1_S16_R1_001.fastq_profiled_metagenome	2.593759785094188	1.2948741445050644	1.802943826229522	2.5413883606405303	2.328409439268615	2.183884775221306	2.8207874106758766	1.9062666600555862	1.7984168284067956	1.043423031864456	0.0
