"BioGeo.TL1a_FP_85_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_233.REP1_S13_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_229.REP1_S12_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_197.REP1_S10_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_193.Rep1_S85_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_131_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1a_FP_127_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1A_FP_677.REP1_S21_R1_001.fastq_profiled_metagenome" "BioGeo.TL1A_FP_673.REP1_S20_R1_001.fastq_profiled_metagenome" "BioGeo.TL1A_FP_629_merged_R1_001.fastq_profiled_metagenome" "BioGeo.TL1A_FP_625.REP1_S16_R1_001.fastq_profiled_metagenome"
"BioGeo.TL1a_FP_85_merged_R1_001.fastq_profiled_metagenome" 0 3.15178448206027 1.55148360304269 2.3834442860285 3.09674868801912 1.812438670613 0.756598997506206 1.5561833809629 2.07872045581579 3.19078040328493 2.59375978509419
"BioGeo.TL1a_FP_233.REP1_S13_R1_001.fastq_profiled_metagenome" 3.15178448206027 0 1.89175827544683 2.03356095154464 1.36793151690026 1.92682609862166 3.05905854378372 2.49969358690943 3.02598109209431 1.80372920794435 1.29487414450506
"BioGeo.TL1a_FP_229.REP1_S12_R1_001.fastq_profiled_metagenome" 1.55148360304269 1.89175827544683 0 1.75516058743622 1.6296933266261 1.1445532250015 1.38883802700857 1.94723526472792 2.38807770868039 2.69306622079207 1.80294382622952
"BioGeo.TL1a_FP_197.REP1_S10_R1_001.fastq_profiled_metagenome" 2.3834442860285 2.03356095154464 1.75516058743622 0 1.74540777488098 0.650033280208934 1.9281919435509 1.9670607763843 3.49309848858161 2.92831267696162 2.54138836064053
"BioGeo.TL1a_FP_193.Rep1_S85_R1_001.fastq_profiled_metagenome" 3.09674868801912 1.36793151690026 1.6296933266261 1.74540777488098 0 1.65754694313349 2.72001268611353 3.00435289051606 3.70404346163983 3.06339653284515 2.32840943926861
"BioGeo.TL1a_FP_131_merged_R1_001.fastq_profiled_metagenome" 1.812438670613 1.92682609862166 1.1445532250015 0.650033280208934 1.65754694313349 0 1.40215613261407 1.64961071955124 2.96490508798591 2.73637607402309 2.18388477522131
"BioGeo.TL1a_FP_127_merged_R1_001.fastq_profiled_metagenome" 0.756598997506206 3.05905854378372 1.38883802700857 1.9281919435509 2.72001268611353 1.40215613261407 0 1.82896506064296 2.72045981067437 3.46710181204792 2.82078741067588
"BioGeo.TL1A_FP_677.REP1_S21_R1_001.fastq_profiled_metagenome" 1.5561833809629 2.49969358690943 1.94723526472792 1.9670607763843 3.00435289051606 1.64961071955124 1.82896506064296 0 1.92722601196152 2.02203295286153 1.90626666005559
"BioGeo.TL1A_FP_673.REP1_S20_R1_001.fastq_profiled_metagenome" 2.07872045581579 3.02598109209431 2.38807770868039 3.49309848858161 3.70404346163983 2.96490508798591 2.72045981067437 1.92722601196152 0 2.15047902080622 1.7984168284068
"BioGeo.TL1A_FP_629_merged_R1_001.fastq_profiled_metagenome" 3.19078040328493 1.80372920794435 2.69306622079207 2.92831267696162 3.06339653284515 2.73637607402309 3.46710181204792 2.02203295286153 2.15047902080622 0 1.04342303186446
"BioGeo.TL1A_FP_625.REP1_S16_R1_001.fastq_profiled_metagenome" 2.59375978509419 1.29487414450506 1.80294382622952 2.54138836064053 2.32840943926861 2.18388477522131 2.82078741067588 1.90626666005559 1.7984168284068 1.04342303186446 0
