	observed_otus
IL17.DTT.115	88
IL17.DTT.116	143
IL17.DTT.117	140
IL17.DTT.118	48
IL17.DTT.119	38
IL17.DTT.120	41
IL17.DTT.127	104
IL17.DTT.128	137
IL17.DTT.129	34
IL17.DTT.130	142
IL17.DTT.131	25
IL17.DTT.132	53
IL17.DTT.143	5
IL17.DTT.144	12
IL17.DTT.139	112
IL17.DTT.140	120
IL17.DTT.141	134
IL17.DTT.142	15
IL17.DTT.188	148
IL17.DTT.189	145
IL17.DTT.201	144
IL17.DTT.202	40
IL17.DTT.203	41
IL17.DTT.199	144
IL17.DTT.200	140
IL17.DTT.217	80
IL17.DTT.218	151
IL17.DTT.219	141
IL17.DTT.220	59
IL17.DTT.221	50
IL17.DTT.222	70
IL17.DTT.25	76
IL17.DTT.26	147
IL17.DTT.27	142
IL17.DTT.28	5
IL17.DTT.29	8
IL17.DTT.105	141
IL17.DTT.106	35
IL17.DTT.103	86
IL17.DTT.104	140
IL17.DTT.53	16
IL17.DTT.49	108
IL17.DTT.50	130
IL17.DTT.51	131
IL17.DTT.52	22
IL17.DTT.85	118
IL17.DTT.86	152
IL17.DTT.87	150
IL17.DTT.88	25
IL17.DTT.89	99
IL17.DTT.90	142
TKO.DTT.7	122
TKO.DTT.8	142
TKO.DTT.9	139
TKO.DTT.10	12
TKO.DTT.11	11
TKO.DTT.12	77
TKO.DTT.1	145
TKO.DTT.2	96
TKO.DTT.3	148
TKO.DTT.4	53
TKO.DTT.5	36
TKO.DTT.6	96
TKO.DTT.43	126
TKO.DTT.44	149
TKO.DTT.45	136
TKO.DTT.46	78
TKO.DTT.47	59
TKO.DTT.48	73
TKO.DTT.49	151
TKO.DTT.50	151
TKO.DTT.51	149
TKO.DTT.52	4
TKO.DTT.53	69
TKO.DTT.54	98
TKO.DTT.31	142
TKO.DTT.32	146
TKO.DTT.33	150
TKO.DTT.34	111
TKO.DTT.35	78
TKO.DTT.40	16
TKO.DTT.41	39
TKO.DTT.42	68
TKO.DTT.37	127
TKO.DTT.38	154
TKO.DTT.39	143
TKO.DTT.25	136
TKO.DTT.26	142
TKO.DTT.27	135
TKO.DTT.28	15
TKO.DTT.29	38
TKO.DTT.30	62
TKO.DTT.16	42
TKO.DTT.17	80
TKO.DTT.18	83
TKO.DTT.22	28
TKO.DTT.23	36
TKO.DTT.24	47
TKO.DTT.19	153
TKO.DTT.20	149
TKO.DTT.21	152
TKO.DTT.58	63
TKO.DTT.59	54
TKO.DTT.60	64
TKO.DTT.55	119
TKO.DTT.56	137
TKO.DTT.57	135
TKO.DTT.61	125
TKO.DTT.62	135
TKO.DTT.63	139
TKO.DTT.64	35
TKO.DTT.65	31
TKO.DTT.66	29
TKO.DTT.69	130
TKO.DTT.70	22
TKO.DTT.71	32
TKO.DTT.72	63
TKO.DTT.78	74
TKO.DTT.73	125
TKO.DTT.74	134
TKO.DTT.75	125
TKO.DTT.76	45
