index,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Desulfobacterota
Duodenum,10998.0,24508.0,8296.0,23540.0,1.0,449.0
Jejunum,5399.0,7353.0,4225.0,20022.0,0.0,360.0
Ileum,11610.0,12479.0,4720.0,14147.0,9.0,205.0
Distal_Colon,60840.0,9531.0,1405.0,12299.0,31.0,245.0
Cecum,42719.0,7622.0,938.0,10008.0,0.0,225.0
Proximal_Colon,42245.0,7977.0,631.0,9054.0,0.0,194.0
