index,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Desulfobacterota
Duodenum,50105.0,13348.0,1904.0,5176.0,84.0,608.0
Ileum,37200.0,30709.0,345.0,1166.0,729.0,2757.0
Proximal_Colon,41556.0,12079.0,55.0,223.0,30.0,138.0
Jejunum,40640.0,8673.0,1160.0,4248.0,89.0,1438.0
Distal_Colon,58687.0,7815.0,49.0,334.0,19.0,80.0
Cecum,34521.0,17972.0,31.0,139.0,27.0,187.0
