index,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Desulfobacterota
Jejunum,30807.0,16028.0,7108.0,56792.0,20.0,385.0
Proximal_Colon,57426.0,7617.0,912.0,9162.0,0.0,636.0
Cecum,49918.0,9121.0,1178.0,9248.0,0.0,979.0
Distal_Colon,36093.0,6021.0,963.0,8637.0,0.0,890.0
Ileum,27983.0,8283.0,4140.0,38905.0,3.0,222.0
Duodenum,52976.0,14199.0,3926.0,42676.0,10.0,895.0
