Module	Mouse4A.FP19	Mouse9A.FP102	Mouse2A.FP07	Mouse2A.FP09	Mouse6A.FP31	Mouse6A.FP32	Mouse2A.FP08	Mouse6A.FP35	Mouse6A.FP36	Mouse6A.FP33	Mouse8A.DTT88	Mouse6A.FP34	Mouse8A.DTT89	Mouse10A.DTT110	Mouse8A.DTT86	Mouse8A.DTT87	Mouse10A.DTT112	Mouse9A.FP101	Mouse10A.DTT111	Mouse8A.DTT85	Mouse9A.FP100	Mouse4A.FP21	Mouse4A.FP20	Mouse4A.FP23	Mouse4A.FP22	Mouse8A.DTT90	Mouse10A.DTT109	Mouse4A.FP24	Mouse1A.FP04	Mouse8A.FP88	Mouse8A.FP89	Mouse1A.FP03	Mouse8A.FP86	Mouse1A.FP02	Mouse8A.FP87	Mouse1A.FP01	Mouse8A.FP85	Mouse1A.FP06	Mouse1A.FP05	Mouse9A.DTT101	Mouse9A.DTT100	Mouse9A.DTT102	Mouse4A.DTT19	Mouse4A.DTT23	Mouse4A.DTT22	Mouse4A.DTT24	Mouse4A.DTT21	Mouse4A.DTT20	Mouse5A.FP30	Mouse6A.DTT35	Mouse7A.DTT37	Mouse10A.FP110	Mouse6A.DTT36	Mouse7A.DTT39	Mouse10A.FP112	Mouse7A.DTT38	Mouse10A.FP111	Mouse6A.DTT31	Mouse10A.FP114	Mouse6A.DTT32	Mouse10A.FP113	Mouse6A.DTT33	Mouse6A.DTT34	Mouse5A.DTT30	Mouse5A.FP27	Mouse5A.FP28	Mouse5A.FP29	Mouse5A.FP25	Mouse5A.FP26	Mouse5A.DTT25	Mouse5A.DTT26	Mouse1B.DTT13	Mouse1B.DTT14	Mouse5A.DTT29	Mouse5A.DTT27	Mouse5A.DTT28	Mouse10A.FP109	Mouse8A.FP90	Mouse1B.DTT15	Mouse1B.DTT16	Mouse1B.DTT17	Mouse1B.DTT18	Mouse7A.FP37	Mouse7A.FP38	Mouse7A.FP39	Mouse2A.FP10	Mouse2A.FP12	Mouse9A.DTT99	Mouse2A.FP11	Mouse9A.DTT98	Mouse9A.DTT97	Mouse10A.DTT114	Mouse10A.DTT113	Mouse9A.FP97	Mouse9A.FP98	Mouse9A.FP99	Mouse3A.FP18	Mouse3A.FP17	Mouse3A.FP16	Mouse3A.FP15	Mouse3A.FP14	Mouse3A.FP13	Mouse7A.DTT40	Mouse7A.FP40	Mouse7A.DTT42	Mouse7A.FP41	Mouse7A.DTT41	Mouse7A.FP42
MGB052	15440.76	3423.19	18856.67	8404.41	13036.36	22511.33	13755.89	1320.88	350.61	17327.58	431.24	458.69	161.36	22453.92	18092.21	11594.8	3768.64	2898.1	24595.84	23736.87	412.15	16684.96	14019.62	15.71	10.75	642.24	14845.01	43.0	375.26	424.71	2745.92	13109.94	23542.49	9377.16	14167.81	9328.31	11499.94	106.58	608.78	804.1	287.21	979.86	20241.46	224.38	47.32	733.11	8644.0	12274.83	321.21	437.76	12093.81	17462.21	194.29	10370.41	13539.31	9773.92	21291.76	17118.7	512.0	14599.53	335.26	12189.98	110.75	302.18	90.18	96.5	13707.61	10470.06	15284.22	10804.74	21300.59	22302.19	22567.81	236.54	12312.6	1883.92	34246.45	142.46	23900.99	2012.0	4369.01	2117.36	10859.16	10385.69	10620.74	429.21	377.01	11081.47	249.46	22518.81	19143.8	3879.14	205.33	24127.19	19540.63	15605.37	1609.34	1503.89	1201.77	19725.98	17866.91	15182.87	853.86	1590.29	619.0	281.79	140.5	264.5
MGB031	15886.9	28473.23	13098.09	19426.57	11225.46	14072.25	15601.69	14684.27	12639.08	13357.93	7381.34	9763.82	13099.99	10223.92	16546.4	15837.32	17990.34	30124.5	12862.66	21713.48	26246.78	18335.34	17326.15	38920.92	36725.33	17057.07	13977.59	29645.0	29181.5	14850.01	21944.08	13846.51	26592.48	28116.57	24847.99	22790.5	20839.1	23299.25	26462.09	15085.34	19510.94	12341.18	14336.65	26506.83	9465.34	18531.68	10394.83	14148.56	16264.08	7515.42	9140.22	11278.44	9964.09	17183.44	48899.32	17430.08	21718.48	20015.26	42111.92	17898.59	69401.84	12446.69	3284.5	9803.76	20174.0	19247.92	11391.83	7359.56	9546.84	19499.66	14095.82	13561.98	19494.5	10930.83	14450.42	12398.65	13148.0	33066.83	15402.83	9622.58	14448.42	10886.35	8933.51	13971.41	12165.09	10929.74	12116.42	30279.27	16483.16	63440.93	21833.74	19079.98	21335.82	27425.08	20428.01	46744.26	32180.02	30791.86	15589.59	15950.95	12065.49	13456.76	9407.82	13785.34	8911.15	13975.34	8254.58	11726.76
MGB053	6504.865	1161.99	1330.25	5160.16	1806.06	2029.67	2506.885	299.135	262.25	3761.59	363.17	105.53500000000001	624.245	1725.75	4333.41	3543.58	606.0	302.16999999999996	2765.83	3731.535	203.805	5337.795	4375.035	16.0	54.125	1107.615	1950.875	30.375	70.95500000000001	1674.795	2651.83	1883.465	4389.615	3142.285	4249.285	4328.58	4735.885	35.955	176.54500000000002	171.46	257.345	248.215	2830.535	224.75	72.92	1234.7150000000001	2524.75	4366.24	465.83	428.25	1646.445	929.0550000000001	189.795	3672.93	3156.785	2370.91	2415.785	3975.715	337.545	2684.045	154.42000000000002	2464.3050000000003	54.375	1185.09	186.0	155.125	11432.25	626.865	3068.67	2363.205	2488.33	1903.49	4207.42	377.705	3314.5	987.615	865.625	4235.5	2424.955	220.875	619.4200000000001	593.0899999999999	1303.3400000000001	2137.035	5935.84	583.1600000000001	214.71	3497.885	868.915	14248.84	4095.16	1606.285	116.535	2650.205	2216.84	5548.965	350.43000000000006	220.18	208.92000000000002	1809.3500000000001	1207.285	1219.8400000000001	480.03499999999997	3217.295	1282.7849999999999	969.92	266.25	215.42
MGB010	7.0	9.0	13.0	19.0	4.0	8.0	14.0	53.0	16.0	7.0	30.0	28.0	65.0	4.0	45.0	11.0	43.0	5.0	2.0	86.0	5.0	9.0	9.0	13.0	7.0	161.0	608.0	12.0	8.0	6.0	7.0	1214.0	0.0	8.0	0.0	13.0	2.0	7.0	18.0	37.0	38.0	80.0	13.0	27.0	10.0	9.0	11.0	13.0	78.0	13.0	27.0	0.0	18.0	43.0	4.0	13.0	3.0	13.0	41.0	47.0	8.0	22.0	13.0	24.0	27.0	15.0	16.0	10.0	18.0	8.0	27.0	22.0	9.0	8.0	26.0	56.0	0.0	11.0	9.0	3.0	3.0	16.0	12.0	6.0	12.0	12.0	30.0	50.0	85.0	87.0	103.0	306.0	32.0	0.0	3.0	2.0	13.0	21.0	8.0	38.0	10.0	7.0	16.0	14.0	28.0	6.0	9.0	9.0
MGB032	27205.42	36234.93	25545.26	16250.32	19147.51	30127.91	20787.82	9618.89	10039.69	23653.17	6077.91	7083.1	13526.52	28763.34	22491.95	32527.79	10907.98	31889.43	29871.67	30104.94	31365.5	22741.88	19828.86	1304.13	1124.83	14979.57	28848.85	2828.75	6039.68	13951.3	22238.67	21192.36	29735.23	22578.82	28688.39	16559.98	19307.28	5172.75	7033.95	17479.52	22895.97	14639.45	26619.7	4320.71	2520.49	9967.7	19716.83	21183.9	10986.96	6793.18	19645.46	20071.72	7090.46	26559.17	23726.72	19062.34	27251.83	28172.87	14053.5	23938.2	24510.43	27050.24	2839.5	10130.6	4336.18	6350.17	37335.94	16423.38	22450.89	26352.82	29716.58	29554.68	30042.64	7866.79	30660.02	9783.83	40957.7	27007.79	36973.74	6380.83	6666.26	3307.37	16793.33	17509.19	23766.49	10269.29	10214.01	38961.48	13388.79	44286.4	41402.38	10521.21	9714.24	36084.19	27431.3	42269.04	7902.68	6074.07	6136.69	25944.08	22470.99	19402.79	6218.27	12477.21	8412.24	8464.46	5351.58	8277.59
MGB054	8276.75	706.0	841.5	4171.0	1072.5	1200.0	1500.75	348.25	484.5	2835.5	589.0	120.75	1083.5	1124.5	3229.5	2823.5	405.0	973.0	2075.0	2929.75	207.25	4810.25	4062.75	20.0	102.25	2068.25	2864.75	41.75	74.25	3276.25	3946.0	981.25	2730.25	2221.25	2305.25	3367.5	2934.75	29.25	213.75	72.25	520.0	148.75	1890.75	329.5	139.5	1916.75	1797.5	2884.5	819.0	688.5	2227.25	703.75	330.25	3337.5	2320.25	1965.5	1527.25	3597.75	715.75	2566.75	92.5	2194.25	103.75	2222.5	390.0	296.25	20503.5	683.75	4948.0	1735.75	2112.0	1283.0	2771.5	642.75	2561.0	824.25	571.25	8341.0	1400.25	248.75	318.5	397.5	1678.0	1223.75	8570.0	1115.0	346.25	2141.75	1605.5	9285.0	3053.0	2547.25	110.75	1443.75	1260.0	2192.25	271.5	206.0	220.5	1100.0	675.25	604.0	561.75	5939.25	2114.25	1852.5	492.5	350.5
MGB050	2138.5	223.0	160.5	1125.5	442.5	179.0	410.0	72.0	0.0	474.0	47.0	0.0	31.0	1086.5	514.0	2899.0	162.0	156.0	1093.0	476.0	73.0	744.5	629.5	0.0	0.0	165.0	811.5	0.0	27.0	24.0	205.5	545.0	538.0	855.5	1471.0	3349.0	1524.5	9.0	40.0	31.0	37.0	55.0	1900.0	53.0	0.0	151.0	1774.0	2833.0	0.0	78.0	522.5	69.5	18.0	2039.0	1205.0	540.0	203.17	2240.0	161.0	1428.0	73.0	1504.0	0.0	57.0	0.0	0.0	451.5	52.5	212.17	1564.0	1392.0	1321.0	3178.0	58.0	2426.0	490.0	441.5	20.0	1687.0	80.0	329.0	275.5	87.5	307.0	728.0	13.0	20.0	2701.0	13.0	1917.5	2835.0	851.0	50.0	1045.5	270.5	2063.0	258.0	132.0	70.0	294.0	139.0	222.0	186.0	258.0	195.5	27.0	12.0	18.0
MGB019	1205.0	2686.0	108.0	89.0	136.0	246.0	107.0	928.0	705.0	170.0	1565.0	513.0	167.0	205.0	264.0	153.0	2492.0	757.0	682.0	914.0	308.0	1521.0	2942.0	34927.0	33838.0	541.0	1263.0	24508.0	17463.0	1400.0	55.0	2224.0	46.0	2134.0	50.0	1349.0	16.0	12364.0	14283.0	1646.0	837.0	479.0	497.0	21358.0	6657.0	8970.0	1097.0	756.0	1815.0	495.0	553.33	1782.0	709.0	504.0	9123.0	193.83	2892.0	862.0	6455.0	1190.5	11109.0	659.0	131.0	878.0	2238.0	4720.0	531.0	292.0	243.0	181.0	492.17	249.0	94.0	1282.0	331.0	1556.0	1003.0	447.0	78.0	134.0	1408.0	1315.0	213.0	229.0	98.0	439.0	654.0	967.0	1065.0	1646.0	549.0	1505.0	1655.0	1193.0	411.0	133.0	6836.0	4623.0	224.0	95.0	70.0	69.0	658.0	1361.0	724.0	1639.0	1093.0	1220.0
MGB005	14848.17	40011.1	21917.26	15367.57	15867.34	24720.41	19399.4	10123.47	9628.86	16469.84	5799.91	6687.68	12652.52	19590.01	22971.2	35419.21	10453.48	34952.6	21909.67	26663.19	32459.25	16675.96	15912.78	1359.63	1066.75	13849.15	24421.1	2775.5	6364.93	13589.88	21086.67	18993.44	32642.98	25666.645	27903.72	20166.48	21295.95	4311.17	6433.37	17288.1	22919.97	13954.2	17424.61	4257.21	2432.99	8953.95	16293.16	18369.9	10491.79	6641.18	14862.87	12854.47	6876.21	24336.67	22062.22	19495.92	18664.75	25513.12	17935.58	23078.95	25598.76	24555.24	2794.75	8089.77	4134.18	7369.25	11593.27	11520.13	11243.06	24810.735	22159.08	28575.35	31583.56	7496.87	27970.52	9733.66	26664.45	30717.46	35876.32	6411.08	6998.18	3977.04	10857.0	14010.27	11743.82	9297.62	10066.18	42170.73	12142.29	53002.4	41745.38	10134.79	9592.32	37691.44	28983.47	44150.04	15230.18	10831.91	5971.36	20818.42	17999.07	16529.96	6435.68	7533.46	7179.32	6786.46	5181.75	8454.42
MGB027	676.0	7940.0	992.0	1674.0	585.0	599.0	1606.0	4443.0	1977.0	1242.0	5561.0	2697.0	13755.0	597.0	837.0	377.0	4316.0	3971.0	452.0	876.0	5334.0	508.0	449.0	146.0	281.0	14596.0	1717.0	535.0	630.0	11110.0	17627.0	1519.0	990.0	246.0	801.0	81.0	516.0	1406.0	728.0	1116.0	4736.0	494.0	482.0	1097.0	801.0	2447.0	182.0	223.0	3278.0	2138.0	1769.0	300.0	3707.0	1252.0	2532.0	619.0	348.0	1476.0	4147.0	1402.0	1774.0	859.0	1077.0	1628.0	1433.0	1068.0	3102.0	906.0	2384.0	272.0	1382.0	594.0	304.0	2776.0	677.0	2584.0	706.0	18131.0	508.0	2849.0	369.0	265.0	1191.0	1052.0	1579.0	3249.0	2453.0	368.0	2781.0	496.0	456.0	1570.0	2594.0	456.0	527.0	330.0	5504.0	3425.0	3528.0	627.0	431.0	468.0	2278.0	871.0	2209.0	849.0	2313.0	3291.0
