	Mouse5A.FP26	Mouse6A.FP32	Mouse7A.FP38	Mouse1A.FP02	Mouse7A.DTT38	Mouse1B.DTT14	Mouse4A.FP20	Mouse5A.DTT26	Mouse3A.FP14	Mouse2A.FP08	Mouse4A.DTT20	Mouse6A.DTT32	Mouse9A.DTT98	Mouse10A.FP110	Mouse10A.DTT110	Mouse9A.FP98	Mouse8A.DTT86	Mouse8A.FP86
Mouse5A.FP26	0.0	1.6446022719740063	2.0771886856847352	2.6711806910343845	2.4593157860652743	2.539392702373123	2.5564073798910543	1.5559222807461919	0.8869913007100546	1.937952107156016	2.8782398370622055	2.010349157529677	3.9896851238297777	1.1010232143342698	1.1233598322417195	2.5619381544438746	2.667612236281508	3.240527208857881
Mouse6A.FP32	1.6446022719740063	0.0	0.5082245225708465	1.214181118870801	0.8328145792615561	1.393744960253274	0.9216281634275463	0.20399399600885343	0.9081994472478345	0.7175517564930716	1.246015167272644	0.3889638330781363	3.175460020119994	2.4542723860102584	2.1633016185912872	2.3512136681429987	2.4125240097739296	2.6223619399144136
Mouse7A.FP38	2.0771886856847352	0.5082245225708465	0.0	1.2137229618637921	0.6425455232399087	1.5857482043070288	0.6256057313473582	0.6708659104897458	1.4060118963762251	1.0281640326042965	0.9542268364836614	0.44492244158782496	3.3700789132808406	2.947962875538329	2.6683488988531425	2.7525505267828416	2.8017554878995323	2.9091026340617745
Mouse1A.FP02	2.6711806910343845	1.214181118870801	1.2137229618637921	0.0	0.6126062094852122	0.5935006997084119	0.7536819060510029	1.2455968176168293	1.8075740275060248	0.7597208282723418	0.7040791632698306	0.859867889066634	2.2162730580700236	3.1969382252766345	2.793371664218356	2.059569847174937	2.0588091916643787	1.9066590517109927
Mouse7A.DTT38	2.4593157860652743	0.8328145792615561	0.6425455232399087	0.6126062094852122	0.0	1.1036140762316087	0.2195764645245196	0.9272059563372728	1.6512854317787355	0.8114058986228608	0.43215753287713227	0.449955638566639	2.8233635897274816	3.169310280749426	2.8175557732053176	2.4690246152619437	2.494021429109268	2.4568007257629323
Mouse1B.DTT14	2.539392702373123	1.393744960253274	1.5857482043070288	0.5935006997084119	1.1036140762316087	0.0	1.2819229908904992	1.3517175107454367	1.6761233210523647	0.703213037367503	1.2923263020306301	1.1531940285778477	1.795992029210929	2.868330749349684	2.4310772976101958	1.4719500964288772	1.4678548379883936	1.3540966626023998
Mouse4A.FP20	2.5564073798910543	0.9216281634275463	0.6256057313473582	0.7536819060510029	0.2195764645245196	1.2819229908904992	0.0	1.050249698897112	1.7835891916512352	1.0015814578354145	0.34346077465029173	0.5673997823204178	2.966362552278424	3.3119167895828197	2.975080056646596	2.6617752945530397	2.682646775622845	2.632618902013542
Mouse5A.DTT26	1.5559222807461919	0.20399399600885343	0.6708659104897458	1.2455968176168293	0.9272059563372728	1.3517175107454367	1.050249698897112	0.0	0.7724932863284467	0.653368996592258	1.3550970900179002	0.4917101856013141	3.118466994368137	2.3185279801234433	2.014436240453478	2.221460002932847	2.291263829023314	2.531365323978834
Mouse3A.FP14	0.8869913007100546	0.9081994472478345	1.4060118963762251	1.8075740275060248	1.6512854317787355	1.6761233210523647	1.7835891916512352	0.7724932863284467	0.0	1.0601284141054452	2.079063909262526	1.218723412734357	3.2354928295875562	1.5483049130976332	1.2693989871575464	1.9755394680153686	2.0711029584841447	2.524863796537614
Mouse2A.FP08	1.937952107156016	0.7175517564930716	1.0281640326042965	0.7597208282723418	0.8114058986228608	0.703213037367503	1.0015814578354145	0.653368996592258	1.0601284141054452	0.0	1.1923986890571665	0.5926663360924251	2.46784819240421	2.45807062905319	2.0680014552690396	1.7320432469162883	1.7772413657380972	1.9134927757615765
