"","sampleid","Truncated_SampleID","Sequencing_Run","MouseID","Type","Sex","Site","Site_General","Genotype","Line","DSS_Treatment","DSS_group","Microbiota","Subset","Dataset","humann_sampleid"
"BioGeo.TL1a_FP_127_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_127_merged_R1_001.fastq_profiled_metagenome","TL1a_FP_127","One","167","Luminal","Female","Distal_Colon","Colon","WT",NA,"No","None","Cedars_SPF","Luminal_Colon","SPF_Gavage","BioGeo.TL1a_FP_127"
"BioGeo.TL1a_FP_131_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_131_merged_R1_001.fastq_profiled_metagenome","TL1a_FP_131","One","167","Luminal","Female","Jejunum","SI","WT",NA,"No","None","Cedars_SPF","Luminal_SI","SPF_Gavage","BioGeo.TL1a_FP_131"
"BioGeo.TL1a_FP_193.Rep1_S85_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_193.Rep1_S85_R1_001.fastq_profiled_metagenome","TL1a_FP_193","Two","217","Luminal","Female","Distal_Colon","Colon","WT",NA,"No","None","Cedars_SPF","Luminal_Colon","SPF_Gavage","BioGeo.TL1a_FP_193.Rep1_S85"
"BioGeo.TL1a_FP_197.REP1_S10_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_197.REP1_S10_R1_001.fastq_profiled_metagenome","TL1a_FP_197","Two","217","Luminal","Female","Jejunum","SI","WT",NA,"No","None","Cedars_SPF","Luminal_SI","SPF_Gavage","BioGeo.TL1a_FP_197.REP1_S10"
"BioGeo.TL1a_FP_229.REP1_S12_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_229.REP1_S12_R1_001.fastq_profiled_metagenome","TL1a_FP_229","Two","223","Luminal","Female","Distal_Colon","Colon","WT",NA,"No","None","Cedars_SPF","Luminal_Colon","SPF_Gavage","BioGeo.TL1a_FP_229.REP1_S12"
"BioGeo.TL1a_FP_233.REP1_S13_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_233.REP1_S13_R1_001.fastq_profiled_metagenome","TL1a_FP_233","Two","223","Luminal","Female","Jejunum","SI","WT",NA,"No","None","Cedars_SPF","Luminal_SI","SPF_Gavage","BioGeo.TL1a_FP_233.REP1_S13"
"BioGeo.TL1A_FP_625.REP1_S16_R1_001.fastq_profiled_metagenome","BioGeo.TL1A_FP_625.REP1_S16_R1_001.fastq_profiled_metagenome","TL1A_FP_625","Two","324","Luminal","Male","Distal_Colon","Colon","WT",NA,"No","None","Cedars_SPF","Luminal_Colon","SPF_Gavage","BioGeo.TL1A_FP_625.REP1_S16"
"BioGeo.TL1A_FP_629_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1A_FP_629_merged_R1_001.fastq_profiled_metagenome","TL1A_FP_629","One","324","Luminal","Male","Jejunum","SI","WT",NA,"No","None","Cedars_SPF","Luminal_SI","SPF_Gavage","BioGeo.TL1A_FP_629"
"BioGeo.TL1A_FP_673.REP1_S20_R1_001.fastq_profiled_metagenome","BioGeo.TL1A_FP_673.REP1_S20_R1_001.fastq_profiled_metagenome","TL1A_FP_673","Two","342","Luminal","Male","Distal_Colon","Colon","WT",NA,"No","None","Cedars_SPF","Luminal_Colon","SPF_Gavage","BioGeo.TL1A_FP_673.REP1_S20"
"BioGeo.TL1A_FP_677.REP1_S21_R1_001.fastq_profiled_metagenome","BioGeo.TL1A_FP_677.REP1_S21_R1_001.fastq_profiled_metagenome","TL1A_FP_677","Two","342","Luminal","Male","Jejunum","SI","WT",NA,"No","None","Cedars_SPF","Luminal_SI","SPF_Gavage","BioGeo.TL1A_FP_677.REP1_S21"
"BioGeo.TL1a_FP_85_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_85_merged_R1_001.fastq_profiled_metagenome","TL1a_FP_85","One","161","Luminal","Male","Distal_Colon","Colon","WT",NA,"No","None","Cedars_SPF","Luminal_Colon","SPF_Gavage","BioGeo.TL1a_FP_85"
"BioGeo.TL1a_FP_101.REP1_S6_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_101.REP1_S6_R1_001.fastq_profiled_metagenome","TL1a_FP_101","Two","163","Luminal","Male","Jejunum","SI","WT",NA,"No","None","Humanized","Luminal_SI","HUM_Gavage","BioGeo.TL1a_FP_101.REP1_S6"
"BioGeo.TL1a_FP_139_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_139_merged_R1_001.fastq_profiled_metagenome","TL1a_FP_139","One","172","Luminal","Male","Distal_Colon","Colon","WT",NA,"No","None","Humanized","Luminal_Colon","HUM_Gavage","BioGeo.TL1a_FP_139"
"BioGeo.TL1a_FP_143_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_143_merged_R1_001.fastq_profiled_metagenome","TL1a_FP_143","One","172","Luminal","Male","Jejunum","SI","WT",NA,"No","None","Humanized","Luminal_SI","HUM_Gavage","BioGeo.TL1a_FP_143"
"BioGeo.TL1a_FP_205_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_205_merged_R1_001.fastq_profiled_metagenome","TL1a_FP_205","One","213","Luminal","Female","Distal_Colon","Colon","WT",NA,"No","None","Humanized","Luminal_Colon","HUM_Gavage","BioGeo.TL1a_FP_205"
"BioGeo.TL1a_FP_209.REP1_S11_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_209.REP1_S11_R1_001.fastq_profiled_metagenome","TL1a_FP_209","Two","213","Luminal","Female","Jejunum","SI","WT",NA,"No","None","Humanized","Luminal_SI","HUM_Gavage","BioGeo.TL1a_FP_209.REP1_S11"
"BioGeo.TL1a_FP_241_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_241_merged_R1_001.fastq_profiled_metagenome","TL1a_FP_241","One","226","Luminal","Female","Distal_Colon","Colon","WT",NA,"No","None","Humanized","Luminal_Colon","HUM_Gavage","BioGeo.TL1a_FP_241"
"BioGeo.TL1a_FP_61_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1a_FP_61_merged_R1_001.fastq_profiled_metagenome","TL1a_FP_61","One","141","Luminal","Male","Distal_Colon","Colon","WT",NA,"No","None","Humanized","Luminal_Colon","HUM_Gavage","BioGeo.TL1a_FP_61"
"BioGeo.TL1A_FP_637_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1A_FP_637_merged_R1_001.fastq_profiled_metagenome","TL1A_FP_637","One","322","Luminal","Male","Distal_Colon","Colon","WT",NA,"No","None","Humanized","Luminal_Colon","HUM_Gavage","BioGeo.TL1A_FP_637"
"BioGeo.TL1A_FP_641_merged_R1_001.fastq_profiled_metagenome","BioGeo.TL1A_FP_641_merged_R1_001.fastq_profiled_metagenome","TL1A_FP_641","One","322","Luminal","Male","Jejunum","SI","WT",NA,"No","None","Humanized","Luminal_SI","HUM_Gavage","BioGeo.TL1A_FP_641"
