Feature ID	Taxon
p__Bacteria_unclassified	p__Bacteria_unclassified
p__Bacteroidetes	p__Bacteroidetes
p__Candidatus_Kryptonia	p__Candidatus_Kryptonia
p__Candidatus_Melainabacteria	p__Candidatus_Melainabacteria
p__Candidatus_Saccharibacteria	p__Candidatus_Saccharibacteria
p__Cyanobacteria	p__Cyanobacteria
p__Deferribacteres	p__Deferribacteres
p__Firmicutes	p__Firmicutes
p__Proteobacteria	p__Proteobacteria
p__Tenericutes	p__Tenericutes
p__Verrucomicrobia	p__Verrucomicrobia
