Description,PC1,PC2,PC3
Vil1.03B.DTT33,-0.8129988216,0.2778429652,0.09306069042
Vil1.05B.DTT57,-1.016186417,-0.2211861864,-0.6035912865
Lyz2.07B.DTT281.S123,-0.04696047219,-0.2547312328,-0.02944852234
Vil1.010B.DTT117,-0.76924714,-0.1044134293,0.03742058348
Itg.10.DTT455.S49,-0.008992618891,-0.7961068448,0.2769772417
Lyz2.04B.FP244.S41,-0.08827404326,-0.2365082439,0.1420504135
Vil1.05B.FP57,1.352497936,0.7136103367,-0.1810059883
Lyz2.02B.DTT221.S61,0.9223484515,-0.6190982589,-0.05238206557
Itg.02.FP409.S9,0.2907881649,-0.6203452265,0.04002312108
Itg.10.DTT456.S50,0.3090080693,-1.562739012,0.1386498553
Vil1.01B.FP07,-0.1190278973,2.140945858,0.1168613232
Lyz2.04B.FP243.S92,-0.3338375551,1.23511565,0.2040086055
Lyz2.04B.FP245.S42,0.3199076734,-0.3214057728,0.02798146463
Lyz2.06B.DTT269.S111,-0.1529993657,-1.517532686,0.01683322579
Lyz2.03B.DTT232.S72,0.4404201721,-1.051144516,0.1997072178
Vil1.09B.DTT105,-1.351084461,-0.348917681,0.02308148906
Itg.20.DTT504.S99,0.7012175256,-1.709056568,0.1179332583
Itg.20.DTT505.S100,0.5384609657,-1.063624533,0.1121695134
Vil1.01B.FP08,0.2760338281,1.117048232,0.1587542723
Vil1.14B.FP167,-2.722730383,0.2416833979,-0.2244038888
Vil1.04B.DTT43,-0.5664871173,-0.2793518624,0.06769107
Itg.24.DTT529.S24,0.468530711,-0.7592722903,0.05027157169
Vil1.07B.DTT79,-0.2442196315,-0.3366115135,-1.013180318
Vil1.06B.FP67,1.203064188,2.151281727,-0.2249916965
Itg.18.DTT492.S87,0.3901022106,-1.494696503,0.1535163601
Vil1.014B.DTT164,-0.07807658274,-1.031312351,0.1862571622
Lyz2.01B.FP208.S56,1.644939197,0.4170704078,-0.07335054868
Lyz2.01B.DTT207.S47,0.6576741159,-0.6643376191,0.06429669268
Vil1.09B.FP108,-2.722525443,1.172298821,0.1369455017
Itg.26.DTT541.S37,0.4542617749,-0.4296504147,0.1095377337
Itg.22.FP515.S18,-0.5712195879,1.685797593,0.102989117
Itg.02.DTT409.S1,-0.1019713158,-0.7430889977,0.1963358449
Lyz2.05B.FP255.S52,-0.1887412132,1.056332746,0.08159944965
Itg.22.DTT516.S11,0.2707457367,-1.700396778,0.05543523056
Itg.24.FP528.S31,0.2538772357,0.6341208181,0.06811096001
Lyz2.04B.DTT243.S84,-0.1830460385,-0.5437070144,0.2982177368
Vil1.04B.FP43,-0.1530068897,1.334015762,0.02124540473
Vil1.08B.FP95,-1.943358122,-0.08277357553,0.2169711312
Vil1.09B.FP106,-2.586314906,0.7451968923,0.1539724738
Itg.06.DTT433.S26,-0.2688123972,0.2621083118,0.2274494596
Vil1.10B.FP120,-1.347360212,2.168992615,0.183696022
Vil1.03B.FP32,0.03165168775,0.6444859407,0.1502106041
Itg.02.DTT407.S99,-0.2046663378,-1.016671742,0.1965707337
Lyz2.08B.DTT291.S133,-1.139401348,-0.4365650674,0.1739044955
Itg.24.DTT527.S22,0.3960654241,-1.521795072,0.1324287186
Itg.26.DTT539.S35,-0.01738634484,0.2548655352,0.1181379288
Vil1.08B.FP96,-0.3848020934,-0.06760315382,0.1629228793
