Description,PC1,PC2,PC3
Itg.10.DTT455.S49,0.3490669538,1.328398988,-0.2331866767
Vil1.01B.FP07,0.1299754851,-1.490726777,-0.1614944519
Lyz2.04B.FP243.S92,-0.0914373884,-0.6385958756,-0.245597537
Vil1.04B.DTT43,-0.2300959653,0.6354898463,-0.0707005557
Vil1.07B.DTT79,-0.190149719,0.3284583169,1.024884026
Vil1.06B.FP67,1.326361599,-1.522011633,0.2620704433
Lyz2.01B.DTT207.S47,0.9422258611,1.640999339,-0.06020902847
Itg.22.FP515.S18,-0.3253263697,-1.284590195,-0.1513291621
Lyz2.05B.FP255.S52,-0.05652407696,-0.5770147468,-0.1076511869
Lyz2.04B.DTT243.S84,0.1738350739,1.263814866,-0.3121184848
Vil1.04B.FP43,0.1966730903,-0.8215323154,-0.02724017752
Vil1.09B.FP106,-2.291157542,-0.6145712991,-0.2215657914
Itg.02.DTT407.S99,-0.032608483,1.751708559,-0.2403261563
Lyz2.08B.DTT291.S133,-0.8998207321,0.8101057597,-0.2227432634
Itg.24.DTT527.S22,0.5631135809,1.913088291,-0.06285823979
Itg.26.DTT539.S35,0.215293957,0.2330109768,-0.1348596072
Lyz2.08B.FP291.S89,0.4734646363,-0.7383133415,0.06538602719
Vil1.06B.DTT67,-0.2679593677,0.5105821295,0.9835643361
Vil1.02B.FP19,0.04475340911,-1.139380722,-0.2213236377
Itg.26.FP539.S43,-0.1096848605,-1.335521132,-0.0924818334
Itg.18.FP491.S94,0.403478784,-0.8040212624,-0.08540432254
Itg.12.DTT467.S61,0.4287279457,0.296837997,-0.1646031998
Vil1.07B.FP79,0.1224439046,-2.244110283,0.04659751909
Lyz2.02B.DTT219.S59,1.397988177,1.561958092,0.08634715467
Itg.24.FP527.S30,0.698848055,0.2914159752,0.01116108706
Lyz2.07B.FP279.S77,0.07695875425,-1.164209962,0.1632878623
Lyz2.03B.FP231.S79,-0.08561626919,-0.7231832109,-0.181502269
Itg.18.DTT491.S86,0.3827919354,0.5793163839,-0.2298821922
Itg.06.DTT431.S24,-0.2802593717,-0.1551158072,-0.2796175634
Lyz2.05B.DTT255.S96,-0.6730894565,0.4253856618,-0.1605745026
Itg.08.FP443.S44,-0.2362199254,-1.394946724,-0.1718066534
Lyz2.07B.DTT279.S121,-0.3886712997,1.650020571,-0.2132518902
Vil1.08B.FP94,-1.074118822,0.980472163,-0.2029448509
Vil1.05B.DTT55,-0.6314464597,0.4990211593,0.6401146639
Itg.16.FP479.S81,-0.4675765411,-1.401945464,-0.1319682501
Vil1.05B.FP55,0.9191571581,-1.081752401,0.09835321594
Lyz2.06B.DTT267.S108,0.7876171514,2.351612059,0.01170930728
Itg.16.DTT479.S73,-1.019609411,0.1052022349,-0.3030711879
Itg.12.FP467.S69,0.5240483927,-0.2428983276,-0.0823577321
