Description,PC1,PC2,PC3
Vil1.03B.DTT33,-1.266420474,0.1261098374,0.1127154472
Vil1.05B.DTT57,-1.016748708,0.1223742025,-0.7042750288
Lyz2.07B.DTT281.S123,-0.04882114987,-0.3018313651,-0.04907783574
Vil1.010B.DTT117,-0.9263640788,-0.04457451904,0.04240631301
Vil1.05B.FP57,1.117504014,-0.7032577758,-0.1017516679
Lyz2.02B.DTT221.S61,1.065161319,-0.6856975478,-0.1289434736
Itg.02.FP409.S9,0.560746171,-0.428699817,-0.0237180846
Lyz2.04B.FP245.S42,0.4363967234,-1.219280087,-0.03773520752
Lyz2.06B.DTT269.S111,0.2418509406,0.7131803982,-0.07753501534
Vil1.09B.DTT105,-1.535121543,0.08000686843,-0.02329732996
Itg.20.DTT505.S100,0.9760723254,0.2686589082,0.06350549322
Itg.24.DTT529.S24,0.7558504281,0.01269617041,-0.02548948222
Vil1.09B.FP108,-3.186624551,-0.4984155988,0.155711143
Itg.26.DTT541.S37,0.6746113486,0.3770629323,0.07244487637
Itg.02.DTT409.S1,0.178428855,0.3030559825,0.1616418665
Itg.06.DTT433.S26,-0.3790153343,-0.6656581181,0.2439003457
Vil1.10B.FP120,-2.182124121,-0.8797372701,0.3268045293
Vil1.08B.FP96,-0.447182787,-1.102975757,0.1370672048
Vil1.01B.FP09,0.3625525626,-1.28804429,0.1483668359
Vil1.02B.DTT21,-0.8818549918,0.4781632842,0.1702866955
Itg.22.DTT517.S12,0.6341674979,0.2501166566,0.03255919674
Vil1.06B.FP69,1.290444186,-1.285641588,-0.07646201629
Itg.16.FP481.S84,-0.1463737966,-1.291959738,0.1877846358
Vil1.03B.FP33,-0.008664431383,-0.677443183,0.1644397511
Itg.08.FP445.S46,0.1862670939,-0.9314229993,0.1412160514
Itg.24.FP529.S32,0.5186290435,-0.796630562,-0.01246548535
Lyz2.06B.FP269.S67,0.8240836729,-0.5297595364,-0.1232573672
Vil1.04B.DTT45,-0.7523166687,0.4268078398,0.02657824493
Lyz2.03B.DTT233.S73,0.0546267249,-0.4478967428,-0.05097019942
Lyz2.07B.FP281.S79,-0.067907375,-0.9470368049,-0.02780154673
Vil1.07B.DTT81,-1.304869073,0.01215106768,-0.4117631522
Vil1.04B.FP45,-0.1026013494,-0.8301547776,0.1321680916
Itg.12.FP469.S71,0.2791615011,-1.25439417,0.07356720546
Itg.06.FP433.S34,0.3246621351,-0.8904214941,0.07776806116
Lyz2.05B.FP257.S54,0.1944115979,-0.4899269264,0.08745175133
Itg.18.DTT493.S88,0.4276526895,-1.178018456,0.1252627499
Vil1.013B.DTT153,-0.8424491145,-0.1990767812,-0.9675731577
Vil1.02B.FP21,0.0556997019,-1.098722762,0.1838231604
Itg.04.DTT421.S13,0.1327264103,-0.7244176755,0.09499507536
Vil1.014B.DTT165,-1.047128038,0.1518051438,0.1813218413
Vil1.06B.DTT69,-1.632581234,0.02380756997,-0.3006266579
Itg.10.DTT457.S51,-0.02451929641,0.1020378129,0.06389076647
Vil1.13B.FP156,-2.618098419,-0.1589308299,-0.4532906694
Lyz2.05B.DTT257.S98,0.3907349774,-0.1362618675,0.07067207287
Vil1.08B.DTT93,-0.8106528529,-0.123955142,-0.1098361143
Itg.20.FP505.S8,0.8758289457,-0.8929138067,0.06757488175
Itg.22.FP517.S20,0.6917025631,-0.6474718858,0.04556638564
Lyz2.03B.FP233.S81,-0.1391677233,-1.773596386,0.207209178
Lyz2.02B.FP221.S69,0.5632465317,-1.473048123,0.001757985104
Vil1.07B.FP81,-0.02108280237,-1.84729232,0.04029072739
Itg.16.DTT481.S76,-0.2650197163,-0.150374567,0.1959155553
Itg.12.DTT469.S63,0.3690292002,-0.1732651018,0.06728513991
Vil1.14B.FP168,-2.620628192,0.1961681498,-0.1235365185
Lyz2.04B.DTT245.S86,0.01781306927,-0.5171737489,-0.1298073595
Itg.18.FP493.S96,0.6480832841,-1.574499538,0.05072188952
Lyz2.08B.DTT293.S135,0.05300447725,0.4910027483,0.08864683374
Itg.10.FP457.S59,0.7530342244,-1.171063913,0.04692198127
Lyz2.01B.FP209.S57,1.644125353,-1.195591671,-0.07643625411
Lyz2.01B.DTT209.S49,1.6760844,-0.6603599172,-0.1634965664
Vil1.01B.DTT09,-0.54519937,-0.1370366947,0.1209138958
Itg.04.FP421.S21,0.4054374645,-0.753117803,-0.02467090101
Itg.26.FP541.S45,0.2133604178,-1.003347115,0.1139283655
Itg.08.DTT445.S38,0.07893729161,0.1224705858,0.1603718138
Lyz2.08B.FP293.S91,0.8947965454,-0.7996104302,-0.09536282119
SLCFP021,-1.215671266,0.2156853785,-0.01348406423
SLCFP069,-1.220645874,0.6239957546,-0.07295375493
SLCFP111,-0.2214297081,0.58376092,-0.09407038022
SLCdtt075,0.4746849053,0.9240015947,-0.2634782
SLCFP051,-0.1417823615,-0.2359237429,-0.07063013401
LYZFP317,-1.327499551,1.598375801,0.2711574791
SLCFP093,-1.226866023,0.2484254774,-0.07216627797
SLCdtt021,-0.4660453533,1.060881275,-0.1009333273
SLCdtt111,0.04099880587,1.069818455,-0.1362699775
LYZdtt317,0.5236943598,3.337075995,0.2405536389
LYZdtt305,0.2922852145,2.103693506,0.223884753
LYZdtt329,1.547099224,1.67069865,-0.09929071159
SLCFP075,-0.05460732506,0.1539548466,-0.1078319769
LYZdtt341,1.575244335,2.934258472,-0.002057910113
SLCdtt051,0.6333410333,0.289357942,-0.1905512605
LYZFP305,-1.010739765,1.949398949,0.2099617188
SLCFP129,-0.7681562885,0.6335608645,-0.07197368542
