index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobia
Duodenum,104.0,58144.0,37092.0,2236.0,6018.0
Ileum,1068.0,34407.0,32624.0,3868.0,1329.0
Proximal_Colon,37.0,37932.0,12328.0,155.0,194.0
Jejunum,194.0,51490.0,12009.0,2645.0,5049.0
Distal_Colon,23.0,43209.0,8291.0,117.0,325.0
Cecum,31.0,31644.0,17703.0,227.0,205.0
