	GnotoExpt-DTT535-S146	GnotobioticExp-FP-199-S63	GnotobioticExp-FP-193-S57	GnotoExpt-DTT541-S152	806rcbc421-S326	GnotoExpt-FP457-S678	GnotoExpt-DTT565-S177	GnotoExpt-DTT607-S342	806rcbc562-S467	806rcbc433-S338	GnotoExpt-FP475-S696	GnotobioticExp-DTT-193-S203	GnotobioticExp-FP-175-S37	GnotoExpt-DTT451-S599	GnotoExpt-FP469-S690	GnotoExpt-FP595-S291	GnotobioticExp-DTT-199-S209	GnotoExpt-FP565-S81	806rcbc396-S301	806rcbc550-S455	GnotoExpt-FP529-S44	806rcbc427-S332	GnotobioticExp-DTT-205-S215	GnotoExpt-DTT457-S605	806rcbc168-S265	806rcbc488-S393	806rcbc464-S369	806rcbc444-S445	GnotoExpt-DTT601-S336	GnotoExpt-DTT613-S348	806rcbc519-S424	GnotoExpt-DTT463-S611	GnotobioticExp-DTT-181-S191	806rcbc174-S271	GnotoExpt-FP451-S672	GnotobioticExp-FP-187-S50	806rcbc402-S307	806rcbc390-S295	GnotoExpt-DTT547-S158	GnotoExpt-FP559-S75	GnotoExpt-FP601-S297	806rcbc376-S510	GnotoExpt-DTT475-S623	GnotoExpt-FP541-S56	GnotoExpt-FP535-S50	GnotobioticExp-FP-205-S69	GnotoExpt-DTT385-S531	GnotoExpt-DTT469-S617	GnotoExpt-FP481-S702	GnotobioticExp-FP-181-S44	GnotoExpt-FP463-S684	GnotoExpt-FP547-S62	GnotoExpt-DTT391-S537	GnotoExpt-FP607-S303	GnotoExpt-FP613-S309	806rcbc494-S399	GnotoExpt-DTT481-S629	806rcbc470-S375	GnotoExpt-FP553-S68	GnotoExpt-DTT559-S171	806rcbc362-S497	806rcbc370-S503	806rcbc525-S430	806rcbc476-S381	GnotobioticExp-DTT-175-S185	806rcbc556-S461	GnotoExpt-DTT553-S164	GnotoExpt-DTT595-S330	806rcbc531-S436	GnotobioticExp-DTT-187-S197	GnotobioticExp-FP-319.fastq	GnotobioticExp-DTT-308.fastq	GnotobioticExp-FP-301.fastq	GnotobioticExp-DTT-362.fastq	GnotobioticExp-FP-313.fastq	GnotobioticExp-DTT-320.fastq	GnotobioticExp-FP-391.fastq	GnotobioticExp-FP-385.fastq	GnotobioticExp-FP-307.fastq	GnotobioticExp-FP-367.fastq	GnotobioticExp-DTT-368.fastq	GnotobioticExp-FP-373.fastq	GnotobioticExp-FP-361.fastq	GnotobioticExp-DTT-302.fastq	GnotobioticExp-FP-379.fastq	GnotobioticExp-DTT-314.fastq	GnotobioticExp-DTT-374.fastq	GnotobioticExp-DTT-380.fastq
GnotoExpt-DTT535-S146	0.0	1.5265558841934312	1.4532386378873317	0.30265808724243853	3.8355860447301953	2.1264135274635914	3.0779710185361644	2.6374263233895143	2.8892966489113054	3.305326569111781	2.9933563642274974	1.6286733885190412	2.8325330400683493	1.9489656566625757	2.7251661420548094	4.358543765874354	1.7574201984383113	3.1272375109585284	1.8028933464410724	3.600637471296104	0.40676010609849006	3.057140497641214	2.16583566231465	1.8232291205284705	1.7840464697090828	1.9268297688599698	3.320436560536008	2.216504422590784	3.1998201827113775	3.6488773605435623	1.8422352106915572	1.792100810131072	1.2617361797722717	1.6406031456372006	2.5068861988625772	2.1127390502469705	1.826166591570916	1.8592812977840854	0.27630697352531536	3.027177336184488	4.303654887026851	2.4046605205393803	1.930106792559377	0.3410869323716017	0.33895304221644723	1.601083557368646	1.69548257647502	1.9665671575819437	2.8964066851403807	2.5276178599388515	2.485021019900371	0.4405232725766074	1.3763716070243595	4.256483442896457	4.184116522018028	1.8260936885547894	1.82140352747953	3.4257726199776815	3.0760182667217206	2.8180427633838945	2.760484002157187	2.477331389618772	1.5865385935428096	3.4486640251602325	1.2809960975166252	2.914140726429936	2.9855735519686246	2.8144074646805524	1.5525281744844521	1.68287907015857	1.7887437324431028	1.8289172888548926	2.543274137877922	2.2343575785642265	2.34245864226504	2.2244134204212362	1.9436872808636745	1.9034825995615334	2.465403374295473	2.1468070640213717	2.42038265413975	2.5728437313547885	2.497937772813399	1.935544732789264	1.9516492781742407	1.8804700240584695	2.2781368880280692	1.8179941773319264
GnotobioticExp-FP-199-S63	1.5265558841934312	0.0	0.07803992313112423	1.3318112900460595	3.011660279951448	1.043475664992176	1.6409884959523737	2.158775169232569	2.2861514353391024	2.640344823246589	1.556069932293914	1.2902177299729263	1.6523849919433973	2.3216491321181336	1.2828565703779984	3.1565616973053388	1.3951840279697691	1.67053468840037	0.6152230551930672	2.915493899283051	1.6266703550000985	2.2583188567224783	1.924343610293766	2.3234829124217558	0.7399206350415032	0.7140284908580536	1.987479458690538	0.7202227890770135	2.3012185601448745	2.8245525897359087	1.2561422184334188	2.0957734446052054	0.5607431828809332	0.7117827414929689	1.4957952287712004	1.0210692710125024	0.522231735801716	0.5723976819950549	1.5132497002798835	1.5921428216835112	3.1945623445029856	1.3495983429295593	2.2213374918995386	1.3914789033680726	1.4217284212372974	0.5003333843615219	0.9880817341457186	2.3080945465133924	1.4514132464251626	1.200410626290297	1.481205830469491	1.9148139204297958	0.15097132590576415	3.086948380547495	3.03868657352857	0.5600363963655999	2.1340292685594333	2.0897263260131598	1.6261579324285156	1.396701299247266	1.4378118388002306	1.4003907699127018	0.43322022231253027	2.174997578948052	0.5325331896791575	2.5737834956429824	2.1144644800088392	2.1802273265229433	0.09990626293116057	0.6315482939280055	1.883624615467628	0.3379620216361111	1.167859382745762	1.1491611767176075	0.9543465785372351	2.5314913132059593	0.5909133418054374	1.0197626091254153	1.0567353084900544	0.815710305503348	1.4428181315941304	1.1924998857491358	1.0746983430144026	0.4222539193452682	0.8374688585537086	0.382176036161752	1.2133665875384398	1.5579584524514691
GnotobioticExp-FP-193-S57	1.4532386378873317	0.07803992313112423	0.0	1.263968886485582	3.01484983611012	1.087845705472216	1.6986441287025897	2.1342454964980653	2.272020110410172	2.631370850552616	1.6138255349240405	1.2518738904217441	1.6969531706649779	2.2607174880495404	1.339659823091102	3.1903979217825666	1.3577897414155269	1.7291944911078212	0.661174279216153	2.909890798588734	1.5535677876447864	2.255650273765421	1.8903302481652546	2.258734769307965	0.7755635410046977	0.7371241451292717	2.034792286619518	0.7879974576024612	2.3066814952941463	2.8277352825105866	1.224908755353664	2.035822184817972	0.5411304296117909	0.7324242953639393	1.5385401757135295	1.0616886086170527	0.5786483623918285	0.6302802428577222	1.446149420350372	1.650278589664894	3.2201061205830936	1.3582174095822774	2.165456747636181	1.316486669422667	1.3557626706473822	0.48058115414266206	0.9616505951932836	2.2483301757481	1.5081180910331637	1.2499894506960383	1.5229080607978305	1.841468747323568	0.08004925869409917	3.117777610909473	3.067054587980798	0.5809150272980117	2.075695201527572	2.1395895637850004	1.6830638222667489	1.4556667866332906	1.4780213529914736	1.4113807694389173	0.42590021627670743	2.2177554879219215	0.5136783561733052	2.546088076162698	2.1153329190887953	2.1659065587735316	0.14715836632995355	0.6140932736797264	1.8288023913457603	0.39919012244360624	1.228970640184209	1.1615504358807394	1.0153158497425532	2.4783301830951916	0.6248571525019965	1.0125720655207509	1.118879712729546	0.8470341055516004	1.4487016617421529	1.2361328339215538	1.1243634485778191	0.48777705086783135	0.8459536635864999	0.4547019474123823	1.2231424753388664	1.5215295457016664
GnotoExpt-DTT541-S152	0.30265808724243853	1.3318112900460595	1.263968886485582	0.0	3.8601390121008783	1.8649592618150628	2.9144351931087855	2.707826542685226	2.937156035185725	3.354868658745491	2.8277316702136805	1.6311794523468746	2.6395100144318255	2.147425933195109	2.560360702522241	4.290214431124449	1.7824657201545702	2.9680114254811296	1.5437421679385683	3.6496106161564494	0.5977884700118957	3.0750956414176605	2.2323855822174212	2.038515834106912	1.512986406758076	1.7864181767255174	3.180478111226556	2.020191795708757	3.1985592685971502	3.6704343054674218	1.8500994580019554	1.969037376622967	0.9975395128887243	1.370729052048418	2.254502876871646	1.868615025718483	1.578499320697986	1.6042793108061795	0.18537842186067083	2.8592606474136963	4.264045497018537	2.3505797834564586	2.0951673910387356	0.4766850370398371	0.1841039793849603	1.4903394357040807	1.6497521147810896	2.1591419998389116	2.7377116157238865	2.3462123107975823	2.2344095910868513	0.6894413733076116	1.1848155753934113	4.1958013238732805	4.131496537590827	1.6838056775407455	1.991883738681217	3.2745814704565195	2.9229489571593668	2.6364128425070072	2.63546581446881	2.422112679246465	1.4436920208912145	3.318419225059874	1.0191503846580805	3.013914205125333	2.9865314187392484	2.8588995688229106	1.353274011256892	1.5893690040896267	1.9271356037426899	1.6454403624608396	2.329251999787315	2.1533159879919164	2.1291450804516248	2.3957446529710755	1.798299862132027	1.8304324145376747	2.2579215936138	2.0236981102467198	2.372603247604226	2.4441963764677914	2.352267110735704	1.7517186254416854	1.8490783366804109	1.6715363645599024	2.209232866693414	1.8488435538004855
806rcbc421-S326	3.8355860447301953	3.011660279951448	3.01484983611012	3.8601390121008783	0.0	3.6565143194456367	2.3943523346012308	1.3487622637922339	1.3430993494794354	0.7583062841091839	2.422734801029928	2.6921768787055202	3.1786309728088082	2.5937448825634126	2.4208431856946517	1.461498437634264	2.4593108775859602	2.3002492292210737	3.462961535118572	0.7796831525703162	3.781848280459788	0.8943133089884434	2.393048129572952	2.776228711490308	3.6157858555755027	2.6886803866538393	2.261591864288162	2.7984664832364174	0.924234549001851	0.6467707403302267	2.1320532008334587	2.583533490366113	3.5500003997066494	3.6183774658792918	3.846507622532834	3.514302109076847	3.334747658260176	3.4013127914656787	4.01570275399372	2.4593243617722798	1.02398487586289	1.7408168804809414	2.746435886939498	3.5917154466635437	3.9577241550053186	2.5763983507890935	2.492196939214484	2.571397740227524	2.3191317632378463	2.7780836214333	3.8295684166633825	4.072035831058187	3.0630659022017004	1.3413416454058844	1.1758577513115758	2.666224794977976	2.7064575241434463	2.460984677469843	2.222129401477746	2.6580626291764573	2.0574427398769632	1.6562810105040364	2.798907273699203	2.274566807460841	3.5140166307531215	1.5061791192521237	0.9024919627670748	1.1752396503865967	3.0405228787324123	2.4253415396806806	2.3846926440086382	2.8354581508445813	3.0629321271387067	2.1733164875653688	3.0279497772506234	2.8534319576457396	2.5774441572539266	2.4853819558125148	2.955218030222614	2.267569249589271	1.8964821099248153	2.0860622852618436	2.263486899642542	2.776438257044987	2.432961074094575	2.9805506681926115	2.026631867371534	2.6499246912292946
GnotoExpt-FP457-S678	2.1264135274635914	1.043475664992176	1.087845705472216	1.8649592618150628	3.6565143194456367	0.0	1.6456728064392114	3.0488739524284822	3.1989615158117988	3.4497108708071105	1.5623129526797213	2.3309841934264868	1.10327729046037	3.274363542869456	1.39527328174114	3.406646862996083	2.4358716566818264	1.7676609013054445	0.47802007909313954	3.728381410369115	2.3641201443769977	3.045585636812835	2.961926635209291	3.265233578657163	0.43343923459103517	1.6147842097823277	1.9488972274433858	0.9304577283184623	3.0664477066306834	3.5812943752067725	2.2500985290486004	3.073501197395871	1.0450005663034994	0.5203859445024142	0.4923554426153667	0.21143778860033477	0.5585022504320274	0.5802280647997052	2.017106787379502	1.5616816628731787	3.584324518858996	2.1618817995810757	3.240917186871111	2.1410170772989616	1.974671241704947	1.4889312389769627	2.0200118221372843	3.27293164137635	1.581078429094213	1.0188430516180118	0.4862217861361938	2.55035015134119	1.100786778914393	3.3640731767311625	3.3685992706954777	1.4939458422761205	3.1404327244858345	1.9389455230748027	1.7909240115751428	1.268140229685043	1.6883919785189188	2.166045273117886	1.4526301004287006	2.100957297734007	0.9276372614943013	3.5148217519172698	2.8024009721303553	3.0481751626263254	1.071650654846781	1.4972664718966422	2.8724394178893147	1.1420600194713528	0.7753625076865949	2.039904415323845	0.6880943815909238	3.5604885502918373	1.447441550665711	2.0124504622869304	0.8128038389086644	1.5422053532813682	2.332276392482673	1.661067535249629	1.4707642542992092	1.0761455230510613	1.779995745668961	0.8291875078238917	2.092745816246462	2.5985461271594548
GnotoExpt-DTT565-S177	3.0779710185361644	1.6409884959523737	1.6986441287025897	2.9144351931087855	2.3943523346012308	1.6456728064392114	0.0	2.375898984596552	2.4272068591174722	2.4516103080784712	0.08991023009722576	2.4192932224578536	1.0898163388772728	3.233474942978335	0.3597832220761489	1.8120602200047897	2.379548156165147	0.22200498605407332	1.6678016574019578	2.664089382749165	3.193499507193761	2.0481188925667944	2.75220975946864	3.3196069644962547	1.8022829589739233	1.6416771545310282	0.4959758243258489	0.9583037177052839	1.9855699686277908	2.414207465087231	2.0279352538420494	3.0658217187166996	2.1247552687883418	1.8841765940304422	1.7093528732560042	1.5371622232409177	1.5623793767789318	1.6100072449938587	3.099141965693516	0.09154568735403198	2.043788989527111	1.4535768619451725	3.241358205268879	2.9421667457877025	3.032137790224504	1.6211336073149674	2.0103691201618834	3.2175164426924563	0.23673463837964806	0.7426546401283206	1.7050663450331194	3.478828580297777	1.7699096041682552	1.79510851489396	1.8167052393237642	1.5711781149063804	3.160353161007351	0.5920194263163323	0.30613148195285805	0.3924684896613773	0.509051596936786	1.3718590688568222	1.7355440319694087	0.7531198443118071	2.047640491355335	2.8506197840183036	1.7517848660723896	2.2426699204060907	1.6655637462395105	1.504721162199981	2.794231290162012	1.4174418485343334	0.8840551943985094	1.6117316880926489	0.9721542927976041	3.5123616535986675	1.4035075279891027	1.912792243301481	0.8363434716058729	1.1408253359608522	1.7314262571857706	0.7345017060130813	0.679087824276993	1.258148852898966	1.6282800504058172	1.3215826697969013	1.575657833319784	2.5964286617620513
GnotoExpt-DTT607-S342	2.6374263233895143	2.158775169232569	2.1342454964980653	2.707826542685226	1.3487622637922339	3.0488739524284822	2.375898984596552	0.0	0.5012895423431348	0.6912631115180579	2.355076719346016	1.499673577242944	2.957982583278075	1.3018230280116547	2.201347647086814	2.456082521248297	1.2440739167803252	2.300946348445126	2.7328090149792104	0.9893734162661254	2.5204050919939176	0.639080313214931	1.1692701452411784	1.4792425651242915	2.8710001888571033	1.8502148154189493	2.4375289880837943	2.2718904090963834	0.8776653925176815	1.115167536014139	0.9897092201928606	1.2486436618829968	2.607163713514115	2.8336201329905752	3.3645319677498775	2.932343834639748	2.616183766833373	2.6791213684848594	2.841917022745535	2.406950980230349	2.160850895276597	1.0803663387738056	1.413244641290767	2.3645043962492673	2.7797219388445753	1.6623483789345392	1.4166454047158497	1.2687025378910652	2.198047623504225	2.4595043546244773	3.3439735423469314	2.810438225919522	2.159218006910745	2.3318549492787106	2.1874344221068003	1.8222106860831648	1.362729027633326	2.6513821204958488	2.1995347583207634	2.476586589571087	1.9155319194519038	1.086940699989238	1.8709433430018785	2.5302059098977776	2.6017640746536657	0.5301792823426998	0.8287377296027216	0.30212390967396247	2.1826682536643065	1.5706006545755116	1.0406830758349745	2.0719285340957394	2.7000042785291662	1.3875943019594685	2.575985872134858	1.5682439978538627	1.8092017088939285	1.508178336718838	2.5648543846245686	1.6293780229061137	1.126423192102146	1.7507897637129275	1.8938842864279828	2.0830224086678433	1.5673730008389597	2.289315223381307	1.258445673673864	1.4336907428278627
806rcbc562-S467	2.8892966489113054	2.2861514353391024	2.272020110410172	2.937156035185725	1.3430993494794354	3.1989615158117988	2.4272068591174722	0.5012895423431348	0.0	0.6190107793466291	2.414866766376153	1.5092416719193553	3.1492977151438235	1.5967658509641371	2.2726790405604063	2.449414494569886	1.2679562241560853	2.3099186604540134	2.8582125275847554	0.7761150235417352	2.7302494643914113	0.569900546752133	1.0705889049903015	1.772882679759509	3.0056311553196977	1.829799799188758	2.5420450748483376	2.359511025374332	0.667948857014216	0.8825384113266929	1.113080181274243	1.5024937484010323	2.740195973314136	2.9884718016912446	3.537311499516655	3.104708454281979	2.73226303307672	2.7794739721215356	3.0732201716069034	2.4700647462688083	2.1294594148639243	1.0781693073345304	1.5275183025641876	2.5880806600050694	2.9881367008622255	1.7925560035773715	1.452111914447388	1.5432765071746937	2.241137572296575	2.6166940064594915	3.520477992711622	3.0497759042574506	2.3066772308135266	2.343595903409497	2.1892269314952495	1.8508089429721633	1.530679139615513	2.7611047399670214	2.200854693225359	2.573163232831711	2.0277122424315794	1.1074840973100515	1.941835786444213	2.6649650911309153	2.758055863609399	0.5240761368499961	0.9549291146937473	0.32527643052962224	2.2895957902340407	1.756476270500037	1.2882604013874108	2.1407452907823803	2.8227946998137536	1.306168965436571	2.702437695404152	1.6143832892621075	1.8404268969564852	1.466472582442007	2.6815520987288206	1.6890048449254873	0.9896568927984938	1.7874281849943674	1.9511422768942712	2.1623317108155984	1.5589629011203217	2.395526228996625	1.1935103683490917	1.3931175202371842
806rcbc433-S338	3.305326569111781	2.640344823246589	2.631370850552616	3.354868658745491	0.7583062841091839	3.4497108708071105	2.4516103080784712	0.6912631115180579	0.6190107793466291	0.0	2.4562174240003865	2.062414204053566	3.19935979258738	1.9381032676351244	2.370996234816873	2.0539005628997593	1.8164457604753195	2.3456028454563604	3.172082319105549	0.34673119463454627	3.194160543141398	0.42772410442315995	1.6728566863093066	2.125612702178597	3.322649697496653	2.256305214117713	2.449466593805133	2.593274207255305	0.5768521990128097	0.47754860575921176	1.5621310242962825	1.910046442764804	3.1382882594973474	3.30942810475122	3.7239678209349827	3.3278778560431066	3.044451768727349	3.1040999664861135	3.4978913125598012	2.5046289492438047	1.6731831691658263	1.358931831499678	2.0218807419693237	3.0316203308232144	3.4297857664731004	2.1580033086470847	1.940955751976964	1.9030439754986892	2.3096468960185828	2.718799797546623	3.7059995195454385	3.49337404099564	2.670710433552498	1.936583910074336	1.7727278104202702	2.25094239450222	2.0001561839764235	2.6669838993284967	2.2465774263079297	2.6501147925983712	2.0506852011041863	1.3252245625033132	2.3565400101097644	2.5216740494188628	3.128596626919535	0.7665641473746223	0.7486505963365773	0.5099531111496093	2.6591944345191685	2.0548822319408737	1.7167898965849233	2.488031566757816	2.9736090499818526	1.7227189949799504	2.887910135696594	2.108582093566939	2.2033312536735936	1.9581703520992921	2.8447079046655723	1.9648355016075854	1.4117733263485066	1.936215309954807	2.1131653585879846	2.4715977649338696	1.9815642228393098	2.6937188489441817	1.5840209447874691	1.978453364685211
