	GnotoExpt-DTT484-S632	806rcbc365-S500	GnotoExpt-DTT550-S161	GnotoExpt-DTT472-S620	GnotoExpt-DTT556-S168	GnotoExpt-FP562-S78	GnotoExpt-FP610-S306	GnotoExpt-DTT538-S149	806rcbc431-S432	GnotoExpt-FP472-S693	GnotoExpt-FP616-S312	806rcbc393-S298	GnotobioticExp-FP-196-S60	GnotobioticExp-DTT-178-S188	806rcbc479-S384	806rcbc553-S458	806rcbc522-S427	806rcbc436-S341	806rcbc528-S433	806rcbc379-S513	GnotobioticExp-DTT-184-S194	806rcbc430-S335	GnotoExpt-DTT460-S608	GnotoExpt-DTT598-S333	GnotobioticExp-FP-190-S53	GnotoExpt-FP466-S687	GnotobioticExp-FP-208-S72	806rcbc171-S268	806rcbc399-S304	GnotoExpt-DTT478-S626	GnotoExpt-FP484-S706	806rcbc497-S402	GnotobioticExp-DTT-196-S206	GnotoExpt-DTT388-S534	GnotoExpt-DTT616-S351	806rcbc467-S372	GnotoExpt-DTT604-S339	806rcbc426-S427	GnotoExpt-DTT394-S540	GnotoExpt-FP460-S681	GnotoExpt-FP478-S699	GnotoExpt-FP454-S675	GnotoExpt-DTT454-S602	GnotoExpt-DTT532-S143	806rcbc491-S396	GnotoExpt-DTT466-S614	806rcbc534-S439	806rcbc445-S446	GnotobioticExp-FP-202-S66	806rcbc559-S464	GnotoExpt-DTT610-S345	GnotoExpt-FP538-S53	GnotobioticExp-FP-184-S47	GnotoExpt-FP550-S65	GnotobioticExp-DTT-190-S200	GnotoExpt-DTT562-S174	806rcbc565-S470	GnotoExpt-DTT544-S155	GnotoExpt-FP568-S84	GnotobioticExp-DTT-208-S218	806rcbc473-S378	GnotoExpt-FP556-S72	GnotoExpt-FP532-S47	806rcbc373-S506	GnotoExpt-DTT568-S180	806rcbc177-S274	GnotoExpt-FP604-S300	GnotobioticExp-DTT-202-S212	GnotoExpt-FP544-S59	806rcbc405-S310	806rcbc424-S329	GnotobioticExp-FP-178-S40	GnotoExpt-FP598-S294	GnotobioticExp-DTT-305.fastq	GnotobioticExp-FP-304.fastq	GnotobioticExp-DTT-323.fastq	GnotobioticExp-DTT-311.fastq	GnotobioticExp-DTT-383.fastq	GnotobioticExp-FP-394.fastq	GnotobioticExp-FP-370.fastq	GnotobioticExp-FP-310.fastq	GnotobioticExp-FP-322.fastq	GnotobioticExp-DTT-377.fastq	GnotobioticExp-FP-364.fastq	GnotobioticExp-DTT-371.fastq	GnotobioticExp-FP-382.fastq	GnotobioticExp-FP-388.fastq	GnotobioticExp-DTT-317.fastq	GnotobioticExp-FP-316.fastq	GnotobioticExp-FP-376.fastq
GnotoExpt-DTT484-S632	0.0	2.1834798374327464	2.7001125851423797	0.2822433180081445	3.6440906534050646	3.616747671894916	2.8871745111229337	2.368546662538423	0.9921368741427797	1.3374907171373942	3.593495398052546	2.6351695773893278	1.2823917839987964	2.6433254150933276	2.158839999052304	1.4759914459129662	2.2459061746923843	2.3667679807012028	2.1288105578053536	2.382388465457576	3.1597710991333345	1.263989949236482	0.4591434840386974	1.3352260851927276	1.8573051579264221	1.4814875699340164	1.2540176335283209	1.4336333175332014	2.613095882459836	1.283635469376041	2.5690427007555563	2.9716479112033216	0.9818217108186236	2.222683944386132	1.7439372526820975	1.8000312267795453	1.8876256707260566	1.5566498027873452	2.229683717735355	2.632055355185854	1.38846299404831	3.919206212296815	0.8181914085097534	2.005658152641948	3.138446315504786	0.16784443466232263	1.77948046671392	2.1051371470953284	0.7316631589288971	1.446358727764718	1.5501414365234212	2.2467177202410777	2.7726301023377466	2.6650581816419243	3.4943205712263956	3.245445362648376	2.182995490638968	2.0131963852725865	3.7506473875006607	1.8729616367660367	2.0303102335224477	3.878481580409603	2.2379178744344808	2.2437453389626447	4.142599646214112	0.8658346086272237	3.541093366142123	1.8800815145871859	2.0767654427846938	3.0174386088076557	1.4501587638657565	2.2367730208184486	2.1422562802679126	3.228596828117887	2.2927849037521417	2.0845531199084055	3.346048757857334	2.469082473356221	2.06666007460802	1.1798116629585735	2.8589671712125764	2.016772538412764	1.8724991921209326	2.884516040387257	2.0219630172198677	1.1354436233691	2.0931783657314864	3.755158086874641	3.487877664633871	1.6706372596637453
806rcbc365-S500	2.1834798374327464	0.0	4.115148842200161	2.249417289745911	3.2450456762673077	3.6318736087135868	0.9807206222766521	3.8024637194830304	1.3130221617897226	1.27597284269173	1.821510685084311	2.4113426712579553	1.296013870009973	2.3646298120101865	0.4952693255044471	1.316377004167221	2.5738872820327385	1.1373550949921958	1.6488263716776603	0.5636454482722065	2.5947565929738503	1.8454018587478909	2.2288710849541378	1.6666920374133143	0.33300951953898184	1.9362715378848472	1.5293727590659736	1.2332825485551113	2.651615619802718	2.7598411635436104	1.5639550935677868	1.7283915452404688	2.228091942024194	1.0627871492779242	2.015489453291679	0.7576605189559905	1.7985862550682599	2.2811575850170596	0.9487415721679714	2.6064996299677676	1.2384124708542776	3.307022017877742	1.4148468923208748	3.513349013256589	2.3388177753414783	2.146335341195194	1.7485188673215855	1.3507643537288052	2.113604661895496	1.0916926866863488	1.969081772943786	3.7696472196688227	1.4253944059588668	4.098632939422988	2.908240860619577	3.2230212212456166	1.8755598147353056	3.7276202727906926	3.3265964483595343	2.077366906914609	0.5679014894693905	3.4471764009285017	3.7268643956561305	0.14755389219925133	3.4320725550027364	1.5130323092401459	2.002735628592364	2.124975211289198	3.7986601886670814	2.6063544552274416	1.9633928614251113	1.3838651699592435	0.5946112541944446	2.8181013173079092	2.733809116307178	3.224423777735947	2.8417086622551193	2.5135519838930738	1.8023155909389306	2.364059786237638	2.859576938753785	3.355308164734035	1.5663209895324437	2.2925149777965466	1.6348658534812777	2.764347082311592	2.130450174867631	3.148026981072308	2.499290400342997	2.1910816377003144
GnotoExpt-DTT550-S161	2.7001125851423797	4.115148842200161	0.0	2.4525587460449225	2.9656320175282858	2.419521234132363	4.413167150945172	0.36770446964737674	2.953928424233355	2.9532214993153034	4.560734565752631	2.5303702249528315	2.9132522573856177	2.5385155057948205	4.331595101083671	2.80679641984891	1.8866776520245805	3.619255474734432	2.9862264392524924	3.966102685448701	2.9708898171786884	2.609287215664214	2.411566710094546	2.5714966308228933	3.843442886360158	2.29094090902031	2.8465315335366284	3.607563342326335	2.202855346247364	1.5395698131308635	3.3597005428632274	3.770217723880179	2.0301178790221712	3.4745828256974978	2.2377892372455572	4.140666431752922	2.5452400325641555	1.9873355456905266	3.5415452410502617	2.272328745047498	3.052375814932963	3.333472643040555	3.0080357297241793	0.802427967652123	3.286273129789848	2.5818934537997476	2.478811829902857	3.0866992409013254	3.415522469497448	3.489711944936769	2.213093053892344	0.46347876819340833	3.6995089938250327	0.09176626328187686	3.1035189911287913	2.323605547043802	2.907309773917572	0.8283732203758155	3.0278527212438093	2.2866407997522793	3.9943431921843406	3.107804496240685	0.5598613110467687	4.2163834188263065	3.5787870981299936	3.0980119181734422	4.300068703432403	2.204399581962695	0.7899739737613803	2.7966696450966815	2.4071026647589986	3.127688729737656	3.730829426892042	2.7947021764152473	1.7189878280603232	0.9137566668727786	2.9485484342303194	2.215920806220621	2.776736241855609	1.8782118273018988	2.2152519125934567	0.765854838290219	2.7204398401114513	2.952117864991919	2.7593826783025532	1.6141381951834877	2.3395531286088804	3.2420666443818025	3.567235193349122	2.1130122123603776
GnotoExpt-DTT472-S620	0.2822433180081445	2.249417289745911	2.4525587460449225	0.0	3.436224998022957	3.382235295718684	2.8815043477103996	2.1131241363501214	0.9750588107783692	1.2596942071425026	3.5372585434504233	2.4334871052457863	1.2048712074032453	2.4666467051959393	2.2605974104447966	1.3962098391475029	2.0199464723278324	2.2956577875635644	1.982382728129349	2.3826796615375083	2.979460604320661	1.0933339342536759	0.43095780719659477	1.1756963622328285	1.919684191167625	1.2774762254602567	1.1429733023221256	1.4777282154557068	2.3915817955885466	1.0774385725937228	2.452383463541819	2.86348082094617	0.7260577330131912	2.152638024826296	1.5406145861144458	1.950314412955173	1.7141310606596414	1.3114724627051093	2.1744894158970816	2.416488244630938	1.320371446093886	3.742175284277431	0.893129589286371	1.7411082966722484	2.974197443278539	0.21781035058769896	1.625004995096946	1.9964130308526993	0.9776355081465755	1.4634844140686671	1.3478187506150145	2.0016676439857353	2.6871614324205018	2.4147130320619277	3.3123912388806525	3.0227396338897257	2.014865502370332	1.7779641925329905	3.5472044615707237	1.663684737583605	2.0713170380345916	3.6714391863406193	1.9778666058287506	2.3142268073466385	3.960750044678524	0.8881903901893929	3.4511136486315577	1.6679165477299973	1.8523476002683095	2.8204126861150276	1.2462398311917944	2.137812463249621	2.1322057736336517	3.045615156047951	2.069736847112168	1.8332234904734754	3.1606533006447504	2.2505486330213222	1.8977823677081558	0.9137622963732008	2.649162576897916	1.7615912169386276	1.734232042196819	2.7114041795203385	1.876116278155806	0.9242874255394661	1.8894556546473502	3.5740234165279863	3.3451308112302436	1.4396532770579058
GnotoExpt-DTT556-S168	3.6440906534050646	3.2450456762673077	2.9656320175282858	3.436224998022957	0.0	0.7138090855082719	2.900550072048488	2.859097329659356	2.9756848771062736	2.6588410284899995	2.3901355805453615	1.0392374261402273	2.6729785505632706	1.1254442484689198	3.635170094799091	2.4300986164994627	1.4809237057910742	2.3121683304096368	1.9402842296514076	2.761107326857088	0.6552353774036886	2.676239702478478	3.403751865932787	2.439455975604811	3.1839173277703927	2.2123145134210263	2.732236931542614	3.419348882808643	1.0625061399927185	2.913771080357963	1.750763424245034	1.8638296787426305	2.7408873253677135	2.2653297252851683	1.9131828812241336	3.7962053187393647	1.842666725503188	2.200494477858709	2.336803250237751	1.0247612036680822	2.7142192626285806	0.7419251644073275	3.247651724363565	2.887370339497803	1.0248395934380075	3.4990130763340423	1.9376725298683275	1.9690587005716316	4.176328446774762	3.1881736920299746	2.1016220452927357	3.0020723075569435	1.9478868436842083	2.9768921504125654	0.4693327775068122	0.6724972399347942	1.926439940651063	3.286794505698464	0.20642507564563695	1.8253135748896445	3.2186999885456897	0.25193744964183795	2.9138047210116182	3.330350096005527	0.7107917944279067	3.3069502820468157	2.0321712294677248	1.7870060565814583	3.3451499964055973	0.7101130440409189	2.3807999422545443	1.8956233112998289	2.6854789053098993	0.6776166691242539	1.5822712439344961	2.360527313101998	0.49048217397399346	1.1935759393277405	1.8578141825659495	2.6111903821835583	0.9493297380492176	2.6289497851576917	1.9366509252063442	0.9630916757436647	1.8011999578188	3.06055222445236	1.5832391596270992	0.5352695072645705	1.0549832374770447	2.062689772352678
GnotoExpt-FP562-S78	3.616747671894916	3.6318736087135868	2.419521234132363	3.382235295718684	0.7138090855082719	0.0	3.427167975859678	2.3777295021310407	3.1194027397562736	2.852879131339772	3.034977595056442	1.2711652542561591	2.853767397075729	1.318784446942853	4.0057827740267475	2.608612952863274	1.3746862895737773	2.748820525092679	2.248956549074934	3.203208851791304	1.1736051406029249	2.765655897823554	3.337842292774478	2.5555248019112713	3.517138101142954	2.2681924333127124	2.883635846224618	3.6542547623500927	1.0790821283525804	2.688121954706899	2.2155364380122307	2.423250415153783	2.670551082069473	2.6707588532232265	1.9755943721620433	4.087907408877445	2.0208727376430713	2.1563501884667264	2.7470197370852696	1.0871678184114046	2.926544359719386	1.1633922511309573	3.3565820144449985	2.4929056794444233	1.6060060934879514	3.4654180209078644	2.0759605783642407	2.3093185731749406	4.229080892957214	3.4352154903780105	2.1426223944627454	2.5405592045749317	2.4729848583880325	2.4386537859243336	1.0537316721387293	0.4352895851619039	2.200135541461613	2.8733471431808537	0.7296094864509435	1.9082978960407926	3.5870375290772416	0.7513750150586054	2.465211409578243	3.7277164174949524	1.2689359853092048	3.4349202041223768	2.6874291728689172	1.8427173285581502	2.916579660629637	1.125795321101078	2.4488083289774525	2.2523438544428136	3.082212699539194	0.9889175018680824	1.378864582183895	1.9757381024245397	0.9892502391972251	1.2425680769473857	2.1080969115184445	2.5104079603590113	0.8696483605859963	2.2323702111368253	2.161793490717101	1.4219285032980542	2.058634905240004	2.844770711514132	1.701789642545145	1.0717063828333806	1.691853603174199	2.067440412176519
GnotoExpt-FP610-S306	2.8871745111229337	0.9807206222766521	4.413167150945172	2.8815043477103996	2.900550072048488	3.427167975859678	0.0	4.109155360582602	1.917732363707846	1.666842346630691	1.0386821250924574	2.244338702614738	1.7184008788659995	2.3237875532854453	1.1968567385148818	1.7663081943529884	2.658429459894487	0.8223318293201912	1.512606616648751	0.5925290760896207	2.297041187285393	2.1238796857851754	2.9284323647444666	1.9643137050349864	1.1707901067490167	2.1708204697194198	1.8664764917223837	1.7098562177098764	2.565846747775375	3.2786750480702884	1.2259853866020511	1.0940310082191367	2.6608856307689135	0.9391011964219854	2.1771044786735785	1.6764032831033064	1.8761592516650958	2.493627870464875	0.8837057265157477	2.5117623606661215	1.6018222746788031	3.0005205242601085	2.1725937416934995	3.838258158157815	1.890599666163404	2.8363693658096194	1.9741254953606635	1.3455842836243268	2.8833073805459364	1.5520749275721892	2.213171908788517	4.1266091083843515	0.9713576287558304	4.393371547561631	2.5884837432907055	3.075164343786601	1.7026143591493177	4.139109346190709	2.9959188548454443	2.1559403822744923	0.9700023404852214	3.084085502200692	4.037702586198031	0.9386009742549788	3.00880083073121	2.09879831141624	1.2102566350458228	2.2268151908584324	4.230115573153533	2.3122878153023194	2.1681809691196974	1.408442445128669	0.8024564894006627	2.63585975606924	2.879825398871954	3.5202049338292563	2.568030189589381	2.4506861404446516	1.720556067380606	2.7325598268378943	2.8103440810978557	3.686646910911224	1.7067086005984975	2.00602471294322	1.6773358325442198	3.3046914321178553	2.139643932965347	2.8185168882812186	2.0787567754445893	2.349268287337119
GnotoExpt-DTT538-S149	2.368546662538423	3.8024637194830304	0.36770446964737674	2.1131241363501214	2.859097329659356	2.3777295021310407	4.109155360582602	0.0	2.617417328228783	2.6169217980728705	4.310323035493117	2.3136792849567516	2.577694418345011	2.3550418780244224	4.000546127983465	2.5052574401735157	1.6657421173630644	3.3144059814712024	2.6822308790888973	3.6631145328643377	2.8020922185910693	2.2540064916106517	2.101707480509147	2.234089912334492	3.5231425080465195	1.962673862894079	2.4971166190758445	3.2514868632095917	2.0069341477442957	1.2552895288119155	3.08920781631898	3.502502068949973	1.6797819072902984	3.1736754686962914	1.937620331254251	3.8146412214745626	2.2505861679741055	1.6539162402417726	3.2429860215599584	2.0777039432068243	2.7124387150999536	3.255737787861967	2.68510035098639	0.44067009041605776	3.0746723960900653	2.2522927556474124	2.1989590993873387	2.7991268336368096	3.0791034905789716	3.1395556735121835	1.8999870943244017	0.21621529477526905	3.433667464260295	0.3157812499945085	2.9746596875546976	2.2348895176763857	2.6006981336255146	0.5791346043955955	2.9387347261688785	1.9871821793114641	3.6597482122436635	3.0249317966418228	0.2173546561568873	3.89879729439456	3.4913390836132527	2.7443872086187238	4.055218031229553	1.9126457946765956	0.6004133326725316	2.6097993954331957	2.0628951263760835	2.861809882819682	3.4225632311440597	2.670150182030274	1.5327982846575559	0.6759915647204588	2.814767871715465	1.996992974002424	2.4746070957634743	1.5251303714207014	2.083800249863414	0.4591964457611746	2.4320172927549875	2.744071147862359	2.4772526043110723	1.3133523733394386	2.0659323308806723	3.141733124002063	3.3957438797443484	1.7907040237284872
806rcbc431-S432	0.9921368741427797	1.3130221617897226	2.953928424233355	0.9750588107783692	2.9756848771062736	3.1194027397562736	1.917732363707846	2.617417328228783	0.0	0.41589878260390234	2.604246424944274	1.956927158915769	0.36143987031622227	1.980911202068011	1.40429213680879	0.6432960849505	1.7993636878721946	1.392443163138335	1.281503573066036	1.4081135538662934	2.410131206303371	0.7748170520989003	1.0317840196891257	0.6556574520447422	0.9878284980359474	0.9408744300814651	0.5341824823136159	0.8291277100873847	2.0509177099974183	1.5661724841040257	1.6379042417183054	2.0208202300044094	0.9624797065774785	1.2412854560257256	1.1656421831175316	1.224273968836213	1.151243268994572	1.2177716394785028	1.240864501549363	2.0447978508069955	0.47571527833924365	3.2168492264820587	0.4147462055532761	2.2841312583947495	2.2994280776638822	0.9224871936327071	1.0802720485056945	1.1831221878849218	1.2563923400759551	0.6787506363665904	1.0158496772894794	2.562766249345686	1.8029072667124837	2.9264014889037764	2.7646539835606445	2.718387940723431	1.4108187788488153	2.463594661433158	3.0850146317951452	1.2768157270208498	1.1571565552036878	3.211943962096068	2.5143225346567135	1.3836666079165354	3.399239778128847	0.459733675841754	2.5664875832396477	1.3122534414341824	2.543799830915065	2.2999237944440902	0.9441412665335582	1.3338934327311267	1.1597138205977784	2.560088318968448	1.9321564909710234	2.1299089841266903	2.6374439464340225	1.8925787146960014	1.2852362622249967	1.1335821585333117	2.3267004104833044	2.1901235154738847	1.0539485744255304	2.098555795623529	1.1984554981036786	1.5269508749121814	1.4561055446700277	3.037261695699454	2.6383643011866726	1.2175712196777608
GnotoExpt-FP472-S693	1.3374907171373942	1.27597284269173	2.9532214993153034	1.2596942071425026	2.6588410284899995	2.852879131339772	1.666842346630691	2.6169217980728705	0.41589878260390234	0.0	2.299808283799846	1.6383036627586685	0.07106313537603938	1.738282921520749	1.4193143535937158	0.556683188165403	1.5989122681322867	1.0366811673165586	0.8743267118149991	1.206496060661414	2.092930321785955	0.596103639168195	1.3580211219741825	0.41235588474133633	0.9868531597085336	0.7281881458788242	0.3080876383495054	0.8481631434444732	1.7759549425677392	1.7059014398827486	1.2706445862616453	1.6409781841054456	1.017427394686038	0.9040262149817501	0.9286175242246617	1.3996396292219928	0.8355312217674893	1.0510044927426427	0.9388432804676716	1.7665356247105997	0.1310294934715588	2.9417826960909665	0.820084391309731	2.2920448113277057	1.9328658116448278	1.259774048945107	0.8768101344458062	0.8460322662933141	1.6113949827743492	0.6299604423316176	0.8291279721873376	2.5963144190188716	1.470759714099416	2.9237334476233676	2.4614580566924564	2.4622164064850134	1.007289836610027	2.5390828142368442	2.7810465093949497	0.9933904318323431	1.0429396044600647	2.899440996755392	2.5165119950592274	1.3385961564901765	3.08816025517076	0.6882317362625544	2.2166704810000972	1.05520748158313	2.632999594956558	1.9638996667359714	0.7089224870520763	1.0603405838982907	0.948446297057253	2.2970133033026916	1.7843619410244675	2.102428635333908	2.341810471778308	1.6139057760056643	0.8972729359676272	1.1267499223420654	2.0976703499682587	2.194090110439428	0.7639744303370793	1.7621775025303261	0.8779078288215987	1.6915946261508321	1.1593810257153034	2.7444857584692723	2.323076039728512	0.9949831767748432
