OTU ID,Itg.10.DTT455.S49,Vil1.01B.FP07,Lyz2.04B.FP243.S92,Vil1.04B.DTT43,Vil1.07B.DTT79,Vil1.06B.FP67,Lyz2.01B.DTT207.S47,Itg.22.FP515.S18,Lyz2.05B.FP255.S52,Lyz2.04B.DTT243.S84,Vil1.04B.FP43,Vil1.09B.FP106,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Lyz2.08B.FP291.S89,Vil1.06B.DTT67,Vil1.02B.FP19,Itg.26.FP539.S43,Itg.18.FP491.S94,Itg.12.DTT467.S61,Vil1.07B.FP79,Lyz2.02B.DTT219.S59,Itg.24.FP527.S30,Lyz2.07B.FP279.S77,Lyz2.03B.FP231.S79,Itg.18.DTT491.S86,Itg.06.DTT431.S24,Lyz2.05B.DTT255.S96,Itg.08.FP443.S44,Lyz2.07B.DTT279.S121,Vil1.08B.FP94,Vil1.05B.DTT55,Itg.16.FP479.S81,Vil1.05B.FP55,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Itg.12.FP467.S69,Vil1.14B.FP166,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Itg.06.FP431.S32,Lyz2.06B.FP267.S64,Vil1.013B.DTT151,Itg.02.FP407.S7,Itg.04.FP419.S19,Vil1.02B.DTT19,Lyz2.01B.FP207.S55,Itg.08.DTT443.S36,Vil1.13B.FP154,Vil1.03B.FP31,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.09B.DTT103,Itg.10.FP455.S57,Lyz2.03B.DTT231.S71,Itg.20.FP503.S6,Lyz2.02B.FP219.S67,Itg.04.DTT419.S11,Vil1.10B.FP118,LYZdtt351,SLCFP067,SLCdtt019,SLCFP091,LYZFP327,SLCFP073,SLCFP019a,SLCFP049,LYZFP339,LYZFP315,SLCFP127,LYZdtt363,LYZdtt315,LYZFP351,LYZFP303,SLCdtt109,SLCdtt001,LYZdtt303,SLCFP001,SLCFP109,LYZdtt339,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt145,SLCFP163,SLCFP145,taxonomy
k__Bacteria;p__Actinobacteria,89,105,47,23,0,745,14,65,82,44,110,2392,40,72,37,26,35,4,105,21,365,126,2522,33,36,20,97,265,88,26,82,50,377,0,637,261,29,283,155,1086,94,63,108,48,63,19,48,9,42,107,6,114,13,0,497,8,225,12,134,88,55,575,132,46,29,24,55,22,203,130,200,197,253,153,90,231,214,130,50,209,132,84,16,29,49,195,442,85,18,
k__Bacteria;p__Bacteroidetes,10412,38247,29181,3839,2,25324,7108,14126,12687,16855,28347,5604,5166,8023,5250,7582,9300,4,32770,16747,24342,21192,31089,9740,8083,8346,20930,18988,12896,7023,25118,5320,2474,9,17307,37901,4814,14944,22593,2153,25237,23512,13111,11144,11259,6877,7545,3744,15422,4298,1504,24838,948,204,6544,2159,26865,2935,26185,13959,7641,2837,19542,5546,2765,6291,87354,12903,10452,20735,41649,55692,7815,27173,15591,37254,29855,4395,1425,60373,11500,9126,1919,44589,3951,32546,8506,25227,18150,
k__Bacteria;p__Cyanobacteria,108,39,11,23,0,126,93,7,34,101,48,7,39,45,100,24,19,0,50,28,19,120,15,95,14,35,24,43,7,28,11,80,11,0,37,293,118,34,94,0,45,76,4,33,31,78,57,7,41,11,6,116,9,0,37,18,45,44,38,29,41,35,124,12,8,26,88,11,35,6,189,104,10,91,58,284,67,29,27,428,133,203,6,56,25,182,510,11,36,
k__Bacteria;p__Deferribacteres,1,1,1,1,0,1,1,1,1,1,1,1,91,2,5,1,1,0,1,1,1,1,1,61,7,1,1,1,1,1,1,5,1,1,10,1,1,163685,1,0,1,1,1,17,1,1,611,1,1,1,0,1,1,1,75,1,1,531,1,1325,1,1,1,0,1,0,1,0,0,0,1,1,0,5,1,7,1,0,0,173745,0,0,6,1,1,8373,8734,0,0,
k__Bacteria;p__Firmicutes,49010,28893,63397,12034,466,29612,26431,21300,25219,52917,34023,115698,20427,27057,29028,17095,24064,93,43123,19669,53151,44864,29509,34775,19846,6980,62765,48346,48643,14302,36059,18120,113960,283,39632,40912,26347,40876,39342,96160,45447,34599,21850,25595,16884,12467,19215,10730,25481,13982,180363,33047,2891,1226,22345,7304,77680,35414,37594,33962,20680,134362,160584,9493,11892,22309,121001,24554,25615,12488,101684,102073,12475,66629,75943,54304,219149,30807,4798,967967,18005,13460,15475,66448,19935,95351,93823,24227,31473,
k__Bacteria;p__Proteobacteria,1552,1571,668,3969,16523,927,993,271,768,1928,1981,496,1497,1676,943,480,239,15076,1328,290,1089,1423,1212,935,565,250,532,1411,619,1869,505,4124,2872,25282,613,1938,750,1722,692,323,1182,802,347,789,3276,244,431,567,364,4888,857,1712,18100,21515,2950,20605,553,1197,547,749,1625,1422,1309,216,221,586,1761,109,561,720,1383,2350,286,3056,5494,1063,1517,729,615,44961,648,447,3200,2195,529,2440,1293,2149,899,
k__Bacteria;p__Tenericutes,27,0,0,0,0,0,0,0,0,0,0,49,0,18,20,0,0,0,0,0,280,0,0,0,0,0,0,155,0,0,0,0,0,0,232,26,0,177,0,24,32,0,0,0,38,0,0,0,0,24,44,0,20,14,93,51,0,0,0,0,0,211,3,67,30,769,0,25,5,37,0,0,0,0,0,0,0,26,35,120,114,152,0,0,20,0,37,0,4,
k__Bacteria;p__Verrucomicrobia,0,452,0,264,50,0,55,0,0,0,2511,841,293,113,0,34,0,83,260,0,0,0,0,0,0,0,0,0,0,97,0,455,515,50,0,717,0,69,0,737,0,61,0,0,1156,0,0,32,0,827,9177,1377,166,82,1150,218,178,0,0,0,362,1668,1,7418,4,3,1,1,40,285,1,1,6,8,1679,1,1,42,5,6476,25,91,48,2,1124,50,471,1,2297,
