"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","Site"
"102","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__","Type","Mucosal",0.56268762102743,0.152587298482235,90,5,0.000405519333118178,0.00751854763565055,"Ileum"
"710","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819","Type","Mucosal",-1.05882984181536,0.269319408989843,90,60,0.000290290935968217,0.00690333707232657,"Ileum"
"232","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group","Type","Mucosal",-0.535513246674278,0.211364170318326,90,47,0.0148576292381343,0.0878649453220703,"Ileum"
"162","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella","Type","Mucosal",1.18788780797553,0.401536708788639,90,87,0.00488949713641261,0.0414098152540623,"Ileum"
"113","k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus","Type","Mucosal",0.941787534175967,0.261865781910961,90,12,0.000549939347342863,0.00920142420188302,"Ileum"
"58","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella","Type","Mucosal",-0.673263598746829,0.155441905640256,90,36,8.31836628377239e-05,0.00229421548243193,"Ileum"
"291","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__","Type","Mucosal",0.424256378443481,0.193638728611095,90,14,0.0336573603127081,0.152906948175614,"Ileum"
"222","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter","Type","Mucosal",1.13799794782848,0.438880110192138,90,15,0.0112653538626183,0.0702548431796015,"Ileum"
"27","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group","Type","Mucosal",0.734419303269593,0.324615221437639,90,65,0.0286177202814732,0.13633163967424,"Ileum"
"38","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__.Eubacterium..siraeum.group","Type","Mucosal",0.273129975169317,0.154172586514854,90,10,0.0834513265437234,0.287676432206001,"Ileum"
"73","k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus","Type","Mucosal",0.223104350427888,0.299528676432531,90,47,0.460088667761147,0.7030222843894,"Ileum"
"192","k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Eggerthella","Type","Mucosal",-0.626703930356466,0.218253210068744,90,29,0.00621407764125299,0.0473650806877728,"Ileum"
"861","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group","Type","Mucosal",-0.0729212737806654,0.171238425888814,90,7,0.672185746910083,0.841207746919279,"Ileum"
"302","k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Clostridioides","Type","Mucosal",0.562806889926941,0.258987571009347,90,10,0.0353915020131452,0.157653054422192,"Ileum"
"772","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..torques.group","Type","Mucosal",-0.14639686129397,0.248253260110199,90,42,0.558378410682332,0.772320492245464,"Ileum"
"810","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis","Type","Mucosal",-0.789329449298179,0.202383876579492,90,60,0.0003174776400096,0.00722195681071597,"Ileum"
"310","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..gauvreauii.group","Type","Mucosal",-1.20865265446473,0.264420602623433,90,42,3.94414454451132e-05,0.00142404376712356,"Ileum"
"99","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia","Type","Mucosal",0.577531511501667,0.15580211224925,90,12,0.000380123111806352,0.0072434570749766,"Ileum"
"69","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia","Type","Mucosal",-1.33757020675576,0.319456189604329,90,85,0.000132316972740716,0.00349113243462043,"Ileum"
"213","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalitalea","Type","Mucosal",0.357596482553314,0.131437809608958,90,13,0.00926468568768348,0.0635557438175087,"Ileum"
"45","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella","Type","Mucosal",0.237225308014616,0.152136474971848,90,5,0.125934216456264,0.36919176277349,"Ileum"
"352","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Pasteurellaceae.g__Haemophilus","Type","Mucosal",0.366033536626759,0.193264003457518,90,4,0.0617569213620126,0.231504087728638,"Ileum"
"831","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter","Type","Mucosal",0.0628555650302899,0.135410252990303,90,2,0.644808228281412,0.828261720024833,"Ileum"
"612","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Neisseriaceae.g__Neisseria","Type","Mucosal",0.156005534851337,0.149076110356028,90,7,0.298413290780211,0.568652985083901,"Ileum"
"142","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella","Type","Mucosal",0.600074558324039,0.185188264933731,90,14,0.00172572549061123,0.0190943175251501,"Ileum"
"601","k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__Eubacterium","Type","Mucosal",0.176295076676665,0.160571852745854,90,9,0.277995244571414,0.546431913398251,"Ileum"
"132","k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__","Type","Mucosal",0.604710042970941,0.174924210058732,90,10,0.00118059071779042,0.0147251860437132,"Ileum"
"542","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Clostridium..methylpentosum.group.g__","Type","Mucosal",0.180590307502599,0.14592120007481,90,13,0.222408850924557,0.484357053124591,"Ileum"
"851","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes","Type","Mucosal",-0.12615061316824,0.298081828961244,90,58,0.674173537469777,0.841207746919279,"Ileum"
"931","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium","Type","Mucosal",-0.0728262924471464,0.317146107723101,90,50,0.819410515312132,0.908663171701561,"Ileum"
"622","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella","Type","Mucosal",0.377943226987975,0.387463344235689,90,81,0.332216044975262,0.589898239837389,"Ileum"
"182","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter","Type","Mucosal",-1.69844727879158,0.586536874616507,90,37,0.00578019704281166,0.044552979453582,"Ileum"
"152","k__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae.g__Catabacter","Type","Mucosal",-0.432019697032428,0.137651051324246,90,10,0.00296796558260473,0.0278907450639294,"Ileum"
"342","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania","Type","Mucosal",0.457804320034086,0.234247254459807,90,45,0.0569741656509194,0.217134875758504,"Ileum"
"361","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas","Type","Mucosal",-0.375550013946607,0.203333444095775,90,51,0.0714375611070444,0.26206506374028,"Ileum"
"942","k__Bacteria.p__Firmicutes.c__Clostridia.o__.f__.g__","Type","Mucosal",-0.0240143683101433,0.134818897503826,90,6,0.859517957546591,0.921910485317217,"Ileum"
"282","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Paludicola","Type","Mucosal",-0.331786106946293,0.148725595100439,90,28,0.0307419466043765,0.144445036784947,"Ileum"
"912","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter","Type","Mucosal",-0.0555025118975445,0.210748298504166,90,25,0.793477535135498,0.901387597788865,"Ileum"
"792","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","Type","Mucosal",-0.168117164465106,0.306753956692571,90,90,0.586326529824668,0.783644424117982,"Ileum"
"441","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides","Type","Mucosal",0.608578837597258,0.388204932080473,90,60,0.123876892630671,0.367876832660781,"Ileum"
"47","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus","Type","Mucosal",1.2937614555665,0.296147746159066,90,49,7.13300646746799e-05,0.0022242011075832,"Ileum"
"681","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..eligens.group","Type","Mucosal",0.124474160429282,0.156702572522141,90,15,0.431354414152336,0.687501978056604,"Ileum"
"952","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter","Type","Mucosal",0.0365165658892338,0.305869324962042,90,54,0.905497665671198,0.945363993889714,"Ileum"
"55","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus","Type","Mucosal",-0.463385549709902,0.376238246521455,90,39,0.224379639899825,0.487102635985062,"Ileum"
"631","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Coprobacillus","Type","Mucosal",0.151223296537043,0.155462146167296,90,28,0.336122015127041,0.589898239837389,"Ileum"
"662","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium","Type","Mucosal",0.279526938870543,0.343269122402308,90,86,0.41782684036744,0.677610431423319,"Ileum"
"562","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus","Type","Mucosal",-0.264924685979693,0.216979778417958,90,29,0.228689245788825,0.491789412574088,"Ileum"
"922","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066755","Type","Mucosal",0.058706215898607,0.221782279026836,90,17,0.792465121852757,0.901387597788865,"Ileum"
"711","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__","Type","Mucosal",-0.163864439954029,0.213986306160022,90,66,0.447635707923358,0.693178545452423,"Ileum"
"961","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.009","Type","Mucosal",0.0327504011239747,0.288347052850666,90,51,0.910074159554938,0.945363993889714,"Ileum"
"902","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter","Type","Mucosal",0.059978328070241,0.211880163670414,90,44,0.778432949102439,0.894480742184712,"Ileum"
"802","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus","Type","Mucosal",-0.104240215167441,0.187793241351487,90,25,0.581653113531355,0.783644424117982,"Ileum"
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Sellimonas","Type","Mucosal",-0.367894981881959,0.221914484768194,90,42,0.104315275806646,0.3282581614833,"Ileum"
"46","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Harryflintia","Type","Mucosal",-0.221832128697925,0.14781004758578,90,13,0.140565435736487,0.391667470655022,"Ileum"
"652","k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium","Type","Mucosal",0.234918630332772,0.27589498728189,90,16,0.398745914115424,0.660684819613984,"Ileum"
"431","k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila","Type","Mucosal",0.526450449175862,0.33453139101766,90,15,0.119408583978639,0.360855896957474,"Ileum"
"7911","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__","Type","Mucosal",-0.0647711138345018,0.11118343835019,88,4,0.563272524625895,0.735603267323561,"Cecum"
"911","k__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__.g__","Type","Mucosal",-0.0349431343014276,0.126707696805174,88,8,0.784078010459567,0.881081741524362,"Cecum"
"661","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__","Type","Mucosal",0.123243952860739,0.109282807662997,88,4,0.265678309314771,0.445067936971752,"Cecum"
"982","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819","Type","Mucosal",-0.645184344801358,0.165629218513967,88,68,0.000331575959415045,0.00450144976643055,"Cecum"
"481","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group","Type","Mucosal",-0.303532131979564,0.194557794597813,88,43,0.126017223545795,0.276268187995775,"Cecum"
"210","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella","Type","Mucosal",3.39112908362046,0.520125572049784,88,77,6.08737613085924e-08,3.57937716494523e-06,"Cecum"
"1611","k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus","Type","Mucosal",0.484520760837349,0.148386140669745,88,5,0.00160383031241288,0.012918523612312,"Cecum"
"67","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella","Type","Mucosal",-0.581642126215035,0.144506675989036,88,33,0.000222374177122554,0.00353394638238004,"Cecum"
"59","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__","Type","Mucosal",0.158382336764153,0.131790162563655,88,19,0.235909956923871,0.41907871501884,"Cecum"
"202","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter","Type","Mucosal",1.21886005189081,0.393185353089462,88,15,0.00266197459748483,0.0184146007449539,"Cecum"
"6511","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group","Type","Mucosal",0.367165011568128,0.324046399091057,88,67,0.263668746559638,0.442963494220191,"Cecum"
"541","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__.Eubacterium..siraeum.group","Type","Mucosal",-0.205199654633017,0.146420508014537,88,15,0.168502663715701,0.331369786838904,"Cecum"
"242","k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus","Type","Mucosal",-0.425351684995158,0.149159502276463,88,30,0.00661430217908681,0.0350379250567842,"Cecum"
"761","k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Eggerthella","Type","Mucosal",-0.0869208063399338,0.116141681068832,88,12,0.458272200890591,0.655630302004058,"Cecum"
"332","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..xylanophilum.group","Type","Mucosal",-0.329919968594429,0.143132127883077,88,12,0.0260374972573759,0.0933539535813233,"Cecum"
"881","k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Clostridioides","Type","Mucosal",0.0443198395180636,0.146854553422688,88,10,0.764343854681673,0.875680433548204,"Cecum"
"1911","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..torques.group","Type","Mucosal",-0.609048979146015,0.187291718009322,88,45,0.00221714384412208,0.0162960072542973,"Cecum"
"3411","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis","Type","Mucosal",-0.371040024148448,0.165421970395963,88,58,0.0300174199774358,0.0993475958888444,"Cecum"
"261","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..gauvreauii.group","Type","Mucosal",-0.502865451094655,0.180860875825712,88,38,0.00809901761884125,0.0407027552126381,"Cecum"
"2111","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia","Type","Mucosal",0.282117963929266,0.0900333709845898,88,2,0.00310351935747433,0.0209755101401714,"Cecum"
"501","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia","Type","Mucosal",-0.351325237235146,0.233618124539228,88,85,0.139830201430134,0.293285632209612,"Cecum"
"561","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalitalea","Type","Mucosal",-0.135753745025012,0.104042156773486,88,9,0.199035636798632,0.373907202676025,"Cecum"
"641","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella","Type","Mucosal",0.0816298618181343,0.0716099154243614,88,6,0.260703835537882,0.440831573083122,"Cecum"
"771","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Pasteurellaceae.g__Haemophilus","Type","Mucosal",0.0489849361991867,0.0671291834539055,88,0,0.469564239341671,0.665310295741934,"Cecum"
"401","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter","Type","Mucosal",-0.17973996211058,0.0959447455925838,88,9,0.068170305100165,0.178947050887933,"Cecum"
"9211","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Neisseriaceae.g__Neisseria","Type","Mucosal",0.0254279520476926,0.0912467095154436,88,9,0.781815441200445,0.881081741524362,"Cecum"
"1811","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella","Type","Mucosal",0.304745815902101,0.090444231011598,88,2,0.00159451948353828,0.012918523612312,"Cecum"
"752","k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__Eubacterium","Type","Mucosal",0.0552750990349743,0.0731390266783299,88,11,0.454003321279045,0.652699151374276,"Cecum"
"122","k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__","Type","Mucosal",0.321923056402532,0.0881875372306842,88,17,0.000714670038579606,0.00750403540508586,"Cecum"
"492","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Clostridium..methylpentosum.group.g__","Type","Mucosal",0.124208947802334,0.0814787221250748,88,10,0.135245211170826,0.288437177434939,"Cecum"
"1101","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes","Type","Mucosal",-1.41327003570517,0.213439160456296,88,63,4.81861642986529e-08,3.28284841757413e-06,"Cecum"
"311","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium","Type","Mucosal",1.26872738397214,0.289342287979622,88,54,8.10274852926798e-05,0.00170157719114628,"Cecum"
"411","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella","Type","Mucosal",0.844345391616135,0.206410567548574,88,87,0.000185762596464487,0.00312081162060339,"Cecum"
"511","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter","Type","Mucosal",1.74156712079262,0.42744306464695,88,31,0.00020713798651253,0.00338325377970466,"Cecum"
"722","k__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales.f__Christensenellaceae.g__Catabacter","Type","Mucosal",-0.487139932963307,0.125765583311556,88,9,0.000359809760241898,0.00450144976643055,"Cecum"
"812","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania","Type","Mucosal",0.451242439943794,0.116113420510548,88,51,0.000349070584159942,0.00450144976643055,"Cecum"
"1011","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas","Type","Mucosal",-0.686033480451633,0.17836001193438,88,71,0.000418925618937454,0.00502710742724945,"Cecum"
"1111","k__Bacteria.p__Firmicutes.c__Clostridia.o__.f__.g__","Type","Mucosal",-0.413021463142401,0.112700863015144,88,10,0.000686081754704871,0.00733483766848117,"Cecum"
"1311","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Paludicola","Type","Mucosal",-0.376055002983817,0.103763983755643,88,37,0.000754721450923875,0.00778554759900418,"Cecum"
"1411","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter","Type","Mucosal",-0.481268013482932,0.135581448969831,88,27,0.000956669626180256,0.00937536233656651,"Cecum"
"1511","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","Type","Mucosal",-0.817301206467225,0.231557472565046,88,88,0.000993159983622434,0.00941900113499986,"Cecum"
"172","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides","Type","Mucosal",-0.594161771060791,0.175535358175979,88,61,0.00157164512997631,0.012918523612312,"Cecum"
"2211","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus","Type","Mucosal",0.577084586804351,0.196318454088202,88,15,0.00428189725484413,0.026502690377351,"Cecum"
"231","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..eligens.group","Type","Mucosal",-0.379775810048391,0.129864771516943,88,19,0.00545437394453186,0.0313749116290294,"Cecum"
"251","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter","Type","Mucosal",-0.546203944311169,0.194994009850683,88,73,0.00755434606727643,0.0386256998918134,"Cecum"
"271","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus","Type","Mucosal",0.366756113061769,0.134166256093801,88,8,0.00904032651528741,0.042868645088621,"Cecum"
"281","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Coprobacillus","Type","Mucosal",0.333225840903724,0.12457934864026,88,35,0.0107919494533808,0.0481392092769103,"Cecum"
"37","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium","Type","Mucosal",0.344212956383029,0.170449280133195,88,88,0.049593374854648,0.144360912943233,"Cecum"
"321","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus","Type","Mucosal",-0.344158670581634,0.142622445716872,88,30,0.0200845868217815,0.0769943088225729,"Cecum"
"611","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066755","Type","Mucosal",-0.159983990788022,0.138497980436376,88,27,0.254332707275513,0.437273777421058,"Cecum"
"971","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__","Type","Mucosal",0.0194097114385799,0.159771244170234,88,62,0.903863452721698,0.945905376292574,"Cecum"
"801","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.009","Type","Mucosal",-0.115412621857109,0.220032005423217,88,60,0.602577232233979,0.775465258386195,"Cecum"
"351","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter","Type","Mucosal",-0.375795035805008,0.167427198614328,88,59,0.0300746123609087,0.0993475958888444,"Cecum"
"461","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus","Type","Mucosal",-0.169778650567997,0.107202970889804,88,30,0.12056366931172,0.269549192225442,"Cecum"
"9411","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Sellimonas","Type","Mucosal",0.0410833013715022,0.174879475171263,88,37,0.815365397218497,0.896139913204628,"Cecum"
"421","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Harryflintia","Type","Mucosal",-0.197232153828767,0.120341499009399,88,20,0.108393854315092,0.25392663879392,"Cecum"
"741","k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium","Type","Mucosal",0.052717845547989,0.0694164721284241,88,4,0.451833724376923,0.651172132190272,"Cecum"
"621","k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila","Type","Mucosal",0.234510429832598,0.205404107666367,88,13,0.26090031876348,0.440831573083122,"Cecum"
"103","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__","Type","Mucosal",-0.70342899419896,0.176204882913621,85,11,0.000250914690008121,0.00368844594311938,"Proximal_Colon"
"371","k__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__.g__","Type","Mucosal",-0.397911626833719,0.179510637985263,85,6,0.0295603963073405,0.101646275021732,"Proximal_Colon"
"892","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__","Type","Mucosal",0.0333822995551181,0.124229556129109,85,5,0.788858753843716,0.880493329918584,"Proximal_Colon"
"114","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819","Type","Mucosal",-0.712467934512056,0.180387262861212,85,70,0.000297688984485609,0.00398502763983395,"Proximal_Colon"
"493","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group","Type","Mucosal",-0.302454256294943,0.202028897460507,85,42,0.141660111064691,0.296427563366685,"Proximal_Colon"
"510","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella","Type","Mucosal",2.77540869862174,0.482603991327948,85,80,8.76706499588326e-07,3.96541093659951e-05,"Proximal_Colon"
