	observed_features
BioGeo-TL1a_FP_85_merged_R1_001.fastq_profiled_metagenome	156
BioGeo-TL1a_FP_233-REP1_S13_R1_001.fastq_profiled_metagenome	93
BioGeo-TL1a_FP_229-REP1_S12_R1_001.fastq_profiled_metagenome	168
BioGeo-TL1a_FP_197-REP1_S10_R1_001.fastq_profiled_metagenome	27
BioGeo-TL1a_FP_193-Rep1_S85_R1_001.fastq_profiled_metagenome	117
BioGeo-TL1a_FP_131_merged_R1_001.fastq_profiled_metagenome	23
BioGeo-TL1a_FP_127_merged_R1_001.fastq_profiled_metagenome	154
BioGeo-TL1A_FP_677-REP1_S21_R1_001.fastq_profiled_metagenome	78
BioGeo-TL1A_FP_673-REP1_S20_R1_001.fastq_profiled_metagenome	153
BioGeo-TL1A_FP_629_merged_R1_001.fastq_profiled_metagenome	124
BioGeo-TL1A_FP_625-REP1_S16_R1_001.fastq_profiled_metagenome	123
