Module	TKO.DTT.5	TKO.DTT.4	TKO.DTT.6	TKO.DTT.1	TKO.DTT.3	TKO.DTT.43	TKO.DTT.2	TKO.DTT.34	TKO.DTT.33	TKO.DTT.35	IL17.DTT.143	IL17.DTT.28	IL17.DTT.27	IL17.DTT.142	IL17.DTT.29	IL17.DTT.144	IL17.DTT.26	IL17.DTT.25	IL17.DTT.141	IL17.DTT.140	IL17.DTT.90	TKO.DTT.45	IL17.DTT.139	TKO.DTT.44	TKO.DTT.47	TKO.DTT.46	TKO.DTT.48	IL17.DTT.132	IL17.DTT.131	IL17.DTT.130	TKO.DTT.144	TKO.DTT.143	TKO.DTT.21	TKO.DTT.20	IL17.DTT.129	IL17.DTT.128	TKO.DTT.16	TKO.DTT.18	TKO.DTT.17	TKO.DTT.142	IL17.DTT.120	IL17.DTT.49	TKO.DTT.19	TKO.DTT.141	TKO.DTT.140	IL17.DTT.127	TKO.DTT.156	TKO.DTT.155	TKO.DTT.154	TKO.DTT.32	TKO.DTT.31	IL17.DTT.118	TKO.DTT.23	IL17.DTT.117	TKO.DTT.22	IL17.DTT.119	TKO.DTT.24	TKO.DTT.153	TKO.DTT.152	TKO.DTT.151	IL17.DTT.199	IL17.DTT.116	IL17.DTT.115	TKO.DTT.128	TKO.DTT.127	TKO.DTT.126	TKO.DTT.125	TKO.DTT.124	TKO.DTT.123	TKO.DTT.87	TKO.DTT.129	TKO.DTT.78	IL17.DTT.106	TKO.DTT.77	IL17.DTT.220	IL17.DTT.189	IL17.DTT.222	IL17.DTT.188	IL17.DTT.221	IL17.DTT.103	IL17.DTT.105	IL17.DTT.104	IL17.DTT.53	TKO.DTT.139	IL17.DTT.52	IL17.DTT.51	TKO.DTT.90	IL17.DTT.50	TKO.DTT.132	TKO.DTT.92	TKO.DTT.91	TKO.DTT.94	TKO.DTT.93	TKO.DTT.95	IL17.DTT.217	TKO.DTT.89	TKO.DTT.88	IL17.DTT.219	IL17.DTT.218	TKO.DTT.131	TKO.DTT.130	IL17.DTT.86	TKO.DTT.106	IL17.DTT.85	TKO.DTT.105	IL17.DTT.88	TKO.DTT.104	IL17.DTT.87	TKO.DTT.103	TKO.DTT.60	TKO.DTT.109	TKO.DTT.108	TKO.DTT.107	TKO.DTT.56	TKO.DTT.55	TKO.DTT.58	TKO.DTT.57	TKO.DTT.59	IL17.DTT.200	IL17.DTT.202	IL17.DTT.201	IL17.DTT.89	IL17.DTT.203	TKO.DTT.113	TKO.DTT.112	TKO.DTT.111	TKO.DTT.110	TKO.DTT.70	TKO.DTT.72	TKO.DTT.71	TKO.DTT.74	TKO.DTT.73	TKO.DTT.76	TKO.DTT.75	TKO.DTT.69
MF0063	1488.5	1484.9	7782.19	8984.33	11101.83	7857.64	11928.18	2514.86	8250.33	2419.34	512.67	22.92	21217.58	78.505	68.0	1404.5	18209.545	2531.43	26857.495000000003	11106.23	17007.43	6357.67	6532.26	12262.33	925.5	727.0	2488.0	4213.25	2407.42	20201.629999999997	3686.16	1538.51	14120.92	11268.83	2996.075	17927.42	1926.01	4921.41	4246.33	1874.79	3788.42	4428.665	15164.99	22874.125	16912.93	3956.08	2837.67	626.67	822.58	9364.33	15694.58	4113.5	1393.83	18685.254999999997	668.0	3995.175	3040.84	10522.83	16424.63	7559.26	11220.875	14660.119999999999	3134.675	9826.835	3050.76	3197.02	1728.9299999999998	46.835	23794.765	11559.5	16076.415	1652.16	863.335	1364.99	3340.135	20470.58	1919.335	15843.2	4303.145	3753.08	13257.91	15621.505000000001	405.42	5862.94	587.255	22322.589999999997	851.09	12861.99	2497.59	14117.154999999999	10161.18	780.09	12201.075	1304.5	9819.1	671.92	2131.42	14297.67	17266.705	1014.59	3450.17	17542.58	472.83	6346.3099999999995	4868.25	978.5799999999999	7122.67	16479.29	5266.64	4259.32	3734.26	6166.88	781.0	12382.67	4585.17	3288.58	10982.13	2543.9	16854.15	230.16	18056.04	4792.505	1088.46	86.67	214.575	14246.35	11166.18	184.51	1360.83	1304.79	11809.83	21768.92	528.17	11457.66	5857.17
MF0020	13306.5	12252.45	10174.0	11207.55	6348.6	3416.85	1288.925	16384.1	15745.7	13228.650000000001	5368.2	29636.8	7744.95	22909.9	19462.55	8078.0	10642.75	1526.15	12936.3	6140.05	14440.3	9142.2	4725.65	12855.9	23078.65	13512.65	9587.1	17108.45	10113.8	22418.449999999997	2466.625	2951.1	9845.5	10650.4	18873.55	16958.35	7723.85	3177.45	3477.55	2980.575	5305.3	4295.5	8807.95	9646.075	7917.675	6006.85	15881.599999999999	23045.25	13284.75	13491.7	8098.35	22559.3	1201.4	16782.75	6509.45	8880.95	1920.9	9389.6	11494.2	4015.05	8974.900000000001	13965.85	8069.0	6493.4	5423.45	7523.0	9730.5	15032.9	13313.5	17315.7	11300.45	3490.7	11216.15	6295.1	25048.2	12206.25	8934.5	11794.65	5729.200000000001	3478.0	8008.95	8663.75	5556.1	3926.05	24521.85	8547.1	3657.85	7287.0	3689.1000000000004	5668.3	5769.15	10832.775	4334.05	19861.725	1704.5499999999997	11815.45	21661.55	8551.5	12493.15	9091.25	15298.45	9899.65	9895.8	4732.55	6414.9	18386.35	7665.45	8461.45	9569.45	2209.35	1774.3	11217.75	5002.25	11590.05	8440.35	6393.8	11455.25	1744.65	12723.85	21631.05	12408.6	10113.5	15991.150000000001	9995.05	11085.55	5138.700000000001	4408.75	19062.05	4696.5	20814.75	12098.0	11038.45	14475.55	6265.15	10279.2
MF0061	6821.0	2244.16	11641.84	21730.84	18887.67	8690.15	2358.09	8476.09	43842.84	9037.34	589.9433333333333	1238.5	29996.0	438.67	2785.25	1497.0	23081.5	3839.8866666666668	36032.66	12613.82	20684.17	48236.17	7922.84	28494.5	12199.66	1469.33	11874.66	14844.5	8635.5	35889.85	3722.24	4554.756666666667	34439.58	21373.17	11406.0	31923.18	3849.67	5905.363333333332	6213.360000000001	5801.8566666666675	6795.0	5731.16	16274.41	32358.91	17922.43	6447.83	11347.83	14273.34	10105.12	28838.83	16684.83	13394.83	4505.05	32209.67	1862.0233333333333	8340.216666666669	6587.246666666669	40479.84	24990.67	8714.67	17321.66	23821.83	7685.5	12777.17	5799.51	4850.84	1982.51	115.67	37622.79	49261.16	24552.83	6146.49	10059.67	4221.33	13913.37	31423.32	6273.47	23865.65	5100.93	6010.5	16520.33	18279.5	1770.5	6076.51	2027.67	24900.51	1189.5	14141.49	4202.5	14606.16	11385.26	4897.84	13517.8	18702.25	4747.55	1811.83	3301.09	18120.91	21190.24	5896.5	9613.67	22576.5	2456.17	7448.74	9805.0	1904.9166666666667	13971.5	20293.17	10618.49	6178.660000000001	4342.01	11902.34	2364.17	26767.51	24644.34	7744.66	40150.65	4717.44	25448.13	876.49	29415.17	8817.84	4949.54	3226.5	595.66	16511.01	12051.67	122.84	3278.49	1013.75	28614.5	25056.09	3036.34	28557.5	44801.33
MF0062	0.0	0.0	178.16666666666669	262.83333333333337	0.0	36.33333333333333	0.0	10.833333333333332	66.33333333333334	0.0	0.0	0.0	38.0	0.0	0.0	0.0	54.0	0.0	57.83333333333333	39.333333333333336	95.66666666666666	48.333333333333336	29.666666666666664	89.66666666666667	43.0	3.833333333333333	12.5	0.0	0.0	97.33333333333334	25.666666666666664	48.33333333333333	70.66666666666666	80.33333333333334	0.0	74.66666666666666	0.0	12.0	22.166666666666664	0.0	0.0	16.5	88.83333333333334	108.0	160.5	40.5	2056.666666666667	1672.1666666666665	1133.6666666666665	84.66666666666667	28.333333333333332	0.0	64.0	122.16666666666666	0.0	0.0	81.16666666666666	178.5	294.3333333333333	41.333333333333336	132.83333333333331	0.0	0.0	39.166666666666664	26.666666666666664	140.83333333333331	58.0	0.0	131.66666666666666	75.0	32.83333333333333	0.0	0.0	19.833333333333336	0.0	67.5	0.0	76.83333333333334	0.0	0.0	47.83333333333333	0.0	0.0	94.83333333333334	0.0	34.5	0.0	39.5	189.5	29.666666666666668	35.833333333333336	352.66666666666663	25.333333333333336	0.0	7.666666666666666	0.0	32.66666666666667	30.666666666666664	59.16666666666667	0.0	213.5	44.66666666666667	0.0	42.83333333333333	16.666666666666668	0.0	25.0	44.66666666666667	28.5	35.0	39.66666666666667	85.5	0.0	213.0	141.16666666666666	29.5	188.66666666666666	0.0	186.16666666666669	11.166666666666668	173.5	0.0	0.0	0.0	0.0	57.5	60.33333333333333	0.0	0.0	0.0	17.0	28.333333333333336	0.0	13.833333333333332	28.833333333333336
MF0060	5392.0	512.0	2995.0	6239.51	2074.84	2284.32	351.59	3199.66	11989.01	3590.0	2922.015	1219.0	6791.83	344.0	2738.0	738.0	11351.67	600.34	10538.33	4665.32	9130.84	6757.5	2458.34	13010.67	10274.0	725.0	4103.66	10637.0	6621.0	8262.0	1623.41	1345.0	5865.83	10046.34	8648.0	14725.01	2187.0	1171.16	919.0	1619.0	1698.0	2016.0	6780.33	6122.08	7129.93	2848.0	1880.16	7238.0	888.0	11718.0	5657.0	6403.0	152.0	7336.84	280.0	4055.0	707.17	6242.84	13363.67	2758.34	8955.49	8677.83	4254.0	5681.67	2831.0	2225.0	453.0	97.0	7174.5	5238.16	3986.66	562.66	4967.0	532.0	11003.0	11994.49	4267.0	13513.48	2666.0	1691.5	5453.66	7839.17	1310.0	1416.01	1652.0	3934.34	524.17	5114.16	1160.0	4750.49	3969.34	554.0	2878.68	6956.0	555.17	1267.0	1256.17	4850.84	7802.17	3970.0	5230.0	13217.33	459.0	2299.32	3233.0	913.0	3377.0	7513.5	4871.0	1031.66	952.34	5084.0	2121.0	9657.84	6690.17	351.0	7621.82	244.0	14225.01	382.66	9670.17	3909.0	4034.0	2432.0	238.0	2190.18	2804.84	34.67	1661.66	470.0	15104.67	6536.33	473.0	3617.17	8991.83
MF0027	10.0	165.0	256.0	370.0	412.0	824.0	100.0	194.0	459.0	121.0	0.0	0.0	537.0	3.0	0.0	0.0	549.0	613.0	1242.0	1741.0	941.0	200.0	1187.0	396.0	0.0	5.0	67.0	1674.0	1610.0	965.0	15.0	338.0	419.0	485.0	1712.0	398.0	767.0	1842.0	2021.0	515.0	869.0	696.0	772.0	433.0	549.0	178.0	50.0	0.0	13.0	477.0	975.0	1024.0	608.0	482.0	404.0	2159.0	741.0	153.0	182.0	530.0	321.0	336.0	258.0	250.0	393.0	203.0	99.0	2.0	630.0	383.0	403.0	35.0	51.0	15.0	894.0	317.0	275.0	119.0	338.0	134.0	509.0	495.0	0.0	511.0	103.0	946.0	0.0	1089.0	207.0	473.0	553.0	0.0	314.0	35.0	50.0	2.0	8.0	366.0	478.0	18.0	53.0	495.0	19.0	829.0	228.0	215.0	603.0	564.0	515.0	1159.0	691.0	297.0	0.0	441.0	164.0	568.0	367.0	1433.0	445.0	22.0	350.0	285.0	41.0	10.0	19.0	851.0	1181.0	0.0	38.0	0.0	378.0	1392.0	13.0	370.0	256.0
MF0028	4907.0	19795.53	9297.83	15087.46	15072.26	25456.26	23013.8	15230.46	35372.51	8342.91	5016.87	27841.97	21544.87	22454.4	15428.47	10508.0	22240.83	19683.06	30247.96	40249.3	29729.63	42301.0	32978.9	21014.67	7254.9	12934.4	6207.16	32239.2	30856.47	22095.87	8770.16	24521.11	28684.83	16900.84	34752.47	21074.01	19236.77	30030.04	34818.47	31161.94	26817.97	23638.83	21428.69	24536.33	23910.8	5835.09	3266.44	760.84	974.91	21160.5	23154.59	20390.96	25758.73	19055.83	16364.36	41511.22	35711.06	34481.34	19674.67	28221.29	12413.99	14922.43	9990.83	12519.9	18359.54	7088.66	12128.01	14955.23	28494.91	38923.66	19285.71	2284.69	6787.23	5360.43	25090.01	23220.49	13688.08	17628.48	17879.77	7603.33	18781.71	23044.66	7405.27	26101.97	27911.6	30376.77	3724.26	31097.16	7484.26	22253.31	20671.74	7554.4	15500.21	1388.11	14454.43	10348.53	22531.64	17570.41	30084.57	3060.83	11412.7	17611.57	9317.96	25659.97	5719.4	25839.93	10378.87	19012.37	11491.63	30130.26	18395.47	8784.84	2901.34	21990.14	17900.17	21339.46	31424.82	25436.66	19113.51	21453.29	21485.67	10020.84	10951.48	5521.14	11026.79	23914.69	23876.83	19239.31	3529.16	21380.08	21527.67	34345.05	13184.97	22297.67	37617.83
MF0025	864.0	421.33	1788.0	3621.33	1779.33	2519.33	10188.0	871.0	3310.33	961.34	432.67	1.67	2485.0	5.0	34.67	0.0	2621.0	1365.33	4221.33	3306.0	3134.0	1246.67	2344.0	1842.33	413.0	267.0	1256.0	2137.0	2108.67	4272.0	775.33	947.34	1620.67	1482.33	2122.0	4127.0	1146.67	2482.67	2733.67	1108.33	1182.67	1914.0	2195.66	2236.0	1806.0	1054.66	349.67	48.67	73.0	2964.33	2803.66	1255.33	824.0	2749.0	507.33	3071.33	1657.33	1840.33	1632.67	1744.66	1765.34	1673.33	852.0	2056.0	1200.67	1143.33	673.34	30.33	3175.33	2111.0	1980.34	285.66	71.33	449.33	2345.26	1618.0	866.2	1005.67	3024.14	545.33	1502.34	1613.33	82.67	2642.67	389.0	3311.0	403.33	3328.33	546.33	1350.34	2047.67	43.0	1149.0	61.34	6942.14	285.0	387.67	1531.07	2207.13	242.0	626.0	2041.0	85.33	1874.0	663.0	225.33	1438.67	2019.0	1396.4	2001.33	1483.0	901.67	569.67	1756.67	1645.67	779.33	1921.73	1772.73	2739.0	130.66	2792.33	783.67	384.33	34.67	70.66	1946.66	1939.0	86.34	819.33	938.0	2296.33	4387.66	74.67	1509.66	1120.67
MF0069	173.0	83.0	673.0	247.0	5.0	95.0	36.0	187.0	28.0	455.0	432.0	0.0	0.0	0.0	34.0	0.0	0.0	27.0	0.0	0.0	0.0	7.0	0.0	6.0	352.0	59.0	803.0	13.0	0.0	0.0	25.0	25.0	19.0	6.0	0.0	0.0	55.0	94.0	107.0	10.0	0.0	0.0	178.0	0.0	2.0	0.0	42.0	31.0	46.0	11.0	107.0	21.0	37.0	0.0	7.0	0.0	297.0	3.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	9.0	0.0	132.0	0.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	314.0	0.0	82.0	0.0	433.0	15.0	0.0	7.0	3.0	158.0	130.0	0.0	0.0	76.0	8.0	0.0	8.0	0.0	0.0	0.0	19.0	0.0	42.0	319.0	1.0	0.0	0.0	4.0	574.0	35.0	28.0	75.0	0.0	4.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	5.0	576.0	165.0	19.0	360.0	23.0	8.0	13.0
MF0102	72.0	253.0	343.0	1077.0	223.0	193.0	32.0	196.0	915.0	348.0	0.0	0.0	284.0	9.0	0.0	0.0	307.0	0.0	409.0	171.0	244.0	768.17	108.0	573.0	39.0	14.0	228.0	344.0	74.0	545.0	241.0	105.0	411.0	398.0	463.0	300.0	351.5	210.0	138.0	570.0	462.0	30.0	390.0	182.0	254.0	39.0	135.0	102.0	60.0	670.0	225.0	1500.0	115.0	294.0	59.0	128.0	168.0	264.0	264.0	121.0	166.0	197.0	3.0	383.0	108.0	113.0	41.0	2.0	493.0	628.0	341.0	131.0	175.0	189.0	313.0	549.0	237.0	576.0	119.0	109.0	594.0	469.0	129.0	69.0	142.0	212.0	5.0	205.0	58.0	451.0	274.0	87.0	307.0	15.0	3273.0075	12.0	104.0	103.0	170.0	113.0	389.0	352.0	20.665	265.0	90.0	471.0	107.0	495.0	136.0	297.0	98.0	149.0	0.0	1931.0	1587.0	622.0	1529.0	86.0	210.0	3.0	216.0	106.0	39.0	0.0	5.0	389.0	248.0	2.0	11.0	19.0	262.0	1045.0	39.0	541.0	270.0
