	Vil1.01B.FP11	Lyz2.02B.FP222.S70	Itg.22.FP518.S21	Vil1.03B.FP35	Vil1.13B.FP153	Vil1.07B.FP82	Lyz2.07B.FP283.S81	Itg.20.FP508.S11	Vil1.10B.FP115	Vil1.10B.FP116	Vil1.04B.FP46	Vil1.14B.FP163	Lyz2.06B.FP271.S69	Vil1.02B.FP22	Lyz2.01B.FP210.S58	Vil1.05B.FP58	Lyz2.07B.FP282.S80	Itg.16.FP484.S87	Vil1.05B.FP60	Lyz2.01B.FP212.S60	Vil1.09B.FP105	Vil1.05B.FP59	Vil1.08B.FP92	Itg.20.FP507.S10	Vil1.04B.FP48	Lyz2.03B.FP234.S82	Vil1.04B.FP47	Itg.24.FP530.S33	Vil1.03B.FP36	Itg.02.FP412.S12	Lyz2.02B.FP224.S72	Lyz2.05B.FP259.S56	Itg.04.FP422.S22	Itg.20.FP506.S9	Vil1.09B.FP104	Itg.26.FP544.S48	Vil1.13B.FP152	Itg.10.FP460.S62	Vil1.14B.FP164	Itg.06.FP434.S35	Itg.18.FP496.S99	Itg.24.FP531.S34	Itg.02.FP410.S10	Itg.06.FP436.S37	Vil1.03B.FP34	Vil1.07B.FP83	Vil1.01B.FP12	Itg.26.FP543.S47	Vil1.10B.FP117	Itg.26.FP542.S46	Itg.16.FP482.S85	Itg.12.FP471.S73	Lyz2.08B.FP294.S92	Vil1.06B.FP72	Vil1.02B.FP24	Lyz2.05B.FP260.S57	Itg.04.FP423.S23	Itg.12.FP472.S74	Lyz2.04B.FP246.S43	Vil1.14B.FP165	Lyz2.06B.FP270.S68	Vil1.07B.FP84	Lyz2.04B.FP247.S44	Lyz2.01B.FP211.S59	Itg.08.FP448.S49	Vil1.13B.FP151	Vil1.01B.FP10	Itg.04.FP424.S24	Itg.08.FP446.S47	Vil1.06B.FP71	Lyz2.08B.FP295.S93	Lyz2.03B.FP235.S83	Lyz2.07B.FP284.S82	Itg.10.FP459.S61	Itg.12.FP470.S72	Itg.10.FP458.S60	Lyz2.08B.FP296.S95	Itg.16.FP483.S86	Lyz2.03B.FP236.S84	Lyz2.02B.FP223.S71	Itg.02.FP411.S11	Lyz2.05B.FP258.S55	Itg.06.FP435.S36	Vil1.02B.FP23	Itg.22.FP519.S22	Itg.22.FP520.S23	Vil1.08B.FP91	Vil1.06B.FP70	Vil1.08B.FP93	Itg.08.FP447.S48	Itg.18.FP494.S97	Vil1.09B.FP103	Lyz2.06B.FP272.S70	Itg.18.FP495.S98	SLCFP072	LYZFP308	LYZFP307	LYZFP331	SLCFP131	SLCFP078	SLCFP070	SLCFP023	SLCFP022	LYZFP355	LYZFP319	SLCFP005	SLCFP024	SLCFP053	LYZFP320	SLCFP095	SLCFP077	LYZFP356	LYZFP354	SLCFP112	LYZFP332	LYZFP306	SLCFP113	SLCFP071	SLCFP004	SLCFP094	SLCFP052	SLCFP076	LYZFP330	SLCFP054	SLCFP114	SLCFP006	LYZFP343	SLCFP132	LYZFP344	LYZFP342	SLCFP096	LYZFP318	SLCFP148	SLCFP166	SLCFP150	SLCFP167	SLCFP149
Vil1.01B.FP11	0.0	2.4304821219379833	2.7681265428617032	2.481704931840643	4.2612744419942805	0.6213330984350336	0.9264212568781343	0.42552136073566127	3.864533350282765	4.022444724885046	0.6433141349435946	3.3680721919295533	0.9032959383572281	1.6727937434653728	3.0633708740252943	2.52417096775457	1.151338903271548	0.45926344296977256	3.186426106132897	2.809946826880986	3.119728063978918	1.9938403308480501	3.3654457272151594	0.365899908972867	1.1438947045473817	1.4988981515504454	0.6245920587450926	3.387201124712879	1.8418374216842526	1.986857690048876	1.1248930560272052	1.7236183103564517	3.879747610920918	2.508934397864763	3.5408964596918295	2.1545303125095043	4.084109132690939	2.014925027756714	3.4365954936480327	0.45142772455207025	3.0413288543640484	3.7116774775170294	2.242211277554621	2.24483557047192	2.3619630995012892	0.3131524819280686	0.9120545386287029	2.7288361793454055	3.801401731413907	1.7206066247080487	0.5981707584455348	1.8544320615265093	0.3404553748894081	2.655927085175032	0.6001483603113683	2.5339154658240863	3.830020657456382	1.2164928299504312	2.4523678822238972	3.2580253826589742	2.1408971185887697	2.9124388814237383	2.4160737797532144	2.8084552871823116	2.9869643398887065	4.140894835806408	0.3788599490595253	2.51337848708938	2.7604816717236935	2.105029374772687	0.5075375684584448	2.254897701082316	1.4672986510002393	2.818685093923045	2.5481145970437695	3.557763442118175	0.8426783177633729	0.7104113710723151	2.2033314694656894	1.8759637607588262	1.5643087787242507	1.9332466139297793	1.0282955989268712	0.8250438525476249	2.3408290831308745	2.1586835542890683	3.3192022276206523	2.923515463502781	3.7366488132408016	2.133092600864653	2.68675195384904	3.6505611825931488	1.050792081217242	3.369245806840495	2.1786547198105337	3.895296492646468	0.587128791105866	2.7932522376653726	1.3362088168725659	2.7878551206983797	2.086009839876917	2.7043258760990714	2.6866874140889547	2.651917817887633	1.1537976917719717	3.024617625658204	2.6356350549474423	1.171470100430676	1.6861691471257652	2.8981310718817794	2.7806756160479154	1.7334463026599878	2.514269167841278	1.5841728663473993	3.255852661925983	0.8268321753441519	2.0303372616640636	2.056324022791364	2.870290497305476	2.141843443059428	1.7919267526459048	2.5714822527631105	1.7326777898866668	1.3276077057853661	2.3542852465444155	2.8157293841224953	2.4860089289377303	1.5952476191063052	2.7126007752253365	2.6791793964514596	2.9914052012720393	3.5790403582052015	3.0922738732618384	1.3376103580178058	3.0774141477323678	1.7816625736579947	0.5807908072282656
Lyz2.02B.FP222.S70	2.4304821219379833	0.0	0.4616971367348568	0.06778515875896403	1.9254307536100626	2.9857734112133008	1.7605825338607728	2.5302932080566696	1.6901844521181442	2.363039014814633	1.7883607156756427	3.0309730016133787	1.7827186912319084	1.6551665165617349	0.6493956532873961	1.1476834440598762	1.4147412851008578	2.193460862139611	2.491194532082909	0.5641367552248192	2.5286830120469816	0.9327883422005899	3.1887265003375216	2.7490353304790163	1.2927586069537533	0.942584568071194	2.0684379840320744	0.9728093820414605	1.0873526584685003	0.48004426744694695	1.3386545986235243	0.7633578426222575	1.4968907304634322	2.4209475851934465	2.492827241913741	0.34516400552152354	1.699628153350801	0.6279510003260593	2.750797609710249	2.0267272003029655	0.8009626833333785	1.400758091968576	0.5365206922559489	0.22918267212146398	0.8559056953147465	2.417468597250636	1.58091135508976	1.9051650605489647	2.2162554390044624	0.7368886230800245	1.871534091599916	0.7256838386249232	2.381707958546679	2.5734450101236415	1.8365115553878018	0.3144268485570164	1.431491250687759	1.360694537333029	0.39368304625524714	2.7595659725842268	0.6379387644677665	2.926355340560394	0.4468897234576183	0.3802291671887237	0.6350491679273675	1.833550342243372	2.2758486510198535	0.8130545081623323	0.48882559802049586	2.756353252476262	2.1038013219746317	0.3015407012039015	1.0335194392346534	0.6386760565792231	0.5442002844497837	1.1713933789490485	1.6257083952213083	2.1026102152128536	0.4455746482494499	0.5951105125904838	0.9918265998657445	0.9485126856840529	1.5922593125309872	1.8524676682660495	0.5167090457207754	0.5674222542635349	2.8388684649304126	2.793286585990991	3.2439234004762385	0.592357215240909	0.49559489276773083	1.93984593332536	1.4077189807836445	1.0946689050668081	0.4648647931322527	3.0993612234440486	2.0699014261475353	0.7926938909514615	1.1867115766132377	0.6664978006307204	0.3775905293734867	0.47393137290121445	0.4336220734778348	0.8576108681992026	1.6959244477142803	0.7073266993696158	0.4540703624267395	1.2959153948133482	0.9657425486896539	0.6459617796689919	0.6166683170035593	1.274565946193579	0.8349774581715579	1.111563197210445	1.1300728988649946	2.40544260284857	0.6680305603391863	0.5213940357797874	0.8697425867937615	0.9274165005013143	0.7282063020450408	0.396193939176184	1.095016825266981	1.2035963725626324	0.5507364569841886	0.49228914870737106	0.9060235942455543	1.049242129584131	0.9559217023750003	0.7507777216050066	1.013593585741864	2.8525396576754103	2.9243046138920312	1.2260951092250016	3.040815827248296	0.6783867606045159	2.390096857016034
Itg.22.FP518.S21	2.7681265428617032	0.4616971367348568	0.0	0.4614647713403765	1.660278448470463	3.321209887274308	2.053188585560938	2.817571620478426	1.7227284550708932	2.56898957563898	2.1274355263474716	3.436939429972348	2.0503384431183544	2.1044743126690264	0.500903604599195	1.5485399438932252	1.7298850173844607	2.577383475056274	2.8800715851461747	0.7665185179649041	2.92950654420647	1.3858322847601092	3.6091844380124507	3.067866524599035	1.642423952421087	1.3301722354793646	2.347198998588321	0.8254955379317791	1.5382614010113977	0.7876119283376426	1.7208263934284556	1.1661162622166068	1.2058301356431227	2.864552176257283	2.830036098535155	0.6293525227485252	1.4354296154155002	0.7841820331359668	3.1265250813181873	2.342021560324246	0.4368778665338256	1.0093004426633123	0.6128077012992168	0.6742621487666189	1.2721721027481732	2.7903951029138363	1.9418301539008458	2.308044150029948	2.4534650946056775	1.1230789446669582	2.1881289805546476	0.9347291284011203	2.716859076716396	3.015060224471397	2.1802324407113294	0.6479181549001046	1.0804077735532338	1.769618962866786	0.7210608528226361	3.1579800456496114	0.7563698737607132	3.364366104236532	0.6346834768515776	0.3248943698025341	0.2200613824451069	1.6126225487492107	2.5765606282324844	1.201765335705961	0.16552805028715972	3.2173246107727835	2.422289977380486	0.5152942209642547	1.3709534104889995	0.2089311093199938	0.3323135500350018	0.8079065656688696	1.9834076995223608	2.354311154204273	0.5800423433193689	0.8952394197042509	1.2328656069486363	1.4100510865767286	1.8429024257580309	2.1057480925290117	0.49184373425809735	1.0148975771951274	3.2412668889784753	3.226525065771853	3.6324821750291116	0.7081041650622326	0.7841440246807045	2.15605672700728	1.7890239597867814	0.6964330576661826	0.9141157040575519	3.4485508661664412	2.4612216031406993	1.0855516753405186	1.6030667771310714	0.9345080922461755	0.7514546716896097	0.6050034004530215	0.6101730390214825	1.212669177506912	2.1272814543393763	0.5323589470329584	0.6681816903755581	1.6812634296633433	1.4127314958215316	0.5771035611174514	0.858189420054845	1.7268757421700458	1.2212249195136582	1.5578253142023932	1.273331858998918	2.821853825603231	1.024972173492136	0.9765935631254302	0.7219223686417333	1.3617505915773735	1.1645317356296148	0.6730606739619497	1.5471718543742057	1.619356055551447	0.902229858407013	0.40690746064875755	1.3030983174558346	1.4955761475472467	1.2994530750125737	1.0785338091356553	1.0266189237045522	3.2240109867524955	3.3517415235866843	1.4873252900145606	3.474719797483358	0.9882075528753913	2.660525922694178
Vil1.03B.FP35	2.481704931840643	0.06778515875896403	0.4614647713403765	0.0	1.8735796343286903	3.0344228222256575	1.8100989392504807	2.585772914606772	1.6311533317096778	2.3097313292118837	1.8405335007155863	3.00964184728489	1.8371183428530868	1.6716736198480098	0.5955277684696932	1.1189311500781831	1.4626155609598697	2.2377510935194986	2.4639883976734747	0.4977752823494701	2.50333914299594	0.9399523903161083	3.1680746078600013	2.801428669987356	1.3456339048313442	0.9899584373327132	2.1237065686788603	0.9141803115497769	1.102172587218174	0.5434075348589174	1.383195141005563	0.8008145160852631	1.4478850712298086	2.4126025289072333	2.4554846444435614	0.41250393376694633	1.6465916451591112	0.6923671119608209	2.722797663847037	2.080683430984875	0.7841992188791163	1.3695553877012248	0.5846436957171058	0.26621927657062966	0.8381840092549875	2.4633676926136454	1.6318186902794183	1.8831120135514736	2.165592006632186	0.7874027204194195	1.925224517479171	0.7902804415054301	2.4299447458634744	2.5621585126004494	1.8884459065486858	0.2613745786394892	1.3903651201594036	1.4018633392642414	0.36157240959892595	2.736208382069701	0.6846299697900402	2.9143515802212536	0.44641487750951725	0.33735852237791886	0.6173846179310907	1.7786893885929154	2.3298012659815797	0.7811811796440594	0.4847405036340859	2.762698304359312	2.1539326649423978	0.36504640724808524	1.0802079614867968	0.6502561425939086	0.5802850886786364	1.134039155208848	1.6726930716229464	2.1611247089698704	0.5055195457868178	0.6554223074181553	1.0553912246446433	0.9544876977902715	1.652335480204809	1.912479746439268	0.568602053688735	0.5748850156119509	2.8127751316570495	2.777859047466264	3.2142913586641235	0.6465902751549872	0.44072848290696665	1.8893987501662566	1.4542600639714265	1.0706608406193645	0.4652001331207835	3.0651730112878335	2.1132309309354915	0.7385793448499727	1.2250709906113915	0.6093295898032878	0.4230808754940129	0.42442872471832643	0.37802603592039336	0.8135072481732293	1.7286568688396755	0.6642078524434323	0.40397649559186805	1.3397689081558906	0.9879092005541298	0.6032380540405281	0.5533468320243285	1.2909250123214224	0.8052116332081484	1.1343101033943406	1.0640533442149267	2.442167677359989	0.6843174376541069	0.5427924005352031	0.8550519410803177	0.9151171126404416	0.7587170991291907	0.3465952750615775	1.1148602665762364	1.2406002098997555	0.5294430464674429	0.4528447095183465	0.8780032424962894	1.0753111990321307	0.9135811621423565	0.6988435710059965	0.9729812718698664	2.8203092487875265	2.9063204945675123	1.2833851749710732	3.025388735387994	0.7384030317336642	2.4455118716016284
Vil1.13B.FP153	4.2612744419942805	1.9254307536100626	1.660278448470463	1.8735796343286903	0.0	4.752331777227246	3.4512219642442816	4.309107912290146	1.6888486732541739	2.6304552392857787	3.634744477778095	4.120731770691895	3.500318950106625	3.385793004534069	1.292075461361601	2.449508215626668	3.136923667975904	4.032212072878899	3.522183438690012	1.6099057820259781	3.5928212555019687	2.65205093880786	4.2714223143327805	4.54879879267777	3.1696217095059915	2.81744664448034	3.822260693636782	1.093180528027473	2.8453315118752847	2.355223304804933	3.1654288485657336	2.562742798118668	0.48028858626796495	3.794847034976626	3.281984415228519	2.2224434614906854	0.31136067419072455	2.368786562938441	3.726210194608428	3.845473670070292	1.3385171416687252	0.8352205341528324	2.0977270686722607	2.1361532751757752	2.382410300486519	4.25106203822644	3.476197832593569	3.1277266510649664	2.6410719768020026	2.6490773408079846	3.686500904271939	2.513564433163727	4.141156525648632	3.882899795454939	3.69431472769808	1.804279788581503	0.7473902503366245	3.23925419181506	1.8478251254744973	3.836042295703492	2.186170420112109	4.19604589944956	1.8455448562770196	1.6077210508723143	1.4767998462393617	0.21716218743645252	4.056842141074912	2.2070889973076078	1.6038440027822765	4.291412861983228	3.8568048496946634	2.0974164443487804	2.794366540417652	1.6898363743513098	1.9056976900871665	0.9325613023549781	3.426195874648669	3.859424304242835	2.153886623497497	2.4392390719379806	2.8114066643353075	2.636200948244086	3.3769328865723414	3.643450159440151	2.0694190828546377	2.3455806137565993	3.8460643072070817	4.0119336551199245	4.126132260698253	2.2124825728744963	1.8286197561942612	2.4236252265788156	3.268147415025907	1.0933443760640664	2.1765102357175707	3.879958958040321	3.91827403435678	1.8811990775907648	3.0265654872502457	1.8049015766085152	2.202991631649993	1.577392587738972	1.61372967586612	2.0667231056644044	3.5241196496736142	1.2501873355114927	1.662381621207995	3.1208272716791474	2.719615067354232	1.3645351347956058	1.6652186655949894	3.0262630959420727	2.2413911544123937	2.857899959360801	1.5208719071317356	4.228960495899991	2.2506876067543367	2.363127017977712	1.463887424337943	2.393612872514646	2.543747890389565	1.7401972426410226	2.8812377005724357	3.0204499308378328	1.9656549310732374	1.4673806713969866	2.305498922877726	2.8397319693543346	2.1354232195922456	1.891359652085399	1.362955229359468	3.7196854000124904	4.083529022200451	2.98513108072233	4.236150441991459	2.5386163583687944	4.125554329160486
Vil1.07B.FP82	0.6213330984350336	2.9857734112133008	3.321209887274308	3.0344228222256575	4.752331777227246	0.0	1.3321302107287947	0.6463893923493385	4.414723877802128	4.515975734548127	1.226422346814901	3.7068501618134917	1.3386295501510437	2.167771730630082	3.6012695466064026	3.0340502873101576	1.6244398626981702	0.9495268984242541	3.588876094727479	3.3376592928198003	3.5030950120977353	2.5400699018087116	3.6485820756773277	0.3407596207238949	1.725748988401707	2.0623501464823972	1.0424573171147147	3.9292246338498207	2.389122411853579	2.5489873703021737	1.6655990625043893	2.252848478015636	4.395914346644914	2.8629682028867047	3.977333806957086	2.721328591391882	4.596278562658221	2.5638864862450306	3.834949623421115	1.0027918097682156	3.559626759808817	4.2289346361893925	2.7657949748072235	2.808080233260222	2.9063216716909634	0.7224018260742353	1.5179180921730098	3.1869383077932616	4.292243087553071	2.2980833725641374	1.1444670214215402	2.4067400056700756	0.6126057534846497	2.9833848552742235	1.1975265347264579	3.0651280567488715	4.366635421304706	1.791008624370223	2.9660453580166224	3.632013002902424	2.649907001079355	3.2038108504728156	2.918804709413267	3.3657269012516315	3.539840141460779	4.623141820824185	0.7864857556511801	3.050595658690426	3.2973448370371883	2.327390461354644	0.9110077068168783	2.809288362463681	1.9791988878724236	3.3679070890497456	3.0920422085312755	4.09524771142549	1.363320235697485	1.1233597791787406	2.748973239356745	2.4293444013782244	2.12387715902763	2.456337227824397	1.5517963954723357	1.3319953716769508	2.882899276270854	2.7210048360064865	3.662636243755993	3.234003326000047	4.057772313742623	2.6588613735594957	3.2368736407353307	4.167335416070185	1.6186017921313776	3.88743630455394	2.709188482300904	4.284469849224659	1.1027778997723932	3.32484845096981	1.8831537989605687	3.328810696715943	2.626017174489699	3.2152899197574736	3.2042897148243177	3.1741741161881607	1.6685394948703034	3.5377739928322005	3.146676419954585	1.7103389930979565	2.203851948158952	3.4017905225853355	3.301428714771496	2.2656922257633645	3.0560094668451367	2.0923420902808734	3.7672090911459875	1.1530271459543346	2.518481678807015	2.6161441921681585	3.3424113875715706	2.620393178535095	2.3305756999357365	3.089280070028794	2.278826217945431	1.860197916780548	2.84954646525392	3.3376449743738257	3.0202168106855343	2.1252709729668373	3.2417587819360087	3.1924356382852483	3.4398366052263842	3.9576495416290705	3.3946938151134876	1.8562385119639553	3.354561263991503	2.340851901494104	0.8215434206825466
Lyz2.07B.FP283.S81	0.9264212568781343	1.7605825338607728	2.053188585560938	1.8100989392504807	3.4512219642442816	1.3321302107287947	0.0	0.8907198827069681	3.329175134367146	3.6561441803882437	0.5513987314156262	3.415288074451251	0.20396827799918643	1.6444792650205282	2.3416624409864792	2.118765630626563	0.35497902451467445	0.9456664413179997	3.091523316846248	2.142524610318894	3.0429777039886416	1.604961905194521	3.427199639370073	1.1287183863985797	0.7249965325988854	0.9622520794381039	0.43262208799460244	2.6892875094161575	1.5308896655807178	1.3310905978289846	0.663644775149761	1.073098536305493	3.0983061391369047	2.5588519292684406	3.355760284471956	1.5048908427842178	3.30575681475308	1.3089643597326486	3.3791880175280844	0.5453918188381344	2.247506697951277	2.9122302734465673	1.4664181810313148	1.6254362375645592	1.923448236037023	1.0412886980238916	0.8129680726518603	2.5626035170686525	3.4520749692167363	1.1893295413418796	0.4395507599240522	1.1665471088027946	0.7377698324267159	2.7065555491871427	0.6279480098381914	1.8504696119037236	3.0724552560477782	1.0031826267559922	1.7346615172788553	3.2449487431847777	1.3388681420457282	3.0290965434331163	1.6306063709747547	2.13075207646796	2.268625148317804	3.3332986428869895	0.6438196442899136	2.0242438109251952	2.0076553700766606	2.359230848729144	0.4365388584925557	1.5594529269708748	0.7374562286840842	2.0903933477219536	1.8125984442497358	2.801790355577219	0.4402575557181657	0.5660063168925166	1.4802272646228547	1.1967754594134885	0.9319059978484661	1.4946446421282757	0.49686801058446867	0.5330522171688395	1.6051917816636418	1.6479448108111063	3.2785994158659673	2.9777008540995573	3.7128010682397194	1.3642751097125254	2.086038490919171	3.2707815508388425	0.723977489010387	2.572297347653594	1.5446782968277117	3.8172294308428274	0.9486460570083534	2.2287074310944472	0.923800085366755	2.1998532452818766	1.3874428969461867	1.9556283826818268	1.958538583621343	2.1225592627226804	1.1748800073092558	2.2450986994136164	1.9033065450871847	0.6910806507961939	1.1765132679482506	2.112642913088878	2.1220459549925317	1.5046455329899728	2.042903985945607	1.1310477039120335	2.635344403784756	1.364636575237365	1.2780267292818144	1.5067863119709244	2.018341888250809	1.5779820516199468	1.2059198615011972	1.8585403761647055	1.410747235923594	0.8812610744630947	1.636169316790066	2.0545814641048685	2.031709895194965	1.1563812334066332	2.225502338668854	2.0777838180198294	2.164740939528599	3.4866074326390204	3.1427772717931077	0.6023712121156294	3.1713381213280516	1.1276842525635344	0.7074289245786151
Itg.20.FP508.S11	0.42552136073566127	2.5302932080566696	2.817571620478426	2.585772914606772	4.309107912290146	0.6463893923493385	0.8907198827069681	0.0	4.065872022531621	4.310785329431754	0.8124511141597839	3.763112989831508	0.8167097987876414	2.0232164777812964	3.1503654732055546	2.7853719072108243	1.1932420217509505	0.854607527195363	3.5522938309275345	2.948294690522297	3.489611440692106	2.2381287655510693	3.760103447843322	0.34741414092626327	1.2880553926804117	1.6474125604123542	0.4890997286394274	3.4935749447364106	2.1076822661139487	2.066089430427101	1.3003624907851694	1.8527548754820917	3.9332400325829027	2.898259542337081	3.885957321913808	2.2347062490965595	4.147802538367902	2.0385485419453566	3.8116238845326973	0.5323694077580605	3.056940835016283	3.722168539075321	2.2564202744504716	2.369616274092399	2.5955114866909366	0.7304400421757772	1.1341617134162274	3.07015523533705	4.094707812167853	1.862484720549255	0.67541110098992	1.8847088191576107	0.44341036628712865	3.045863036683769	0.8038970341962367	2.655963442008644	3.8765904778815257	1.4713185779920994	2.562928037914232	3.6415721093477966	2.1461445808056014	3.3139681667589254	2.475834371697804	2.90344734196949	3.0373998089203584	4.1993270135643606	0.27155224495855507	2.7329342216592636	2.798642082603423	2.5110111893611573	0.5241194170272259	2.316845327668235	1.546036547688414	2.8393252803373343	2.5614449634690097	3.6017919860338035	0.9992672947324249	0.503540689168582	2.2396349929496413	1.9453307159570328	1.5933290774719113	2.168774309597153	0.9837650805750165	0.7356787427010512	2.3559481074705366	2.346448186486403	3.697579821091119	3.315578538449257	4.120023838612131	2.144669259388923	2.8466755757714366	3.926058780034071	1.2530525758073678	3.378331874071303	2.32779119807607	4.268929167554689	0.9659588552610577	2.9855350794714	1.547417778640619	2.962840553890256	2.1772196927922973	2.7943370875792852	2.788155438460309	2.8630458771089513	1.4952784006375102	3.0818130193078335	2.7386603767396984	1.3450834016382358	1.8890329544775037	2.959840293267159	2.928711956075471	2.027190774657471	2.738570322540733	1.808208589907628	3.4329383880945765	1.2490107514051827	2.126586320534745	2.224872848014763	2.8738500445669324	2.3429090558200953	1.952434985199815	2.683621073045341	1.9930605449956451	1.5324754656251312	2.4742500080931356	2.8809801234577277	2.7203204576545015	1.8178671570259313	2.9389154698094613	2.860968193360951	3.04712364125294	3.948591167413418	3.4844644843356263	1.3395616643556727	3.475131273038532	1.8578940453218398	0.24609838497026307
Vil1.10B.FP115	3.864533350282765	1.6901844521181442	1.7227284550708932	1.6311533317096778	1.6888486732541739	4.414723877802128	3.329175134367146	4.065872022531621	0.0	1.1055738560875876	3.2626332204610087	2.742940290011708	3.3851048725074446	2.4727397509527957	1.3266626482348642	1.46981913558046	2.9748655911278328	3.513022411398078	2.1610531878554746	1.2589635228002087	2.275690165666951	1.8858560191585552	2.988755123685006	4.216416978855123	2.784463279103305	2.4232488149646807	3.6419320798308545	1.0347649330054045	2.058124983686215	2.132636047983826	2.7789340038434456	2.2565675045301825	1.4637592369957904	2.6211255275984735	1.8304338996692158	1.9993571539654837	1.4333858305502554	2.310277114658761	2.2883586390934187	3.535491851512472	1.8228096056676295	1.799900533150982	2.1927116074253243	1.76494637052795	1.517015050342417	3.756896297837218	2.984465347562044	1.861143437554157	1.1221306019096164	2.225661443906968	3.390975181394481	2.4007380745563367	3.843623056679884	2.7026839041156596	3.289584530698482	1.5403590499786728	1.4928361250591256	2.654937517026263	1.6832099101587035	2.45580469690523	2.298127627724563	2.9564536518954907	1.916686323325335	1.432162213543993	1.6131101174531537	1.608991180284572	3.8039277112876237	1.3674191452504265	1.7826032651693517	3.2908261426448937	3.6157081485489164	1.982564181893997	2.6000026376976244	1.8852499883268914	2.0424051009341873	1.5075305591167534	3.0931058591026206	3.701531297123602	2.1243307106441813	2.2501408026143253	2.6339751919090166	1.9662046399295605	3.208052775659372	3.4497553187251135	2.138853868720616	1.7197565144961204	2.53736683067154	2.7825383520315152	2.779089233451639	2.2708254334024445	1.2550848179546714	0.8523843241877572	2.824447733110849	1.8092561949091177	1.7878405841328056	2.404865275361271	3.367148634303541	1.1174418941623907	2.539112516546908	1.1321235562076752	2.0086503724954925	1.5820831938333435	1.5286417199125975	1.2668309210529922	2.829821488908819	1.57084785001299	1.57633559162319	2.7348641985911497	2.2250632824204595	1.6257233185294515	1.2700092131335992	2.2145380096249987	1.362347449980189	2.333743414248208	0.8396183007471337	3.5488100091550727	2.1235149826822726	1.8454779578057068	2.025165401810694	1.8863337311476682	2.1313823689982967	1.5733908916439212	2.1551063293824786	2.562991856404666	1.783599878953872	1.610468852922198	1.4084031728826534	2.290876388855164	1.1926149998072284	1.30177034488834	1.8154214416450514	2.3272103747397628	2.8304206137591335	2.86236688670541	2.998003728098555	2.3115891037186937	3.9624938774323173
Vil1.10B.FP116	4.022444724885046	2.363039014814633	2.56898957563898	2.3097313292118837	2.6304552392857787	4.515975734548127	3.6561441803882437	4.310785329431754	1.1055738560875876	0.0	3.5131945747756674	1.9007844440995698	3.7475247137835006	2.407608490587145	2.2016440419869308	1.540138711875945	3.326538365930448	3.600276384916217	1.4015894983421398	1.918802718783131	1.532018094850789	2.100311795509763	2.148709060131831	4.377543621718958	3.1141691959444127	2.7913553939126667	3.9527745974291464	1.9990301097259826	2.217355694183685	2.7094373692589215	3.0479334327779966	2.6597706063531037	2.4724433420218466	2.092660546106324	0.9404218528634954	2.6282658753084185	2.425674993140898	2.94776911648312	1.4284126715691399	3.7911991501284925	2.7244445031613713	2.8255729379017707	2.881394392397898	2.3447671297879658	1.7816089391110927	3.8364518843288726	3.229322335565169	1.4273790068953058	0.22869687736372268	2.657917647900818	3.6673959814914605	2.9882809333758598	4.014193491603901	2.1059592687395874	3.5226267846754493	2.160311022928648	2.5528566247241353	2.859194790627132	2.267707266852322	1.6524145668237589	2.950694170374703	2.256982313822179	2.564000399975082	2.2455359829420907	2.5246996110743476	2.501786838333453	4.053307565590329	1.6877359971742687	2.6168815075715663	2.847534133283411	3.8549074198439506	2.654126359641476	3.0038355272552013	2.7638074024194554	2.8432595261074387	2.535450081985866	3.341616128738378	4.049840427689762	2.8014744932023543	2.8007210168481875	3.148776066587719	2.169289671993641	3.6196866006393518	3.824130169594739	2.875045572936649	2.13203757245491	1.705022134797753	2.0828079711069685	1.8267130965989729	2.933204802663682	1.8692077397107705	0.4517971296914705	3.0770817790082843	2.7859849846930205	2.248591432617666	1.3988352618554805	3.456151685057081	1.5957510731183069	2.7865831015646014	1.707104561578905	2.5709706619492474	2.2747264293062104	2.2090457260274907	1.6036905763448464	2.8816373768080035	2.4140212759749806	2.2228228624512867	3.0090471333000366	2.4816009752671047	2.4052066344489105	1.872196714930092	2.2964614979402684	1.6734013047362728	2.5361067398283117	1.4377608497724297	3.499584250952573	2.590063240253492	2.2798717956569408	2.810529968739611	2.119270286313892	2.504634878002709	2.197164560317362	2.327457470051445	2.8068255619165967	2.285347979594396	2.4026929866872018	1.6567712759204183	2.518908853158441	1.484055758726387	1.7390245992830795	2.483662012383695	1.4044470543335972	2.072372476402129	3.3161801910068975	2.2452015359064186	2.83372051179476	4.250956665880415
