	Mouse5A.DTT29	Mouse6A.DTT35	Mouse1A.FP05	Mouse3A.FP17	Mouse2A.FP11	Mouse4A.FP23	Mouse6A.FP35	Mouse7A.DTT41	Mouse7A.FP41	Mouse5A.FP29	Mouse1B.DTT17	Mouse4A.DTT23	Mouse9A.DTT101	Mouse10A.DTT113	Mouse10A.FP113	Mouse9A.FP101	Mouse8A.DTT89	Mouse8A.FP89
Mouse5A.DTT29	0.0	0.32135221543347825	0.1896316708214582	0.4391820155713686	0.4548006529541632	0.8928774629091566	0.5386928928065042	0.48766835731065455	0.44449241393808686	2.3378452602389537	1.134031858263761	0.35992354293759937	2.4837164744470934	0.8333536675032239	2.5089948171618883	3.0071448226520263	1.7323070208817875	2.7090276009807033
Mouse6A.DTT35	0.32135221543347825	0.0	0.14043331165489364	0.5353603328643921	0.41181231415547526	1.1344486652173031	0.3712795311781273	0.5986916338068962	0.702057587795937	2.2543588061330717	1.1066468085395806	0.6402826601813455	2.1979506812177836	0.8908899248877263	2.5895396025398782	2.72961620473791	1.4352096459940349	2.455907201333263
Mouse1A.FP05	0.1896316708214582	0.14043331165489364	0.0	0.4663267755485073	0.3696628778141239	1.04715713226311	0.3912950255549565	0.5244946487325097	0.5800263069388863	2.2647641050969924	1.0930242907377503	0.5222804421489934	2.3189008818497765	0.8647295690882517	2.5704820211604793	2.847374810802242	1.5464278586010538	2.5411180295695255
Mouse3A.FP17	0.4391820155713686	0.5353603328643921	0.4663267755485073	0.0	0.3900095415185931	0.8697392803324479	0.5497056874359555	0.0699297405851311	0.33797225151727395	1.9621340090377817	0.7244386528159932	0.3854968724835907	2.688528267809093	1.2693829856573506	2.916269301575906	3.2279655487123478	1.806004013600029	2.558350627344851
Mouse2A.FP11	0.4548006529541632	0.41181231415547526	0.3696628778141239	0.3900095415185931	0.0	1.2055946554056283	0.1978848229063784	0.4145815668800375	0.5709450055580609	1.9291907867042821	0.805836564346079	0.6344551879221562	2.432536549446309	1.1916525874865005	2.91570068149398	2.968293531963246	1.4937005279481281	2.306570821065811
Mouse4A.FP23	0.8928774629091566	1.1344486652173031	1.04715713226311	0.8697392803324479	1.2055946554056283	0.0	1.3497154613127609	0.8719909470023748	0.7158702714424372	2.6532504961382504	1.435185861425325	0.5950692788385797	3.2247304879156258	1.3533333593403452	2.592202721502596	3.7405327120070506	2.554344275444648	3.404599467337503
Mouse6A.FP35	0.5386928928065042	0.3712795311781273	0.3912950255549565	0.5497056874359555	0.1978848229063784	1.3497154613127609	0.0	0.5860800069166356	0.75340847834424	1.9582956392538842	0.8993357586558451	0.7889999663186351	2.2403255919493543	1.170561910038987	2.901172290774617	2.776412768667633	1.2994750875989949	2.1782210068794385
Mouse7A.DTT41	0.48766835731065455	0.5986916338068962	0.5244946487325097	0.0699297405851311	0.4145815668800375	0.8719909470023748	0.5860800069166356	0.0	0.31683429479911973	1.9271682982739533	0.6892629267638187	0.39655926990796175	2.7484831471051527	1.3196972443845714	2.9632334090880206	3.2882638548505745	1.84912402380199	2.5695018374335343
Mouse7A.FP41	0.44449241393808686	0.702057587795937	0.5800263069388863	0.33797225151727395	0.5709450055580609	0.7158702714424372	0.75340847834424	0.31683429479911973	0.0	2.168421458214738	0.9543689625639082	0.1966272390670724	2.895758793208578	1.201736795151762	2.7905281572039797	3.4259336145302743	2.0477416963713004	2.835455524347495
Mouse5A.FP29	2.3378452602389537	2.2543588061330717	2.2647641050969924	1.9621340090377817	1.9291907867042821	2.6532504961382504	1.9582956392538842	1.9271682982739533	2.168421458214738	0.0	1.2485325001944874	2.312476953675823	3.518181081417436	3.116400783512073	4.835161813704043	4.017192675107615	2.3509776945469736	1.7724086068042921
