	observed_features
BioGeo-Mouse9A_FP97_merged_R1_001.fastq_profiled_metagenome	160
BioGeo-Mouse9A_FP101_merged_R1_001.fastq_profiled_metagenome	60
BioGeo-Mouse8A_FP89_merged_R1_001.fastq_profiled_metagenome	118
BioGeo-Mouse8A_FP85_merged_R1_001.fastq_profiled_metagenome	162
BioGeo-Mouse7A_FP41-REP1_S54_R1_001.fastq_profiled_metagenome	50
BioGeo-Mouse7A_FP37_merged_R1_001.fastq_profiled_metagenome	147
BioGeo-Mouse6A_FP35-Rep1_S93_R1_001.fastq_profiled_metagenome	52
BioGeo-Mouse6A_FP31_merged_R1_001.fastq_profiled_metagenome	178
BioGeo-Mouse5A_FP29-REP1_S53_R1_001.fastq_profiled_metagenome	219
BioGeo-Mouse5A_FP25_merged_R1_001.fastq_profiled_metagenome	136
BioGeo-Mouse4A_FP23-Rep1_S92_R1_001.fastq_profiled_metagenome	59
BioGeo-Mouse3A_FP17_merged_R1_001.fastq_profiled_metagenome	37
BioGeo-Mouse3A_FP13_merged_R1_001.fastq_profiled_metagenome	142
BioGeo-Mouse2A_FP11-REP1_S55_R1_001.fastq_profiled_metagenome	101
BioGeo-Mouse2A_FP07_merged_R1_001.fastq_profiled_metagenome	183
BioGeo-Mouse1A_FP05_merged_R1_001.fastq_profiled_metagenome	63
BioGeo-Mouse1A_FP01_merged_R1_001.fastq_profiled_metagenome	60
BioGeo-Mouse10A_FP113_merged_R1_001.fastq_profiled_metagenome	90
BioGeo-Mouse10A_FP109_merged_R1_001.fastq_profiled_metagenome	140
