OTU ID	Jejunum	Distal_Colon
p__Bacteria_unclassified	74	297
p__Bacteroidetes	536353	24220662
p__Firmicutes	2216802	6313241
p__Proteobacteria	372278	419801
p__Verrucomicrobia	2117900	2311338
