	TL1a_DTT_173_Repeat	TL1a_DTT_76_Repeat	TL1a_FP_65	TL1a_FP_64	TL1a_DTT_172_Re_extracted	TL1a_FP_209	TL1a_FP_77	TL1a_FP_245	TL1a_FP_76	TL1a_FP_102	TL1a_FP_173	TL1a_FP_174	TL1a_FP_144	TL1a_FP_142	TL1a_DTT_245_Repeat	TL1a_FP_172	TL1a_FP_66	TL1a_FP_143	TL1a_FP_100	TL1a_FP_246	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1a_DTT_244_Repeat	TL1a_FP_101	TL1a_FP_244	TL1a_DTT_142_Repeat	TL1a_DTT_78	TL1a_DTT_209	TL1a_DTT_210	TL1a_DTT_64	TL1a_DTT_65	TL1a_DTT_246	TL1a_DTT_66	TL1a_DTT_77	TL1a_DTT_208	TL1A_DTT_642	TL1A_FP_641	TL1A_FP_689	TL1A_FP_640	TL1A_DTT_640	TL1A_FP_688	TL1A_DTT_641	TL1A_DTT_689
TL1a_DTT_173_Repeat	0.0	0.5890922770238988	2.14112366797763	0.9558771429998243	1.0996336454469817	2.410229114214349	1.0703943124577675	1.6583565014197454	0.6151766180482079	2.256718563668256	1.8168382389294346	1.58828685369746	1.71271777661189	1.2498878578613526	0.528304869473119	1.7456298669594712	2.0823015102090348	1.2132359411407065	1.6394910700149443	1.3386289407449645	2.037658109632419	2.456638280694792	2.1164233924916056	0.7067294284878095	2.7695566313929123	1.0046657794731477	1.1738987427992358	0.2971118588895324	1.604455385651144	1.6250427530483382	2.562646713920215	1.1172302741396491	0.856362851197543	0.9332503635051028	1.1100987497537345	1.2105523929445106	1.4511828848150812	0.47322535821143696	0.14863091018638458	0.3597804451292953	1.4367601336337044	0.6043948616334099	1.4032776897374095	1.1077793349102114
TL1a_DTT_76_Repeat	0.5890922770238988	0.0	1.7409128778148109	0.9588620142028114	1.5700336847778598	2.2558141218944785	1.223629962890406	1.96938027554277	0.8291384915667476	2.758608350124523	2.2522801411159654	2.01762457834252	1.5998912215150336	1.8179499316637664	0.6578999018463392	2.12739274836799	2.242385162440132	1.7385698323328138	2.1423755059016654	1.539841935614667	1.7475476766375133	2.7172460511951653	1.8760203301935319	0.7042208989962787	3.3491316171301238	0.6995653759902025	1.5957947366649126	0.582156861999081	1.096529631475712	1.0470836110542905	1.9837756043842991	0.7010010309611008	1.3428210950555817	0.35390470043191313	0.601157451673607	1.3209623916690445	1.9166836664676419	1.027971693623204	0.7095203302877613	0.6193779054175673	1.8450911489691524	1.0517798515973247	1.801514933164596	1.421076679129737
TL1a_FP_65	2.14112366797763	1.7409128778148109	0.0	1.4546050296241946	3.136482112819179	3.695718634538581	1.8375202351917228	3.6963884624495362	2.021637359653026	3.505892317278972	3.925386167963394	3.633088942876146	1.1417220258379484	3.177524990435926	2.385795591319465	3.838971946145291	2.089552320269197	2.9322122391039644	3.0121732142646636	3.2179187892489707	0.5135764261265685	4.454918893214459	3.2491864829437653	2.3864440287201774	4.419862372900609	2.0715440125545075	3.1838909734454384	2.2208970731654625	2.081124919183752	1.1679480512641915	1.5853770155106743	1.0495365980406883	2.6135624268389925	1.6379475091623	1.1637944005168621	3.0137574665864566	2.737842263176936	2.396299785078184	2.264005487300469	1.869352689049328	2.5366371686723848	2.3152572667829543	2.4751540710647673	2.072574542940341
TL1a_FP_64	0.9558771429998243	0.9588620142028114	1.4546050296241946	0.0	1.7964731569938723	3.130877431963295	0.48956167800102496	2.542701178463317	0.7053434718558883	2.172280742676419	2.630162920357336	2.3185530606162112	0.7619500751390996	1.7394288275547722	1.3637809706506807	2.676429080365502	1.2901636333440374	1.4786723923059082	1.6170810887488545	2.1365233530363468	1.1903961737573225	3.39047443448766	2.813418953785292	1.4279944491607015	3.0531121034790556	1.3597735183435256	2.058923007148409	1.0769749368688986	1.9511847309443013	1.497348135193156	2.434536955293789	0.7334422071466736	1.1840136847497125	1.1601629795492092	0.9050859304117194	2.02919734031145	1.3407349548068905	1.0154671717411987	1.0258900241758473	0.600253967226029	1.1716901107200715	0.9046468702585089	1.114414582790506	0.6831450507928064
TL1a_DTT_172_Re_extracted	1.0996336454469817	1.5700336847778598	3.136482112819179	1.7964731569938723	0.0	2.355055252890451	1.593755557541695	0.9730496925423989	1.1527526374593464	2.038360592413419	0.8639980164232147	0.5283643425989569	2.47997064309879	0.6733021002813229	1.026113145182528	1.2460770878288214	2.552964457673563	0.8586882248904154	1.5320136990802187	0.8566377795542903	2.9527208646487337	1.8684530929072711	2.3403136302107477	1.0956361110607775	2.3305587174576003	1.5170110607608656	1.2168472310618164	0.988524703889917	2.3031683387243866	2.583127072655405	3.505666828661853	2.125832806051996	0.735370009808642	1.8299950655383692	2.100721719637164	1.030155400858916	1.48001414771251	0.8643617338314804	0.9531140524417284	1.3246251854149402	1.596312562834848	0.909382190613193	1.6096181877978513	1.5841864980872566
TL1a_FP_209	2.410229114214349	2.2558141218944785	3.695718634538581	3.130877431963295	2.355055252890451	0.0	3.182508836867161	1.7245013467265533	2.6262055549296868	4.3587972753566575	2.3036985276781765	2.29034648695451	3.7181961427494628	3.000588872630059	1.8867602891044657	2.142719514269737	4.328713423759492	3.1362415274378037	3.7924047100571103	1.5078469188512487	3.8168171645851063	1.8259461284819598	0.6390144709990532	1.7509286259251104	4.563562790490278	1.8330597460930755	2.4420090079359444	2.181594131057789	1.6765666616998836	2.5808728856047245	2.9746362431526365	2.8262986132628956	2.8153091203685228	2.1452026690224213	2.6231172480475506	1.354004302561268	3.657991129464816	2.6929717328985117	2.395581909334936	2.691152305838628	3.6835906938515093	2.733167971606888	3.6692482140306857	3.4195543892140656
TL1a_FP_77	1.0703943124577675	1.223629962890406	1.8375202351917228	0.48956167800102496	1.593755557541695	3.182508836867161	0.0	2.445161072876609	0.5785414360321495	1.873039588797705	2.455621661337158	2.0984007798864863	0.9151086449586949	1.5000419869633208	1.4320820164663928	2.644840412631645	1.1499465377099232	1.169523028256534	1.3367074118711226	2.0382079108429396	1.4988859890688828	3.341686464083442	2.9566241586051993	1.4720805115252817	2.846470201901453	1.4306747764197778	2.1287110024994096	1.1223944194540105	2.2050995727184075	1.8670219208558951	2.819807393046339	1.1477366512910283	0.9136535563927878	1.436903176381128	1.2787831730343446	2.0020898854387785	1.0520635942984657	0.9407115921410505	1.0737339374109318	0.7741220255803137	0.8750353377177822	0.7217015316000303	0.833581306908556	0.49005908843399903
TL1a_FP_245	1.6583565014197454	1.96938027554277	3.6963884624495362	2.542701178463317	0.9730496925423989	1.7245013467265533	2.445161072876609	0.0	1.9091808919783992	2.928451746197322	0.59408465113151	0.7224283493897323	3.2620215520902978	1.5361165235440368	1.3132705876372348	0.695993497133618	3.4784373058916565	1.8147517610125183	2.452944868075347	0.6190450623652799	3.623441186707977	0.9284156247558957	1.8378565636287143	1.3369447826776004	2.9109383437012375	1.8025615915181177	1.254689452327028	1.502875235762609	2.2972389056726983	2.8782366822059298	3.662776631883709	2.6488059797186745	1.675001538091514	2.139236970639671	2.5510613769092276	0.8031921774901036	2.4231512293226447	1.652628795618649	1.553062344412491	1.9892091945118924	2.5445400195761554	1.7611740267659508	2.5522169049446477	2.4766238035908033
TL1a_FP_76	0.6151766180482079	0.8291384915667476	2.021637359653026	0.7053434718558883	1.1527526374593464	2.6262055549296868	0.5785414360321495	1.9091808919783992	0.0	2.0825882715247883	1.9976730843595722	1.6556313740362107	1.3614723545163816	1.2674848686824072	0.8702497170618326	2.148055027706611	1.7139024371597273	1.0549457163033553	1.4833223202832697	1.4796921479988177	1.8080985623546295	2.7985724199319315	2.41672448935114	0.9043051069514197	2.8449765635613704	0.9613078113003215	1.700770239447025	0.5701277468672984	1.7978737034691794	1.6913678995705148	2.6661811287799924	1.0864658318893028	0.6552212090658546	1.075852835839797	1.1224872456026505	1.4255751938817491	1.2414125664004336	0.5904473613280546	0.5922481646653057	0.4812420382235973	1.1646284805191376	0.3833060551283229	1.1353623118449883	0.8277373603375577
TL1a_FP_102	2.256718563668256	2.758608350124523	3.505892317278972	2.172280742676419	2.038360592413419	4.3587972753566575	1.873039588797705	2.928451746197322	2.0825882715247883	0.0	2.5510506755484372	2.332797543163493	2.474980659241249	1.4010403873063086	2.6386527567924105	2.8833336500339177	1.733616599453867	1.2291637964959394	0.6188528219706879	2.8846735296215273	3.109438260692434	3.6801775287696588	4.240800471150965	2.7678214988461494	1.2942565602813396	3.0146046947733085	2.497092005053105	2.3840681898442058	3.824635278125514	3.6266937149368657	4.581472274579656	2.8817658386750242	1.594704799708954	3.0806044284115592	3.020299233811744	3.006146261869633	0.8572128683538189	1.8060558385434187	2.1761181124941094	2.1491197563947155	1.0093594325483897	1.782396288967062	1.0629329701588197	1.4894094400395559
TL1a_FP_173	1.8168382389294346	2.2522801411159654	3.925386167963394	2.630162920357336	0.8639980164232147	2.3036985276781765	2.455621661337158	0.59408465113151	1.9976730843595722	2.5510506755484372	0.0	0.44142288800902996	3.3354518254327994	1.2414355906315893	1.6174378339274633	0.796384350109249	3.374437730804995	1.5745043394386755	2.161630834324102	1.029179679761073	3.7826381216779223	1.1978022388116258	2.4250826368418044	1.6774523313959222	2.4248263844903697	2.150184907838514	1.3389285847520715	1.7095700128649918	2.7735873276098877	3.2415815078285086	4.092667919884086	2.8869267177377753	1.576053238540219	2.4810742445773437	2.8306722898719285	1.27520059881933	2.1946212415854336	1.6526239222801664	1.6856265652655522	2.1065821722390154	2.3584445526852873	1.7569210474294599	2.3797865230809307	2.406517263026535
