	IL17.DTT.118	IL17.DTT.119	IL17.DTT.120	IL17.DTT.130	IL17.DTT.131	IL17.DTT.132	IL17.DTT.143	IL17.DTT.144	IL17.DTT.142	IL17.DTT.202	IL17.DTT.203	IL17.DTT.220	IL17.DTT.221	IL17.DTT.222	IL17.DTT.28	IL17.DTT.29	IL17.DTT.106	IL17.DTT.53	IL17.DTT.52	IL17.DTT.88	IL17.DTT.89	IL17.DTT.90	TKO.DTT.4	TKO.DTT.5	TKO.DTT.6	TKO.DTT.46	TKO.DTT.47	TKO.DTT.48	TKO.DTT.34	TKO.DTT.35	TKO.DTT.16	TKO.DTT.17	TKO.DTT.18	TKO.DTT.22	TKO.DTT.23	TKO.DTT.24	TKO.DTT.58	TKO.DTT.59	TKO.DTT.60	TKO.DTT.70	TKO.DTT.71	TKO.DTT.72	TKO.DTT.78	TKO.DTT.76	TKO.DTT.77	TKO.DTT.88	TKO.DTT.89	TKO.DTT.90	TKO.DTT.94	TKO.DTT.95	TKO.DTT.106	TKO.DTT.107	TKO.DTT.108	TKO.DTT.112	TKO.DTT.113	TKO.DTT.124	TKO.DTT.125	TKO.DTT.126	TKO.DTT.130	TKO.DTT.131	TKO.DTT.132	TKO.DTT.142	TKO.DTT.143	TKO.DTT.144	TKO.DTT.154	TKO.DTT.155	TKO.DTT.156
IL17.DTT.118	0.0	0.730348376377999	1.0595332220396894	4.139097342788314	0.7167864990317392	1.071186880198416	3.0259911535231487	2.9299452767632004	2.6717453645798357	2.859999717465308	2.787752811801539	0.9506466798605583	0.5738275483445117	0.7154953934551447	2.974017624980163	2.752452688422973	1.223501573845997	2.2319559059383987	1.693453492679141	1.773351393913784	1.7678046701497732	3.3583771081600995	1.2927520981880047	1.353590368327642	2.4606213859039734	2.8339694640986273	2.6122854654159755	2.8173713188522673	4.164084010404474	3.1716054771341797	1.1450352737233782	2.0247257982121334	2.3984545746861095	1.2473924119926154	0.5758722248775476	1.0456957286058912	1.0996819282823473	0.8283235620214949	1.3901671987470545	2.6920652126855935	2.9210874001130174	2.8136805626160832	1.4824738055677797	2.0169332915786318	1.6896357541389389	3.5718951156432417	2.373701397521151	2.0722042618457768	1.4461151918651973	0.811306997200139	3.0634196467550505	2.78389424449296	3.1076319575728184	2.2583143850446277	2.356809586528132	2.636770275012258	2.0527358311259443	2.0853826788407357	2.660367416663147	1.6057818860466675	1.92314883761012	1.0586423141895969	1.1961041585304564	2.166324443287875	0.9425347883368378	1.1580654599866576	1.8635193631038638
IL17.DTT.119	0.730348376377999	0.0	0.4613379169794097	3.6102218843276583	0.7378959041587106	0.5980760307254747	3.1138638291779883	2.9222234380204815	2.9891506065358757	2.9709702185309417	3.0287218623786374	1.5533970127902959	1.2898950904959774	0.9420499463871039	3.295365420197473	2.958685499126617	1.7603152218923532	2.2848022347932484	2.2975364276608676	2.09297941180021	1.4251217290470628	2.789977782930095	1.4283690967452527	1.8587556700075374	1.8826694593109559	2.88120526544494	2.6591833566871173	2.464433614791321	3.906356715888177	3.0024323529080625	1.2699973258126183	1.6812679205753853	1.8377463447934008	1.9597142187882621	0.6509389634309585	0.5044480405351436	1.0961889834176564	0.6862457180793818	0.7866786860169414	3.0328205951459	3.254183358268796	2.757395772003652	1.4691841208506888	2.2676042925599407	1.964502528701315	3.42922575909283	2.60023888449595	2.2295278953219264	2.042175007120929	1.0976539119876965	3.0371165136336513	2.87829974320409	2.8237956071787043	2.506239446541256	2.9057977088792626	3.008213026627078	1.997450417371003	1.9910130864397524	2.405970565740455	1.7907462448661844	1.473060536415647	0.3761016116315156	0.46897195931487284	1.7163642693127952	0.7078749644552857	1.7391786879777051	1.2539945506021397
IL17.DTT.120	1.0595332220396894	0.4613379169794097	0.0	3.583717419068954	1.0352831479743498	0.8272116797389605	3.2834604466093817	3.075752418095964	3.2345692115009137	3.2058971058854233	3.2439021416494143	1.9107240456938162	1.6040339876882217	1.3181172891716344	3.522353265663772	3.184621831004585	2.026330429701364	2.4342421794444107	2.583825770053016	2.4001123201574686	1.5513955051833532	2.7681665516582648	1.7960883222317732	2.1373323414959895	1.8668873609381456	3.131862431986333	2.9108233524226583	2.5475844887848806	4.042149395168563	3.1935719343559077	1.6662950467805215	1.8990004179870057	1.8958436177813789	2.2374508237647586	1.078833647364467	0.7851779852627929	1.4947684437514897	1.0797252813574494	0.9408055132750944	3.2796524447522346	3.4958957421018333	2.9562838536399574	1.727317597738654	2.566179658867281	2.2584597806664646	3.6189004072654454	2.880910504755282	2.469059074516683	2.344243899650885	1.1218894512781163	3.2523463376532846	3.0909814226164007	2.964041290146033	2.7865900636024468	3.121321967811975	3.254316774996443	2.265167797517807	2.2296463791736962	2.610080119386314	2.0542991612591273	1.5687943686757433	0.444128422759577	0.3858419127831466	1.8083441113351175	0.7935443702635238	2.019108082514535	1.1832745730134626
IL17.DTT.130	4.139097342788314	3.6102218843276583	3.583717419068954	0.0	3.4897795435981185	3.081713572565344	3.255310136866861	2.8346126845282837	4.063585960015445	3.2575358764533524	3.809212476633384	4.329362411262807	4.477827290920456	3.642006414080762	4.232900705003273	3.636355572252759	4.29156243796404	3.0898723033344475	4.741408619297233	3.774230589713803	2.4317377765365626	0.8663973588614362	3.3955962585182466	4.231155999391141	1.734593907987545	2.9988548443722545	2.977712474445391	1.5766825477510658	1.7841164240626386	2.132562969102677	3.4552861636321763	2.293192325994094	1.8391799804379458	4.976604836853099	3.64539046243155	3.1632249429800448	3.3384293642671685	3.3740361783798063	2.8673627207953842	4.171862517445853	4.2450394592430705	2.5933559730319202	3.039499015834408	3.6055951053175948	3.635166266323455	2.2656964006072284	3.591669380934647	3.3341680416247135	4.557834788243203	4.182088968165847	2.7211651744461376	3.187759176474185	1.66540194583591	3.642578021020594	5.0003289493143	4.282963923685812	2.7546297368221198	2.6355586519288186	2.017281577472672	3.411235608975612	2.2202681871043453	3.5701047587607393	3.30696012886996	1.9863597531787585	3.3383828494613805	4.38355326080614	2.4022157417682903
IL17.DTT.131	0.7167864990317392	0.7378959041587106	1.0352831479743498	3.4897795435981185	0.0	0.5830017349087031	2.4226995454395266	2.2748772727326614	2.251407203003565	2.277783100805245	2.2957049375904184	1.043826795585999	1.0043325101925926	0.3550176053287166	2.557969313202238	2.2313970744985663	1.1412026876391008	1.6059267626696758	1.6979354639915443	1.3712013504113936	1.0752780827712953	2.750844748160076	0.8209381930558824	1.201392386359898	1.8761671585021538	2.2292355929072727	2.004037432174193	2.1154839426861676	3.4735401721276022	2.496490369819024	0.7422330605046173	1.410964540557933	1.8391898391623216	1.5797053877713698	0.4143319801974313	0.6908039559311746	0.6785983282366819	0.411306903272943	0.9874505240852058	2.2958956796028187	2.5165994935651197	2.1493092876167723	0.8182571680237049	1.5485752071629624	1.2363173128133	2.9009880541562727	1.8805425147337869	1.5095311768195163	1.447135820437875	0.9500225941405065	2.4182814039300657	2.18528541572068	2.415279640084517	1.7806584300048125	2.266508547268403	2.2745343647964424	1.41603255729166	1.4205794843947432	2.002804179865417	1.0611493691186211	1.27733758322199	1.0908011069973356	1.0456880160165725	1.5167478699710613	0.44068172582068454	1.1583531185936438	1.3394589011018816
IL17.DTT.132	1.071186880198416	0.5980760307254747	0.8272116797389605	3.081713572565344	0.5830017349087031	0.0	2.6414806796436494	2.4065380923592876	2.6527074151568035	2.493046526148986	2.6439849929147154	1.5799173996433988	1.5103034446598527	0.8139848457651544	2.9592622049313078	2.546039451306802	1.7176243521010004	1.8387311161694744	2.2679869004847015	1.7929467625036655	0.8359258761682901	2.2888359437257906	1.0883842190341164	1.76236066161243	1.3900298506780604	2.370231917740254	2.1535837797425006	1.8718364526048037	3.308717283677628	2.4171952488154136	0.9813842109121984	1.110198364761884	1.340363695817469	2.1353306906680114	0.6574194108215597	0.20751173787597865	0.7847330099595843	0.45430658558128073	0.4116368150194568	2.713444314523705	2.922350478634449	2.2076236611828004	1.0022547643348676	1.9026282262762557	1.64256007130652	2.846551097877504	2.201879584878142	1.8132978576877985	2.014623526227101	1.339317211139156	2.492550039559477	2.3992751928395526	2.2259443370047785	2.1277344817552315	2.8244482400446347	2.716759657302527	1.4692207320150112	1.4437658109209417	1.8196148437485116	1.4257628456890412	0.8923578184330303	0.7836205429057213	0.638285086379165	1.1378144072278158	0.5503389824446544	1.7377802479903959	0.8364261249867667
IL17.DTT.143	3.0259911535231487	3.1138638291779883	3.2834604466093817	3.255310136866861	2.4226995454395266	2.6414806796436494	0.0	0.4273427945678817	1.0014344303849358	0.5324082479073805	0.6632552479592883	2.5114277730046575	2.90918783022673	2.396487475862544	1.0361668095467633	0.5654858498457279	2.1879714452860575	0.8580147931664649	2.312227469118222	1.4840787191965092	2.015362515520783	3.057097169230814	2.0079546903336256	2.038533960254966	2.7396220441352135	0.8358261538079891	0.8670505696395494	1.8635157126483877	2.181433289411359	1.435778541819703	2.2303096905945243	2.2073842420177656	2.7827350962509474	2.959495925060702	2.702498829179219	2.823916476084853	2.372937515377042	2.5780108273064086	2.8745438011413853	1.0982634405418439	1.0838885630208235	0.8614718791488407	1.6948345864503833	1.2488174784570667	1.4594098170647731	1.4789571827334798	0.9741445871684727	0.9907764947262468	2.297692235194527	2.891082563133886	0.8588753500621392	0.400628739848235	1.7614365358469013	1.0444125025418631	2.187072229576276	1.2314338402753056	1.4494922913251933	1.4123678493215288	1.8179424233881232	1.4429338260317754	2.273718238416198	3.403647984978947	3.2320541133282985	2.260993528534091	2.504078250463211	2.3223786998186715	2.756941465466386
IL17.DTT.144	2.9299452767632004	2.9222234380204815	3.075752418095964	2.8346126845282837	2.2748772727326614	2.4065380923592876	0.4273427945678817	0.0	1.316194589842308	0.6264187115592657	1.0088217715633163	2.5255596609862043	2.893095285560277	2.2800466890512867	1.4184885644623968	0.8632979607922522	2.2510491301083184	0.7642422411348015	2.466670060860889	1.5391790416297984	1.704156656354997	2.6325074135358504	1.8823778509039444	2.114384978511104	2.3523683375120763	0.7295325467437282	0.7317220264018109	1.441406220778528	1.8607056831783158	1.0838922364081367	2.0945783978556634	1.8763218291890997	2.4019182203989202	3.0408877931044227	2.554211154883097	2.5884891905645584	2.200787642622731	2.3941191421186074	2.5958856516364044	1.4215751978461675	1.4496845626110217	0.5343013983903868	1.512596206107266	1.2978086974026917	1.4738389339720703	1.1900738542468587	1.0899345862325989	0.9829908957616402	2.4067490735670547	2.825364027011109	0.6306195684844389	0.47440327768194374	1.3531055990818015	1.159436668664909	2.4486508991867573	1.5485227249592441	1.2088580686648265	1.1382562814277206	1.4499036940016559	1.3888266374521867	1.9323006682266533	3.1815918693363288	2.989201352737199	1.8924387279558044	2.324194347699927	2.3830451058042867	2.4311319052778106
IL17.DTT.142	2.6717453645798357	2.9891506065358757	3.2345692115009137	4.063585960015445	2.251407203003565	2.6527074151568035	1.0014344303849358	1.316194589842308	0.0	0.9201779171213947	0.34832017407652505	1.92351548126081	2.3804026335638686	2.1211921809571965	0.3366858884979039	0.46724438981619903	1.5850830115535974	1.149959353348722	1.4925281826512526	0.9735021482653482	2.298321814302798	3.7140258685111096	1.7875925685708942	1.4124915046299633	3.207608300884198	1.2468619813421762	1.2018806675370066	2.539027623644293	3.0297851725382734	2.131309837891039	1.9978016492962836	2.489539274316976	3.1950507414815537	2.241644403948422	2.4689227566498335	2.809779795502111	2.2108246376472898	2.4408335824536547	2.9695027003426215	0.11024508232296129	0.2705296282431792	1.518753395791568	1.6946600818375124	0.8556184023161327	1.0615112375817966	2.2407074966623766	0.6435226761297873	0.9017101115129343	1.5544018860703015	2.594624879700205	1.5262437227521402	0.918842829660738	2.4758906940797156	0.6291804347631327	1.3191206366007269	0.25525825861562773	1.6404546244895948	1.6847899134939432	2.316049683389989	1.2290483289852494	2.605852925521096	3.335297782941422	3.2438239013145425	2.6722484363037413	2.4557263497699817	1.698714956089318	3.0488525135611493
IL17.DTT.202	2.859999717465308	2.9709702185309417	3.2058971058854233	3.2575358764533524	2.277783100805245	2.493046526148986	0.5324082479073805	0.6264187115592657	0.9201779171213947	0.0	0.7053635348134838	2.286160451449437	2.7318438332095023	2.186212448901341	1.0670865758428558	0.4903440390403565	2.063326216380814	0.9460122315225079	2.16402824068119	1.224290951974882	1.906645009444798	3.001243014422235	1.7114100712407678	1.8963968064727308	2.661903176103035	0.3871374912464796	0.44824519613436026	1.8110875354733993	2.114978504542723	1.2379769071320443	1.9341142530151891	1.9689067242682297	2.637815921574945	2.803620582595899	2.490118113250296	2.6532688479877558	2.0924209788349217	2.3659511072380637	2.709380038375486	1.0272490824654374	1.0503032289567091	0.6707341294158037	1.5054576178485968	0.9375381859976073	1.2251519725148685	1.320652671013319	0.6243564937061802	0.8092734356289876	2.1256342485308117	2.868940881236371	0.6092170648966054	0.2010380937472939	1.6368984324835738	0.7426443546389878	2.1805644989050696	1.1732491316225198	1.1441650599294089	1.159447625214862	1.5679776795354432	1.2613693848007215	2.1547767030053135	3.259623893463114	3.117509611646278	2.1387179846901763	2.4401539670166557	2.1807327834222963	2.6956772421981614
