# Constructed from biom file
#OTU ID	TL1a_FP_207	TL1a_FP_75	TL1a_FP_141	TL1a_FP_171	TL1a_FP_99	TL1a_FP_63	TL1a_FP_243	TL1a_DTT_171	TL1a_DTT_141	TL1a_DTT_243	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_99	TL1A_FP_639	TL1A_FP_687	TL1A_DTT_639	TL1A_DTT_687	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001	35.0	7.0	6.0	7.0	5.0	8.0	5.0	11.0	43.0	9.0	3.0	26.0	3.0	20.0	4.0	6.0	0.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	1105.0	2303.0	562.0	1335.0	641.0	1839.0	963.0	1230.0	1061.0	877.0	578.0	825.0	798.0	1010.0	66.0	89.0	93.0	21.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	59.0	77.0	63.0	162.0	0.0	108.0	0.0	79.0	84.0	0.0	12.0	26.0	56.0	0.0	0.0	5.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	1053.0	384.0	158.0	355.0	417.0	455.0	606.0	474.0	699.0	1191.0	563.0	2426.0	1349.0	733.0	40.0	189.0	60.0	22.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Cuneatibacter	5.0	6.0	0.0	4.0	2.0	12.0	4.0	2.0	0.0	0.0	5.0	0.0	3.0	5.0	3.0	4.0	8.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella	217.0	0.0	24.0	94.0	15.0	0.0	119.0	38.0	95.0	118.0	0.0	186.0	0.0	50.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575	143.0	103.0	11.0	84.0	48.0	70.0	127.0	46.0	30.0	114.0	18.0	63.0	16.0	77.0	0.0	0.0	4.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella	0.0	43.0	1.0	0.0	29.0	27.0	1.0	0.0	0.0	0.0	12.0	0.0	11.0	23.0	0.0	7.0	28.0	11.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	2738.0	1849.0	617.0	3100.0	2023.0	1525.0	1295.0	1346.0	1509.0	804.0	1249.0	1455.0	983.0	2049.0	224.0	240.0	537.0	58.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	78.0	0.0	7.0	26.0	15.0	0.0	0.0	14.0	26.0	0.0	0.0	79.0	0.0	34.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	32.0	788.0	6.0	41.0	28.0	16.0	191.0	83.0	42.0	206.0	63.0	245.0	43.0	1884.0	2997.0	7731.0	6876.0	8190.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor	14.0	6.0	0.0	5.0	8.0	5.0	3.0	0.0	0.0	0.0	0.0	7.0	0.0	5.0	0.0	3.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia	14.0	13.0	7.0	2.0	10.0	19.0	10.0	7.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	5.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	11290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3778.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Sellimonas	12.0	6.0	0.0	0.0	0.0	0.0	9.0	2.0	0.0	10.0	5.0	5.0	0.0	9.0	6.0	7.0	63.0	3.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	805.0	320.0	207.0	54.0	76.0	259.0	130.0	652.0	809.0	307.0	275.0	219.0	221.0	564.0	30.0	0.0	157.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__UC5-1-2E3	0.0	11.0	10.0	53.0	6.0	3.0	20.0	45.0	36.0	22.0	0.0	17.0	2.0	25.0	0.0	4.0	45.0	5.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia	8.0	3.0	7.0	186.0	5.0	0.0	0.0	51.0	45.0	13.0	0.0	21.0	0.0	13.0	0.0	0.0	0.0	0.0
