	observed_features
GnotobioticExp-FP-188-S51	61
GnotoExpt-FP569-S85	126
GnotoExpt-FP617-S313	185
GnotoExpt-DTT485-S633	13
GnotoExpt-DTT484-S632	13
806rcbc422-S327	57
806rcbc365-S500	113
806rcbc392-S297	73
GnotoExpt-DTT555-S167	57
806rcbc423-S424	58
GnotobioticExp-DTT-195-S205	76
GnotoExpt-DTT552-S163	197
GnotoExpt-DTT543-S154	51
GnotoExpt-DTT550-S161	110
GnotoExpt-DTT537-S148	44
806rcbc477-S382	107
GnotoExpt-DTT472-S620	10
GnotoExpt-DTT452-S600	28
GnotoExpt-DTT535-S146	60
GnotobioticExp-FP-199-S63	82
GnotoExpt-DTT480-S628	10
GnotoExpt-DTT556-S168	164
806rcbc533-S438	81
GnotoExpt-DTT611-S346	41
GnotobioticExp-FP-193-S57	78
806rcbc498-S403	109
GnotoExpt-DTT541-S152	56
GnotoExpt-FP562-S78	60
806rcbc481-S386	106
GnotoExpt-FP552-S67	140
GnotoExpt-FP610-S306	183
GnotoExpt-DTT538-S149	76
806rcbc381-S515	98
GnotoExpt-DTT557-S169	168
806rcbc421-S326	68
806rcbc564-S469	62
GnotoExpt-FP452-S673	108
806rcbc179-S276	184
GnotobioticExp-DTT-189-S199	65
GnotoExpt-FP461-S682	140
GnotoExpt-DTT570-S182	553
GnotoExpt-DTT389-S535	106
GnotobioticExp-FP-209-S73	107
GnotoExpt-DTT539-S150	93
GnotoExpt-FP457-S678	90
806rcbc425-S330	55
GnotoExpt-FP456-S677	163
GnotoExpt-DTT564-S176	795
GnotoExpt-DTT565-S177	68
GnotoExpt-DTT607-S342	23
806rcbc175-S272	79
GnotobioticExp-FP-197-S61	139
GnotoExpt-DTT534-S145	458
806rcbc450-S451	161
GnotoExpt-DTT464-S612	26
GnotobioticExp-DTT-191-S201	157
GnotoExpt-FP554-S69	64
GnotoExpt-FP472-S693	64
806rcbc447-S448	52
806rcbc562-S467	75
806rcbc394-S299	100
806rcbc433-S338	72
GnotoExpt-FP475-S696	86
806rcbc492-S397	97
GnotobioticExp-FP-207-S71	81
GnotoExpt-DTT603-S338	105
GnotoExpt-DTT456-S604	14
806rcbc176-S273	76
GnotobioticExp-DTT-193-S203	103
GnotoExpt-DTT605-S340	30
806rcbc474-S379	81
GnotoExpt-FP455-S676	133
806rcbc432-S337	123
GnotoExpt-FP539-S54	96
GnotoExpt-FP558-S74	215
GnotoExpt-DTT476-S624	30
GnotoExpt-FP616-S312	140
806rcbc495-S400	62
806rcbc393-S298	93
GnotoExpt-FP453-S674	95
GnotoExpt-DTT596-S331	96
GnotoExpt-FP614-S310	127
GnotobioticExp-DTT-197-S207	155
806rcbc530-S435	89
GnotobioticExp-FP-175-S37	67
806rcbc523-S428	89
806rcbc558-S463	59
GnotoExpt-DTT451-S599	10
GnotoExpt-FP564-S80	116
GnotoExpt-DTT609-S344	91
GnotoExpt-FP536-S51	44
GnotobioticExp-DTT-178-S188	74
806rcbc454-S455	102
GnotoExpt-DTT560-S172	67
806rcbc466-S371	108
GnotoExpt-FP469-S690	72
GnotoExpt-DTT563-S175	925
GnotoExpt-FP555-S71	62
806rcbc401-S306	114
806rcbc403-S308	72
GnotobioticExp-DTT-180-S190	72
GnotoExpt-DTT608-S343	83
GnotoExpt-DTT479-S627	20
GnotoExpt-FP474-S695	70
GnotobioticExp-FP-189-S52	67
GnotoExpt-FP465-S686	83
806rcbc479-S384	80
GnotoExpt-FP570-S86	141
GnotoExpt-DTT600-S335	32
GnotoExpt-DTT615-S350	113
GnotoExpt-DTT551-S162	114
806rcbc553-S458	57
GnotoExpt-FP595-S291	134
GnotoExpt-DTT566-S178	69
GnotoExpt-FP479-S700	128
806rcbc472-S377	108
806rcbc398-S303	79
806rcbc521-S426	75
806rcbc496-S401	69
806rcbc522-S427	84
GnotoExpt-DTT473-S621	5
806rcbc400-S305	78
806rcbc566-S471	65
GnotobioticExp-DTT-186-S196	106
806rcbc427-S428	46
GnotoExpt-DTT569-S181	114
GnotoExpt-FP549-S64	46
GnotoExpt-FP464-S685	86
GnotoExpt-DTT467-S615	8
806rcbc434-S339	88
806rcbc520-S425	76
806rcbc169-S266	86
GnotoExpt-FP551-S66	111
806rcbc436-S341	62
806rcbc423-S328	68
806rcbc528-S433	142
806rcbc560-S465	57
GnotoExpt-DTT392-S538	137
GnotobioticExp-DTT-199-S209	139
GnotoExpt-DTT390-S536	135
806rcbc426-S331	83
GnotoExpt-DTT387-S533	131
GnotobioticExp-DTT-183-S193	67
806rcbc379-S513	160
806rcbc526-S431	78
GnotoExpt-FP565-S81	71
806rcbc493-S398	75
806rcbc567-S472	76
GnotobioticExp-DTT-184-S194	104
GnotoExpt-FP615-S311	133
GnotoExpt-DTT554-S165	70
GnotobioticExp-DTT-182-S192	63
GnotoExpt-DTT471-S619	23
806rcbc396-S301	79
GnotoExpt-DTT602-S337	102
806rcbc480-S385	98
GnotobioticExp-FP-186-S49	80
GnotobioticExp-DTT-185-S195	164
GnotobioticExp-FP-177-S39	62
GnotoExpt-FP548-S63	55
GnotoExpt-FP618-S314	888
GnotobioticExp-DTT-177-S187	65
806rcbc363-S498	116
806rcbc550-S455	59
806rcbc430-S335	64
GnotoExpt-FP529-S44	49
806rcbc469-S374	125
806rcbc173-S270	58
GnotoExpt-DTT612-S347	34
GnotoExpt-DTT460-S608	15
806rcbc371-S504	146
GnotoExpt-FP609-S305	136
GnotoExpt-FP557-S73	177
GnotoExpt-DTT548-S159	58
GnotoExpt-DTT598-S333	57
GnotobioticExp-DTT-207-S217	79
806rcbc465-S370	96
GnotobioticExp-FP-190-S53	55
GnotobioticExp-FP-201-S65	65
GnotoExpt-FP561-S77	73
GnotoExpt-FP602-S298	138
806rcbc427-S332	59
GnotoExpt-FP462-S683	111
GnotoExpt-FP608-S304	125
GnotoExpt-FP540-S55	447
GnotoExpt-FP466-S687	116
806rcbc428-S333	63
GnotobioticExp-DTT-204-S214	130
GnotobioticExp-FP-208-S72	92
806rcbc431-S336	79
GnotobioticExp-DTT-205-S215	115
GnotoExpt-DTT457-S605	7
GnotoExpt-DTT561-S173	57
806rcbc168-S265	81
GnotoExpt-FP600-S296	230
806rcbc488-S393	68
806rcbc171-S268	20
GnotobioticExp-FP-191-S54	53
806rcbc464-S369	98
806rcbc399-S304	102
GnotoExpt-FP545-S60	460
806rcbc444-S445	126
GnotoExpt-DTT486-S634	11
GnotoExpt-DTT601-S336	66
GnotoExpt-DTT530-S141	56
806rcbc446-S447	86
