"","Bifidobacterium","Enterorhabdus","Bacteroides","Odoribacter","Muribaculaceae (f)","Muribaculum","Alloprevotella","Paraprevotella","Prevotellaceae_UCG.001","Alistipes","Millionella","Rikenellaceae_RC9_gut_group","Parabacteroides","Tumebacillus","Lactobacillus"," (f)","Christensenellaceae (f)","Candidatus_Arthromitus","Clostridium_sensu_stricto_1","Clostridiales_vadinBB60_group (f)","Eubacterium","Family_XIII (f)","Family_XIII_UCG.001","Lachnospiraceae (f)","Acetatifactor","Anaerostipes","Blautia","Cuneatibacter","Eisenbergiella","GCA.900066575","Hungatella","Lachnoclostridium","Lachnospiraceae_FCS020_group","Lachnospiraceae_ND3007_group","Lachnospiraceae_NK4A136_group","Lachnospiraceae_UCG.001","Lachnospiraceae_UCG.004","Lachnospiraceae_UCG.006","Lachnospiraceae_UCG.010","Lactonifactor","Marvinbryantia","Roseburia","Sellimonas","Shuttleworthia","Tyzzerella","UC5.1.2E3","Peptococcaceae (f)","Romboutsia","Ruminococcaceae (f)","Anaerotruncus","Angelakisella","Butyricicoccus","Faecalibacterium","Flavonifractor","GCA.900066225","Harryflintia","Intestinimonas","Negativibacillus","Oscillibacter","Ruminiclostridium","Ruminiclostridium_5","Ruminiclostridium_9","Ruminococcaceae_UCG.003","Ruminococcaceae_UCG.004","Ruminococcaceae_UCG.005","Ruminococcaceae_UCG.009","Ruminococcaceae_UCG.010","UBA1819","Erysipelotrichaceae (f)","Candidatus_Stoquefichus","Dielma","Dubosiella","Erysipelatoclostridium","Faecalibaculum","Holdemania","Turicibacter","Phascolarctobacterium","Bilophila","Desulfovibrio","Parasutterella","Escherichia.Shigella","Klebsiella","Acinetobacter","Akkermansia"
"Mucosal",3,1,4970,23,2502,382,164,485,5,397,6,22,208,18,171,1,14,986,5,28,8,9,6,570,25,65,956,4,184,49,30,1234,2,17,753,11,5,1,1,2,72,3807,46,1,85,11,2,87,16,8,0,2,67,46,8,1,11,3,42,34,36,53,1,26,3,2,3,71,42,239,3,4,139,8,239,3077,250,313,14,4414,674,22,364,18783
"Luminal",8,3,22649,113,7303,142,1775,1542,53,864,68,975,515,67,352,10,13,50,12,276,30,34,7,1035,54,116,1003,4,31,70,21,884,26,25,5280,24,33,14,2,7,22,85,31,8,90,11,18,22,108,12,2,4,281,22,21,7,47,5,128,251,100,237,3,34,21,16,15,58,82,85,6,7,91,31,76,891,318,426,43,4681,209,252,5,46414
