feature,coef,annotation
K01872,-1.104434828,Aminoacyl-tRNA biosynthesis
K04567,-1.008094186,Aminoacyl-tRNA biosynthesis
K01867,-1.072276844,Aminoacyl-tRNA biosynthesis
K01868,-1.074273087,Aminoacyl-tRNA biosynthesis
K01869,-1.072981119,Aminoacyl-tRNA biosynthesis
K01870,-1.072574745,Aminoacyl-tRNA biosynthesis
K01873,-1.072994532,Aminoacyl-tRNA biosynthesis
K01875,-1.07232143,Aminoacyl-tRNA biosynthesis
K01876,-1.092155212,Aminoacyl-tRNA biosynthesis
K01881,-1.072982038,Aminoacyl-tRNA biosynthesis
K01883,-1.072981119,Aminoacyl-tRNA biosynthesis
K01887,-1.073019295,Aminoacyl-tRNA biosynthesis
K01889,-1.072981119,Aminoacyl-tRNA biosynthesis
K01890,-1.072981119,Aminoacyl-tRNA biosynthesis
K01892,-1.073594246,Aminoacyl-tRNA biosynthesis
K01893,-1.072386063,Aminoacyl-tRNA biosynthesis
K01866,-1.071388527,Aminoacyl-tRNA biosynthesis
K01880,-1.625635252,Aminoacyl-tRNA biosynthesis
K02433,-1.322113033,Aminoacyl-tRNA biosynthesis
K02434,-1.319991491,Aminoacyl-tRNA biosynthesis
K02435,-1.319959826,Aminoacyl-tRNA biosynthesis
K09698,-1.127785735,Aminoacyl-tRNA biosynthesis
K01886,-0.8318124834,Aminoacyl-tRNA biosynthesis
K01878,-0.8394098247,Aminoacyl-tRNA biosynthesis
K01879,-0.8394098247,Aminoacyl-tRNA biosynthesis
K09759,-1.41489083,Aminoacyl-tRNA biosynthesis
K01338,-1.322351363,Cell cycle - Caulobacter
K03588,-1.127927379,Cell cycle - Caulobacter
K03531,-1.077023174,Cell cycle - Caulobacter
K11749,-1.07089954,Cell cycle - Caulobacter
K01358,-1.09319372,Cell cycle - Caulobacter
K02651,-1.898205442,Cell cycle - Caulobacter
K03544,-1.052885487,Cell cycle - Caulobacter
K03589,-0.9192,Cell cycle - Caulobacter
K03590,-0.8610137599,Cell cycle - Caulobacter
K03111,-1.117809959,DNA replication
K02314,-1.07972057,DNA replication
K01972,-0.9971787963,DNA replication
K02316,-1.075357792,DNA replication
K03470,-1.07305318,DNA replication
K03471,-1.919528924,DNA replication
K03469,-0.9879109205,DNA replication
K00013,-1.093517109,Histidine metabolism
K00765,-1.086889565,Histidine metabolism
K02500,-1.088148775,Histidine metabolism
K02501,-1.088543811,Histidine metabolism
K01814,-1.082600066,Histidine metabolism
K01693,-1.828812366,Histidine metabolism
K00817,-1.060924757,Histidine metabolism
K02502,-1.774736172,Histidine metabolism
K01496,-2.013333443,Histidine metabolism
K04486,-1.873640335,Histidine metabolism
K01523,-1.843461257,Histidine metabolism
K11755,-0.665095189,Histidine metabolism
K01712,-1.181099909,Histidine metabolism
K01468,-1.172565895,Histidine metabolism
K01479,-1.217314364,Histidine metabolism
K00603,-1.004013937,Histidine metabolism
K01745,-0.8464346789,Histidine metabolism
K03655,-1.255791859,Homologous recombination
K03550,-1.072981119,Homologous recombination
K03551,-1.072981119,Homologous recombination
K03553,-1.072937462,Homologous recombination
K03584,-1.073240026,Homologous recombination
K04066,-1.072981119,Homologous recombination
K06187,-1.072981119,Homologous recombination
K03629,-1.058396634,Homologous recombination
K03581,-1.040818834,Homologous recombination
K02686,1.221014334,Homologous recombination
K01159,-0.6001227877,Homologous recombination
K00821,-1.307521199,Lysine biosynthesis
K01714,-1.069182197,Lysine biosynthesis
K01778,-1.121765252,Lysine biosynthesis
K01586,-1.103886105,Lysine biosynthesis
K01439,-1.137490511,Lysine biosynthesis
K00215,-1.100412535,Lysine biosynthesis
K01929,-1.07298618,Lysine biosynthesis
K10206,-1.649921601,Lysine biosynthesis
K00674,-1.013568243,Lysine biosynthesis
K01928,-1.081163015,Lysine biosynthesis
K05825,-1.46344768,Lysine biosynthesis
K05822,-1.149445634,Lysine biosynthesis
K00841,-1.134604537,Lysine biosynthesis
K05823,-1.034695608,Lysine biosynthesis
K03340,-1.315062903,Lysine biosynthesis
K00290,-0.955618687,Lysine biosynthesis
K03573,2.919838464,Mismatch repair
K03601,-1.076927606,Mismatch repair
K03602,-1.073030355,Mismatch repair
K03555,-1.069816678,Mismatch repair
K03572,-1.069816678,Mismatch repair
K07456,-1.280110736,Mismatch repair
K01141,1.221014334,Mismatch repair
K06223,-0.5599131129,Mismatch repair
K03702,-1.087110929,Nucleotide excision repair
K03703,-1.072276844,Nucleotide excision repair
K03723,-1.072937462,Nucleotide excision repair
K03657,-1.158158997,Nucleotide excision repair
K03701,-1.054780364,Nucleotide excision repair
K01934,-1.096125882,One carbon pool by folate
K01491,-1.109082692,One carbon pool by folate
K00604,-1.074876794,One carbon pool by folate
K00287,-1.048127612,One carbon pool by folate
K00297,-0.9092964461,One carbon pool by folate
K01938,-1.289102225,One carbon pool by folate
K01746,-1.335778927,One carbon pool by folate
K00615,-1.375486136,Pentose phosphate pathway
K01625,-1.308227008,Pentose phosphate pathway
K00874,-1.274030927,Pentose phosphate pathway
K08094,-2.155497969,Pentose phosphate pathway
K01808,-1.150999114,Pentose phosphate pathway
K08093,-2.203957049,Pentose phosphate pathway
K01619,-1.126643963,Pentose phosphate pathway
K01783,-0.9728729983,Pentose phosphate pathway
K01839,-1.011511633,Pentose phosphate pathway
K00948,-1.092513695,Pentose phosphate pathway
K00852,-1.099682804,Pentose phosphate pathway
K01807,-0.9609868698,Pentose phosphate pathway
K05774,2.036306363,Pentose phosphate pathway
K01690,2.082428253,Pentose phosphate pathway
K03738,-1.585744029,Pentose phosphate pathway
