"","V1"
"K00001",0.000534335470691208
"K00003",0.00068699506888834
"K00004",2.76050453313622e-06
"K00005",0.00018679133774088
"K00008",0.000495741440071194
"K00009",0.00026387309443888
"K00010",4.77011964740125e-05
"K00012",0.000861411988005275
"K00013",0.000470789912461763
"K00014",0.000674008602460284
"K00015",3.15647307692724e-06
"K00016",0.00112786024800349
"K00018",0.000352883685972662
"K00019",1.61389304072121e-06
"K00020",0.000181548763142934
"K00023",5.01814286308885e-07
"K00024",0.000215569732905983
"K00027",0.000685351666303452
"K00029",0.000152683519787302
"K00030",4.87292747736643e-05
"K00031",0.00032976851549786
"K00033",0.000412269876839955
"K00034",4.34763746968817e-06
"K00036",0.000407783400276464
"K00040",0.000154724122641388
"K00041",0.000225086638604532
"K00042",0.000117560274412091
"K00045",5.24252437041595e-06
"K00046",0.000297706167452476
"K00048",0.000390802054081341
"K00050",3.78206349251247e-05
"K00052",0.000471426112166275
"K00053",0.000470125505601408
"K00054",0.000289635460431278
"K00055",7.7979697901612e-05
"K00057",0.000797256638520193
"K00058",0.000749898452686588
"K00059",0.00171080981975365
"K00060",7.40614932897265e-05
"K00064",1.74595318955442e-05
"K00065",6.6453485917921e-05
"K00067",0.000642753390136255
"K00068",4.12269498941978e-05
"K00073",2.33039269248265e-05
"K00074",0.000289772674733381
"K00075",0.000838289551808659
"K00076",0.000123146053606199
"K00077",0.000413892471128149
"K00082",6.85485000105952e-06
"K00086",2.75032639111133e-05
"K00087",9.75601937418211e-05
"K00088",0.000821122445501942
"K00090",1.74595318955442e-05
"K00091",4.06347720062724e-06
"K00094",1.74595318955442e-05
"K00096",3.43146130572817e-05
"K00097",0.000227259165432451
"K00098",1.85716106499565e-05
"K00099",0.00051791001737498
"K00100",0.000622166127927257
"K00101",1.76143625806664e-05
"K00102",3.13159167923728e-05
"K00104",8.68622421086198e-05
"K00105",5.76716602403139e-07
"K00108",1.87848986601458e-05
"K00111",0.000628701757276872
"K00112",2.21343641903805e-05
"K00113",2.22891948755027e-05
"K00116",1.98194869119806e-05
"K00117",1.74595318955442e-05
"K00121",1.85376208638913e-05
"K00122",5.84573250671459e-08
"K00123",0.000166510363949293
"K00124",7.65363238488074e-05
"K00127",4.24592869026529e-05
"K00128",0.000307206391216514
"K00130",2.03371310979616e-05
"K00131",9.24073832492244e-07
"K00132",2.01531431807522e-06
"K00133",0.000806058250488534
"K00134",0.000855161957610681
"K00135",9.65989680165412e-05
"K00137",1.74595318955442e-05
"K00138",1.85716106499565e-05
"K00140",4.30468749685587e-06
"K00145",0.000470485088911747
"K00146",1.74595318955442e-05
"K00147",0.000659814288598681
"K00156",3.19221769479219e-05
"K00158",7.49340331054087e-05
"K00161",0.000238370007667922
"K00162",0.000238232332328318
"K00163",1.76143625806664e-05
"K00164",3.09088221306479e-05
"K00166",5.96520023032565e-06
"K00167",5.96520023032565e-06
"K00169",5.98413833845297e-05
"K00170",5.98413833845297e-05
"K00171",5.17271961075153e-05
"K00172",5.98413833845297e-05
"K00174",0.00032509576963695
"K00175",0.000325422711154074
"K00176",0.000198859405870267
"K00177",0.00020044349838687
"K00179",0.000174718127222381
"K00180",0.000174718127222381
"K00183",3.27577182935627e-08
"K00184",5.2299540872109e-05
"K00185",4.41689747359479e-05
"K00189",2.46724623601635e-06
"K00194",8.96559250424926e-06
"K00196",3.32431793415766e-05
"K00197",1.08198483343441e-05
"K00198",4.05578338672577e-05
"K00208",0.000372427496882094
"K00209",1.01772668343695e-05
"K00210",7.87877049128907e-06
"K00215",0.000803350508441475
"K00216",1.74595318955442e-05
"K00219",3.79864719101308e-05
"K00220",5.01814286308885e-07
"K00226",0.000303984549254407
"K00228",1.76143625806664e-05
"K00230",2.82176276187693e-05
"K00231",1.43085388552885e-05
"K00239",0.000153254204478815
"K00240",0.000145836736909774
"K00241",0.000123821742232354
"K00242",2.62309123486241e-05
"K00243",0.000651600071011596
"K00244",0.000474418022250844
"K00245",4.16892044453751e-05
"K00246",4.16810150158017e-05
"K00247",1.74595318955442e-05
"K00248",0.000155067224855307
"K00249",1.1040183922216e-06
"K00252",1.67235036578836e-06
"K00253",5.01814286308885e-07
"K00254",3.83521347539156e-05
"K00257",9.08792238809088e-05
"K00259",0.000197087906106837
"K00260",7.46847362612738e-06
"K00261",2.15976664717577e-05
"K00262",0.00072446861909348
"K00265",0.000139808165173581
"K00266",0.00090890960350124
"K00274",7.28621362684592e-07
"K00275",3.54526564326109e-05
"K00276",1.74595318955442e-05
"K00278",0.00035523108983283
"K00281",4.70717698063957e-05
"K00282",0.000126686838663225
"K00283",0.00012861438505011
"K00284",0.000262023970315159
"K00285",1.99503877858855e-05
"K00286",0.000791954962888079
"K00287",0.00075970238340498
"K00290",0.000179670611150382
"K00294",2.24831740914279e-05
"K00297",0.000391333569835529
"K00299",2.1248256904637e-05
"K00302",3.09661370244377e-07
"K00303",2.33196528371511e-06
"K00304",1.54830685122188e-07
"K00305",1.54830685122188e-07
"K00311",2.42936067319407e-06
"K00313",5.23867851162059e-05
"K00318",1.6492759589805e-05
"K00322",1.74595318955442e-05
"K00324",2.49397110662923e-05
"K00325",2.11996214809183e-05
"K00330",0.0001366605283914
"K00331",0.00013459530666491
"K00332",3.35420095826933e-05
"K00333",3.35420095826933e-05
"K00334",0.000263316460182066
"K00335",0.000276768971044671
"K00336",0.000330287279347471
"K00337",0.000137923342232218
"K00338",0.000135436705653164
"K00339",0.000136522853051795
"K00340",0.000134732982004514
"K00341",0.000134889780914006
"K00342",0.000136522853051795
"K00343",0.00013459530666491
"K00344",3.36546260717737e-05
"K00346",9.79490288103907e-05
"K00347",9.79490288103907e-05
"K00348",9.79490288103907e-05
"K00349",9.79490288103907e-05
"K00350",9.79490288103907e-05
"K00351",9.79490288103907e-05
"K00354",0.000193258810612994
"K00355",2.1469562901937e-06
"K00356",8.77138045307996e-06
"K00362",1.86300679750236e-05
"K00363",1.87677433146279e-05
"K00364",0.000313098910184412
"K00366",7.36393386095402e-05
"K00370",7.09881571780574e-05
"K00371",7.09881571780574e-05
"K00372",8.41663138730019e-07
"K00373",7.09296998529902e-05
"K00374",8.70954530213005e-05
"K00375",0.000330435400615037
"K00376",3.46983601186696e-07
"K00380",2.24728669601555e-05
"K00381",2.25985021889621e-05
"K00382",0.00055441086149548
"K00383",7.21082610604048e-05
"K00384",0.00167465085958003
"K00385",6.79605601598349e-06
"K00389",1.74595318955442e-05
"K00390",7.8948397168081e-05
"K00394",1.90949624358751e-05
"K00395",1.90949624358751e-05
"K00404",8.77138045307996e-06
"K00405",8.77138045307996e-06
"K00406",1.29617130828611e-06
"K00407",5.01814286308885e-07
"K00410",3.46983601186696e-07
"K00411",5.01814286308885e-07
"K00412",5.01814286308885e-07
"K00413",5.01814286308885e-07
"K00425",0.000452420796566246
"K00426",0.000452420796566246
"K00427",1.74595318955442e-05
"K00428",4.69995777030246e-05
"K00432",0.00011123114406803
"K00433",1.03401102790351e-05
"K00437",1.61072958432431e-05
"K00450",3.41448102694277e-06
"K00451",1.37675339604303e-07
"K00457",1.37675339604303e-07
"K00459",1.11122943578061e-05
"K00483",1.7022091349375e-06
"K00491",1.18941893695693e-06
"K00507",4.78712513535191e-06
"K00523",8.11418727701439e-06
"K00525",0.000614661453284126
"K00526",0.000424829227164726
"K00527",0.00117164334780322
"K00528",0.000500019058954658
"K00529",1.76143625806664e-05
"K00532",6.73091724680561e-06
"K00533",6.96272233072275e-05
"K00534",1.40048918042238e-06
"K00537",0.000693580437645116
"K00547",0.00029480970263248
"K00548",0.000493943019913912
"K00549",4.11602349125524e-05
"K00554",0.000806777144369172
"K00556",4.61884924701834e-05
"K00557",0.000206269471050834
"K00558",0.000942207369423781
"K00560",0.000705079710724611
"K00561",1.63551134391232e-06
"K00563",0.000362786497422931
"K00564",0.000362222504980591
"K00566",0.000889860466649244
"K00567",0.000747827310661964
"K00568",1.96366664941371e-05
"K00570",1.54830685122188e-07
"K00571",0.00096271166661274
"K00573",4.61006524848841e-05
"K00574",0.000347139173380334
"K00575",0.00035775342219293
"K00588",1.48722731772356e-06
"K00595",0.000285171107024573
"K00598",1.91564089564428e-05
"K00600",0.000828195030926393
"K00602",0.000759333371567827
"K00603",3.9317897866602e-05
"K00604",0.000830415021285928
"K00605",0.000155377011130386
"K00606",0.000201313967442345
"K00609",0.000864663585269339
"K00610",0.000339098204522068
"K00611",0.000463739809962529
"K00612",1.37675339604303e-07
"K00613",1.63788591467813e-08
"K00615",0.00145350636844472
"K00616",0.000286184956995192
"K00619",2.62500006975865e-05
"K00620",0.000365682083346716
"K00625",0.000740258669516178
"K00626",0.000460925917226117
"K00627",0.000271190430008414
"K00631",1.74595318955442e-05
"K00632",3.75423293759357e-05
"K00633",0.000365010847982909
"K00634",9.32564338984261e-05
"K00638",2.48646772307574e-05
"K00639",0.000105263072959524
"K00640",0.000575322182083753
"K00641",2.36868622878537e-05
"K00643",5.01814286308885e-07
"K00645",0.000512360881964785
"K00647",1.99340002916967e-05
"K00648",0.000790749583608803
"K00651",0.000630220014824297
"K00652",0.000225144127756536
"K00655",0.000960110554404238
"K00656",0.00101793500904061
"K00657",0.000231262251062575
"K00658",4.97596115729022e-05
"K00661",0.00104805684994666
"K00662",0.000156026549288654
"K00666",9.31402502655209e-05
"K00673",1.74595318955442e-05
"K00674",0.000158871002740341
"K00675",2.39260699162396e-05
"K00677",0.000224917796853244
"K00680",0.00047533129328194
"K00681",8.65072288758281e-05
"K00683",2.71183737324202e-06
"K00684",5.52301920773313e-05
"K00685",9.4103585853005e-06
