feature,coef,annotation
K00216,2.561638029,Biosynthesis of siderophore group nonribosomal peptides
K01252,2.561638029,Biosynthesis of siderophore group nonribosomal peptides
K02363,2.561638029,Biosynthesis of siderophore group nonribosomal peptides
K02364,2.561638029,Biosynthesis of siderophore group nonribosomal peptides
K04781,2.561638029,Biosynthesis of siderophore group nonribosomal peptides
K04783,2.561638029,Biosynthesis of siderophore group nonribosomal peptides
K04785,2.561638029,Biosynthesis of siderophore group nonribosomal peptides
K04786,2.561638029,Biosynthesis of siderophore group nonribosomal peptides
K04784,2.6196,Biosynthesis of siderophore group nonribosomal peptides
K03111,-0.8064919557,DNA replication
K03471,-1.515663869,DNA replication
K02314,-0.7840205738,DNA replication
K02316,-0.7748383071,DNA replication
K03470,-0.7679994729,DNA replication
K01972,-0.6774527774,DNA replication
K03469,-0.6576878058,DNA replication
K02317,2.561638029,Homologous recombination
K03583,2.561638029,Homologous recombination
K04067,2.561638029,Homologous recombination
K03655,-0.9915363188,Homologous recombination
K03550,-0.7687145315,Homologous recombination
K03551,-0.7687145315,Homologous recombination
K03553,-0.7686789974,Homologous recombination
K03584,-0.7689778558,Homologous recombination
K04066,-0.7687145315,Homologous recombination
K06187,-0.7687145315,Homologous recombination
K03629,-0.7482687759,Homologous recombination
K01159,-0.686047233,Homologous recombination
K03581,-0.6792721943,Homologous recombination
K03582,0.6390362378,Homologous recombination
K03573,2.630072486,Mismatch repair
K10857,2.561638029,Mismatch repair
K03602,-0.768776821,Mismatch repair
K03555,-0.765576732,Mismatch repair
K03572,-0.765576732,Mismatch repair
K03601,-0.7652183366,Mismatch repair
K07456,-1.073619905,Mismatch repair
K03702,-0.7792711492,Nucleotide excision repair
K03703,-0.7678209283,Nucleotide excision repair
K03723,-0.7687605362,Nucleotide excision repair
K03701,-0.758645443,Nucleotide excision repair
K03657,-0.8427544625,Nucleotide excision repair
K12973,2.561638029,Pertussis
K07345,2.86262468,Pertussis
K07347,2.964705337,Pertussis
K00146,2.561638029,Phenylalanine metabolism
K02554,2.561638029,Phenylalanine metabolism
K02609,2.561638029,Phenylalanine metabolism
K02610,2.561638029,Phenylalanine metabolism
K02611,2.561638029,Phenylalanine metabolism
K02612,2.561638029,Phenylalanine metabolism
K02613,2.561638029,Phenylalanine metabolism
K02615,2.561638029,Phenylalanine metabolism
K02618,2.561638029,Phenylalanine metabolism
K04073,2.561638029,Phenylalanine metabolism
K05708,2.561638029,Phenylalanine metabolism
K05709,2.561638029,Phenylalanine metabolism
K05710,2.561638029,Phenylalanine metabolism
K05711,2.561638029,Phenylalanine metabolism
K05712,2.561638029,Phenylalanine metabolism
K05713,2.561638029,Phenylalanine metabolism
K05714,2.561638029,Phenylalanine metabolism
K00074,-0.9167837845,Phenylalanine metabolism
K02614,-0.9419219894,Phenylalanine metabolism
K03782,1.775112415,Phenylalanine metabolism
K01912,-0.9411403537,Phenylalanine metabolism
K01451,-1.726099624,Phenylalanine metabolism
K00285,1.361911646,Phenylalanine metabolism
K10797,-1.36114405,Phenylalanine metabolism
K01666,0.5578086648,Phenylalanine metabolism
K05887,2.561638029,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K14170,-1.019410393,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K14187,2.561638029,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K03785,-0.8018680744,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K04517,-1.57852698,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01736,-0.9098516635,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00800,-0.9097538087,"Phenylalanine, tyrosine and tryptophan biosynthesis"
