feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota	k__Bacteria.p__Verrucomicrobiota
Vil1.08B.DTT95	845	31	23	17635	0	0	1	22
Vil1.01B.DTT10	20684	3068	290	487	16	4	1	1
Itg.26.DTT542.S38	46212	7885	1013	419	16	20	1	0
Vil1.05B.DTT55	283	9	0	25286	0	0	1	50
Itg.18.DTT493.S88	46066	16301	1874	340	119	98	2	0
Vil1.013B.DTT153	8045	12029	244	4898	0	61	1	797
Vil1.01B.DTT08	6138	1974	279	132	4	9	2	0
Lyz2.05B.DTT256.S97	28661	4112	1424	204	20	54	1	0
Itg.04.DTT421.S13	59915	13445	685	258	55	208	1	0
Itg.18.DTT495.S90	33506	6167	1274	672	73	37	1074	0
Lyz2.04B.DTT248.S89	31451	4503	234	5815	28	13	1	142
Vil1.014B.DTT165	23589	6863	481	1727	171	71	1	181
Vil1.010B.DTT118	7810	1228	241	16417	20	74	1	66
Lyz2.08B.DTT292.S134	15827	2763	294	277	20	45	7	0
Itg.20.DTT507.S2	24944	4446	529	323	28	35	474	0
Itg.12.DTT471.S65	21944	8392	295	169	41	21	1	0
Lyz2.03B.DTT235.S75	44450	12852	127	272	15	2	1	0
Vil1.06B.DTT69	1815	635	94	26969	8	20	1	56
Vil1.08B.DTT92	3896	450	125	15323	7	15	1	42
Lyz2.05B.DTT258.S99	26880	19027	2113	732	78	6	1	0
Itg.10.DTT459.S53	49411	4314	168	187	35	12	1	33
Itg.08.DTT447.S40	44382	13887	962	606	77	24	4	90
Vil1.09B.DTT107	5433	735	83	19526	23	6	1	39
Itg.10.DTT457.S51	18991	3113	278	75	18	35	8	0
Lyz2.06B.DTT267.S108	26259	4812	599	151	29	118	1	0
Vil1.01B.DTT12	24566	3317	296	847	12	0	1	43
Vil1.013B.DTT156	25093	4451	114	7385	2	17	1	700
Vil1.07B.DTT84	255	36	13	10722	3	0	0	16
Itg.16.DTT479.S73	41040	14945	692	1030	283	34	166876	69
Lyz2.05B.DTT257.S98	31482	7058	938	261	24	49	1	0
Vil1.014B.DTT167	19364	1172	186	820	68	19	2	51
Itg.26.DTT544.S40	35201	13782	987	529	31	27	1	39
Itg.04.DTT422.S14	79559	6208	521	255	38	105	1	0
Vil1.08B.DTT93	3639	843	170	17461	8	32	1	0
Lyz2.08B.DTT295.S137	7146	3582	161	143	7	4	1	14
Itg.06.DTT435.S28	62759	13274	655	469	76	10	1	35
