#OTU ID,Mouse4A.DTT19,Mouse6A.FP31,Mouse1A.FP01,Mouse2A.FP07,Mouse3A.FP13,Mouse6A.DTT31,Mouse1B.DTT13,Mouse5A.FP25,Mouse5A.DTT25,Mouse7A.FP37,Mouse7A.DTT37,Mouse4A.FP19,Mouse10A.DTT109,Mouse10A.FP109,Mouse9A.DTT97,Mouse9A.FP97,Mouse8A.FP85,Mouse8A.DTT85,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,3,10,3,77,25,50,75,714,2,638,121,96,148,0,91,255,102,102,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,0,0,0,0,0,8,5,6,0,0,0,0,32,0,3,0,0,2,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,4,12,12,59,113,0,3,43,0,22,3,143,18,13,7,0,6,14,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,0,0,0,2,0,6,0,3,2,9,0,0,0,0,0,4,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,1983,5585,2778,3317,3427,5489,3182,4297,1403,2195,1845,2162,2850,7597,2694,4635,2625,4286,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,104,40,172,0,0,95,19,36,46,33,44,79,13,33,25,37,30,15,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,11010,9470,6033,13944,9922,11542,11197,16620,8581,12816,16741,5401,7852,15794,5809,28154,5879,14161,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,1380,1065,631,2279,1719,826,942,2523,1297,2547,1362,959,941,2646,870,1626,426,1469,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,11896,4665,115,3858,3975,5604,2883,4904,3840,5435,4270,7664,5303,15424,5727,2034,1730,8465,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,3289,3236,1292,10992,7978,4806,15065,1897,3774,3248,5898,815,6117,12935,6167,12652,3109,8111,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,951,361,1077,788,215,430,713,353,324,231,224,2649,402,632,577,1594,739,391,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella,166,84,169,62,29,49,117,54,43,23,16,339,67,106,50,89,57,50,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,113,319,75,280,114,593,169,107,71,95,133,58,208,164,108,204,175,174,
