#OTU ID,Mouse1B.DTT15,Mouse5A.DTT27,Mouse1A.FP03,Mouse3A.FP15,Mouse2A.FP09,Mouse7A.FP39,Mouse4A.DTT21,Mouse4A.FP21,Mouse7A.DTT39,Mouse6A.DTT33,Mouse6A.FP33,Mouse5A.FP27,Mouse9A.DTT99,Mouse10A.FP111,Mouse10A.DTT111,Mouse8A.FP87,Mouse9A.FP99,Mouse8A.DTT87,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,45,24,349,282,790,116,13,30,210,31,30,225,179,0,10,410,260,40,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,0,0,0,0,3,0,0,0,0,0,0,16,7,0,0,2,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,4,3,201,167,245,49,7,139,3,2,71,234,0,38,7,26,45,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,73,5,11,8,0,3,2,0,4,13,0,0,0,4,12,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,2987,2051,11197,5420,1970,1742,696,2199,2418,2497,4880,21,1870,4938,4389,3846,3946,942,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,89,147,0,0,35,42,29,77,44,59,0,33,17,18,15,32,9,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,11029,13168,9593,13245,11535,7912,4286,4977,14487,5975,9576,12183,12307,12426,8883,14307,18570,2921,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,958,1798,1356,1762,1918,1462,1202,1325,1992,891,1268,1540,1746,2657,1250,1411,1693,189,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,3879,5176,166,5608,2985,7310,5710,9393,4354,3548,9256,34,810,11748,10667,3450,1406,1502,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,14755,2981,647,9574,244,205,376,1594,1868,5075,2170,22,4352,4170,8951,4045,3729,4454,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,646,599,2155,674,1370,317,474,673,307,223,456,4,666,718,478,539,1669,190,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella,69,87,222,86,123,23,51,46,62,111,64,0,64,117,98,59,105,31,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,164,107,58,159,34,31,55,57,224,266,63,0,65,159,107,306,200,54,
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,42,31,0,11,21,0,59,12,52,88,10,0,53,29,86,10,57,5,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,0,0,0,0,0,0,0,2,0,0,0,9,0,0,7,0,0,0,
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,14168,23538,358,112,449,666,15610,911,12330,15287,359,18,23273,149,2048,642,1023,42118,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,0,126,0,0,0,0,31,0,461,637,0,0,9,0,0,0,0,14,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0,0,148,7,0,0,0,0,4,0,3,7,0,0,0,0,2,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,457,415,1153,6145,1065,335,1064,1530,439,730,353,15055,924,8919,1807,49,147,128,
