#OTU ID,Mouse5A.FP26,Mouse6A.FP32,Mouse7A.FP38,Mouse1A.FP02,Mouse7A.DTT38,Mouse1B.DTT14,Mouse4A.FP20,Mouse5A.DTT26,Mouse3A.FP14,Mouse2A.FP08,Mouse4A.DTT20,Mouse6A.DTT32,Mouse9A.DTT98,Mouse10A.FP110,Mouse10A.DTT110,Mouse9A.FP98,Mouse8A.DTT86,Mouse8A.FP86,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,270,24,173,6,33,136,26,40,172,626,10,23,90,0,0,250,45,83,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,6,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,190,16,33,57,0,6,98,0,114,84,2,2,0,0,7,0,7,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,10,0,2,0,0,2,6,2,3,2,2,2,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,6265,5088,2408,4019,1364,1847,1737,2997,4504,3193,987,2033,3000,2793,3923,3610,2210,3030,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,43,63,40,395,37,0,22,117,0,0,43,66,71,8,27,30,15,15,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,8446,8623,9789,8488,9599,8669,5454,19249,10329,12002,6252,6821,11606,6779,10168,21940,8978,12847,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,1651,1055,1352,894,1269,732,1407,1630,1514,1902,1119,653,3766,992,1998,1584,883,924,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,8846,6934,4841,0,2142,2599,6615,9214,4944,3287,6557,3496,789,8935,10234,1425,3431,4493,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,182,10574,2274,1522,4199,14126,2580,7842,9357,5920,2267,6689,6563,5988,8101,10813,9598,10275,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,807,295,216,1189,148,640,711,466,409,501,555,262,2147,397,681,1149,337,390,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella,33,34,25,221,43,159,33,82,53,77,81,84,185,60,102,67,51,35,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,77,428,121,166,60,104,77,176,142,151,44,152,171,89,98,185,185,171,
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,0,28,17,0,79,100,11,25,11,122,68,118,96,62,98,51,1,9,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,0,5,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,133,126,226,1583,767,6329,1029,922,56,138,9478,1753,881,23,3058,163,521,958,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,0,0,0,0,180,0,0,464,0,0,76,1143,22,0,5,0,17,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0,0,0,4,0,0,0,0,2,2,0,0,3,0,5,4,10,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,2096,1118,1506,2001,207,650,2993,377,4754,1976,702,642,1486,6208,1232,387,242,25,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0,0,0,0,2,8,0,0,0,0,5,0,9,0,6,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0,15,28,2,0,0,4,8,7,17,2,0,2,13,6,12,4,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,6,32,25,22,9,69,22,11,17,49,7,3,241,3,13,23,93,107,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,0,0,19,10,13,2,0,0,11,9,0,10,117,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,14,31,12,28,13,44,21,62,24,17,14,42,59,12,12,31,22,50,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_AD3011_group,0,6,0,3,0,4,0,5,5,3,0,0,5,4,2,5,0,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,25,10,34,48,43,40,45,30,20,19,70,11,246,5,4,19,9,50,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,820,1053,1349,2232,1889,1893,2974,1678,570,1091,2119,1045,6732,517,1438,1881,790,1105,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,12,39,50,48,19,77,50,24,33,79,44,29,821,5,3,31,53,355,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,12,29,46,303,59,11,13,7,5,8,33,33,36,54,2,6,0,1,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,20,241,284,646,228,376,194,187,85,191,120,194,454,87,76,204,129,304,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,15,21,24,66,20,56,26,25,19,32,19,11,160,11,19,28,37,88,
