#OTU ID,Mouse1B.DTT15,Mouse5A.FP26,Mouse6A.FP32,Mouse7A.FP38,Mouse1A.FP02,Mouse5A.DTT27,Mouse4A.DTT19,Mouse6A.FP31,Mouse1A.FP03,Mouse1A.FP01,Mouse7A.DTT38,Mouse2A.FP07,Mouse3A.FP13,Mouse6A.DTT31,Mouse1B.DTT14,Mouse3A.FP15,Mouse4A.FP20,Mouse1B.DTT13,Mouse2A.FP09,Mouse5A.DTT26,Mouse5A.FP25,Mouse7A.FP39,Mouse4A.DTT21,Mouse3A.FP14,Mouse4A.FP21,Mouse2A.FP08,Mouse5A.DTT25,Mouse7A.DTT39,Mouse4A.DTT20,Mouse6A.DTT32,Mouse6A.DTT33,Mouse7A.FP37,Mouse7A.DTT37,Mouse6A.FP33,Mouse4A.FP19,Mouse5A.FP27,Mouse9A.DTT98,Mouse10A.DTT109,Mouse10A.FP110,Mouse10A.FP109,Mouse10A.DTT110,Mouse9A.DTT99,Mouse9A.DTT97,Mouse10A.FP111,Mouse9A.FP97,Mouse9A.FP98,Mouse10A.DTT111,Mouse8A.FP87,Mouse8A.FP85,Mouse8A.DTT85,Mouse8A.DTT86,Mouse8A.FP86,Mouse9A.FP99,Mouse8A.DTT87,taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,1455,820,1053,1349,2232,2268,2607,644,973,2346,1889,756,662,1810,1893,748,2974,1183,1673,1678,112,1536,2071,570,4114,1091,1745,2282,2119,1045,835,316,652,1099,2865,6,6732,1094,517,736,1438,2790,2356,1531,2249,1881,1803,1658,1313,2126,790,1105,4879,545,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,31,12,39,50,48,32,15,31,0,55,19,41,67,35,77,42,50,18,78,24,3,39,38,33,78,79,27,17,44,29,11,11,6,8,58,0,821,124,5,2,3,32,148,56,15,31,2,1023,662,13,53,355,2585,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,15,12,29,46,303,11,12,8,76,294,59,4,7,31,11,5,13,15,0,7,10,27,17,5,9,8,19,48,33,33,14,10,22,3,5,0,36,45,54,11,2,8,28,6,12,6,2,0,0,3,0,1,26,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,193,20,241,284,646,270,189,219,142,867,228,114,135,190,376,91,194,246,165,187,0,290,95,85,141,191,181,280,120,194,131,54,85,241,158,0,454,91,87,97,76,168,211,190,319,204,222,163,129,181,129,304,344,85,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,45,15,21,24,66,36,37,17,0,69,20,30,42,37,56,23,26,12,121,25,5,58,12,19,63,32,22,28,19,11,7,8,13,38,52,0,160,20,11,61,19,46,65,20,45,28,48,57,57,49,37,88,41,30,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,251,356,457,344,888,299,200,177,963,536,284,145,115,302,383,239,222,209,410,241,73,661,144,156,420,185,278,275,229,247,196,82,73,832,266,84,1132,158,43,58,136,372,294,322,302,228,158,611,146,155,54,183,877,63,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,87,4,68,121,108,160,57,32,0,60,63,7,33,11,98,12,158,35,40,87,0,79,26,18,191,84,121,110,17,17,38,22,6,67,109,0,124,26,10,30,28,17,39,42,15,9,23,63,41,58,34,25,107,6,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,2140,262,943,722,2603,942,1485,820,684,3630,2009,551,765,2232,3445,508,1342,1367,2171,935,42,874,958,398,1850,1186,1288,1233,1455,2168,787,275,351,933,1118,0,8167,1138,294,347,630,2847,4482,972,3050,2489,1154,3291,5198,4125,3632,7849,3807,5720,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,2347,23,3359,2194,9433,833,162,2129,1570,2875,4976,1273,246,3415,1564,341,93,1495,755,809,6,1575,126,264,68,1634,8854,2415,879,5445,3354,159,415,843,18,8,17254,488,10,30,65,12664,2605,57,5143,3007,26,7771,4512,1589,2461,5656,18572,1852,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,19,11,9,4,27,0,9,9,20,44,5,10,12,40,36,21,8,14,36,7,3,9,5,15,30,15,7,12,12,12,10,0,6,25,22,0,61,6,2,5,5,31,11,5,33,23,6,23,5,30,28,19,66,12,
