#OTU ID,Mouse1B.DTT15,Mouse5A.FP26,Mouse6A.FP32,Mouse7A.FP38,Mouse1A.FP02,Mouse5A.DTT27,Mouse4A.DTT19,Mouse6A.FP31,Mouse1A.FP03,Mouse1A.FP01,Mouse7A.DTT38,Mouse2A.FP07,Mouse3A.FP13,Mouse6A.DTT31,Mouse1B.DTT14,Mouse3A.FP15,Mouse4A.FP20,Mouse1B.DTT13,Mouse2A.FP09,Mouse5A.DTT26,Mouse5A.FP25,Mouse7A.FP39,Mouse4A.DTT21,Mouse3A.FP14,Mouse4A.FP21,Mouse2A.FP08,Mouse5A.DTT25,Mouse7A.DTT39,Mouse4A.DTT20,Mouse6A.DTT32,Mouse6A.DTT33,Mouse7A.FP37,Mouse7A.DTT37,Mouse6A.FP33,Mouse4A.FP19,Mouse5A.FP27,Mouse9A.DTT98,Mouse10A.DTT109,Mouse10A.FP110,Mouse10A.FP109,Mouse10A.DTT110,Mouse9A.DTT99,Mouse9A.DTT97,Mouse10A.FP111,Mouse9A.FP97,Mouse9A.FP98,Mouse10A.DTT111,Mouse8A.FP87,Mouse8A.FP85,Mouse8A.DTT85,Mouse8A.DTT86,Mouse8A.FP86,Mouse9A.FP99,Mouse8A.DTT87,taxonomy
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella,1,2756,3,144,0,26,57,3,0,1,128,91,1,573,45,2,1809,2,728,148,516,6633,65,1,1605,126,12,649,59,96,123,1228,836,74,5938,265,0,15,0,0,0,0,9,0,0,0,0,157,105,110,101,81,0,82,
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,49,364,210,417,13,56,11,86,441,6,438,70,60,1091,178,184,25,32,108,192,215,672,10,93,45,81,23,966,22,399,649,588,1399,208,61,320,92,649,13,27,24,31,80,25,35,0,20,133,67,155,174,137,37,62,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__,0,0,25,2,0,2,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,4,22,0,0,0,0,0,7,2,0,3,66,0,0,0,0,0,0,0,0,35,0,31,8,0,0,0,0,0,0,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__,98,84,18,36,42,18,42,57,19,51,7,11,20,61,77,31,79,31,249,20,4,77,49,28,49,48,14,69,32,44,88,0,0,141,97,0,206,25,3,3,14,94,113,19,20,15,22,182,96,142,113,74,171,95,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,386,141,209,81,265,254,29,245,104,269,69,11,104,611,300,112,27,182,69,99,8,221,50,65,60,62,92,276,35,375,668,17,16,987,47,22,370,63,24,18,43,150,139,116,17,21,91,695,300,341,120,209,353,247,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,91,78,91,154,64,38,41,97,366,85,94,97,65,113,170,238,112,58,901,37,5,394,26,104,285,319,18,155,48,49,69,47,23,281,237,23,311,46,14,7,15,194,101,78,535,189,38,94,52,182,45,59,75,73,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella,499,2366,586,1044,236,525,430,581,305,67,426,979,461,614,295,589,440,562,1655,891,896,1567,140,421,497,1589,212,748,134,212,200,1179,1214,1235,669,1397,387,454,300,706,588,309,308,345,456,524,443,801,514,759,775,990,328,352,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella,9,18,8,6,8,26,13,4,1214,13,13,13,7,13,9,38,9,22,19,27,10,12,11,10,9,14,8,43,13,47,22,12,27,7,7,27,87,608,0,0,4,50,103,3,0,3,2,0,2,86,45,0,2,11,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__,0,0,2,3,0,0,0,0,0,2,8,0,0,42,21,0,0,21,0,0,0,0,0,0,0,7,0,16,0,15,7,0,0,0,0,0,90,9,0,0,0,60,203,0,8,3,0,981,1296,59,89,191,558,90,
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,9,3,4,3,0,11,7,3,1054,5,8,5,0,213,115,14,4,351,0,4,4,4,7,3,0,3,10,9,10,12,30,6,43,5,0,3,80,779,0,3,8,12,105,0,0,0,0,0,0,157,13,0,0,4,
