#OTU ID,Mouse5A.FP28,Mouse3A.FP16,Mouse7A.FP40,Mouse5A.DTT28,Mouse4A.FP22,Mouse4A.DTT22,Mouse1B.DTT16,Mouse1A.FP04,Mouse2A.FP10,Mouse6A.DTT34,Mouse6A.FP34,Mouse7A.DTT40,Mouse9A.DTT100,Mouse10A.DTT112,Mouse10A.FP112,Mouse8A.DTT88,Mouse9A.FP100,Mouse8A.FP88,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,1234,74,565,24,12,8,181,27,207,3,8,64,274,0,0,250,1172,2776,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,17,0,29,0,0,0,0,0,23,0,0,0,1,6,0,2,1,9,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,430,215,174,4,47,2,5,177,369,0,37,0,28,37,254,11,34,98,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,1,0,9,0,1,3,1,3,2,0,3,3,0,4,9,7,27,13,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,0,247,178,105,0,10,156,110,28,17,38,111,7,558,1953,53,16,45,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,0,6,15,0,0,0,7,0,0,4,0,2,7,21,0,1,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,19156,15301,15553,24895,3116,7977,13567,18490,24936,9469,20730,14976,62999,21136,24263,18372,89351,37058,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,2235,2031,1983,1810,522,1132,1925,1619,2616,202,851,1894,4189,3908,4384,645,5355,1951,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,9,269,294,759,0,21,170,113,39,15,86,212,1,1481,6228,20,4,28,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,32,656,476,246,10,8,1470,32,228,16,62,237,24,1327,2732,202,28,154,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,0,22,34,50,0,0,45,8,27,3,26,28,19,88,323,15,41,32,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella,4,0,13,15,0,0,8,4,30,0,8,5,5,28,67,0,9,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,0,13,8,8,0,0,14,0,0,3,2,11,11,18,65,0,5,7,
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,0,4,0,7,0,0,6,0,0,0,0,3,0,10,30,0,0,0,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,21,29,69,0,9,11,2,163,17,0,34,0,0,0,0,0,47,65,
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,0,8,130,1072,7,10,191,0,24,40,15,195,51,162,572,113,6,7,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,0,0,0,59,0,43,0,0,0,80,0,198,7,22,0,17,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,8,0,0,5,3,3,0,6,0,3,0,0,9,0,0,0,3,0,
