#OTU ID,Mouse5A.DTT29,Mouse6A.DTT35,Mouse1A.FP05,Mouse3A.FP17,Mouse2A.FP11,Mouse4A.FP23,Mouse6A.FP35,Mouse7A.DTT41,Mouse7A.FP41,Mouse5A.FP29,Mouse1B.DTT17,Mouse4A.DTT23,Mouse9A.DTT101,Mouse10A.DTT113,Mouse10A.FP113,Mouse9A.FP101,Mouse8A.DTT89,Mouse8A.FP89,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,225,63,16,3,418,6,300,294,223,633,19,36,336,0,18,3098,315,2280,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,3,0,0,0,17,0,0,0,6,13,0,0,0,0,2,0,4,8,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,2,0,91,13,513,52,98,0,281,387,0,0,11,122,1214,18,24,76,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,2,0,9,0,3,4,3,0,4,43,2,0,5,0,39,14,6,11,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,37,51,314,168,5,5,276,0,26,4338,343,13,17,40,4,28,19,563,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,7,8,0,0,0,11,0,6,71,0,5,2,1,1,5,2,4,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,25504,19629,18744,4977,30984,3939,24644,15954,17582,10074,3857,13063,44888,32168,58625,84332,45953,51409,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,1900,928,1761,855,3702,552,1490,1557,2348,1437,448,1537,2475,3119,3926,5733,1651,3358,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,73,61,10,139,24,10,105,33,56,6602,490,65,5,45,30,20,10,476,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,35,174,153,906,106,4,321,23,64,219,2855,25,15,65,18,29,19,541,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,3,38,13,98,34,0,87,5,6,1458,148,5,43,9,3,106,6,74,
