OTU.ID	Mouse9A.DTT98	Mouse5A.DTT29	Mouse5A.FP28	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse10A.DTT109	Mouse9A.DTT100	Mouse10A.FP110	Mouse9A.DTT101	Mouse3A.FP16	Mouse5A.FP26	Mouse7A.FP40	Mouse1A.FP05	Mouse6A.FP32	Mouse10A.FP109	Mouse3A.FP17	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse7A.FP38	Mouse1A.FP02	Mouse5A.DTT27	Mouse10A.FP111	Mouse8A.DTT90	Mouse2A.FP11	Mouse3A.FP18	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse9A.FP97	Mouse9A.FP98	Mouse6A.FP31	Mouse10A.DTT111	Mouse4A.FP22	Mouse1A.FP03	Mouse10A.DTT113	Mouse4A.FP23	Mouse1A.FP01	Mouse6A.FP35	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse8A.FP87	Mouse2A.FP07	Mouse3A.FP13	Mouse9A.DTT102	Mouse10A.DTT112	Mouse1A.FP06	Mouse8A.FP85	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1A.FP04	Mouse10A.DTT114	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse10A.FP113	Mouse9A.FP102	Mouse1B.DTT14	Mouse8A.DTT85	Mouse3A.FP15	Mouse8A.DTT86	Mouse9A.FP101	Mouse10A.FP112	Mouse4A.FP20	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse2A.FP09	Mouse5A.DTT26	Mouse5A.FP25	Mouse5A.FP30	Mouse7A.FP39	Mouse4A.FP24	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse8A.FP90	Mouse10A.FP114	Mouse3A.FP14	Mouse4A.FP21	Mouse8A.FP86	Mouse8A.DTT88	Mouse9A.FP99	Mouse2A.FP08	Mouse5A.DTT25	Mouse7A.DTT39	Mouse8A.DTT89	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.FP37	Mouse7A.DTT37	Mouse6A.FP33	Mouse4A.FP19	Mouse8A.FP89	Mouse8A.DTT87	Mouse7A.DTT40	Mouse9A.FP100	Mouse5A.FP27	Mouse8A.FP88	taxonomy
56b22d768a1396ed9e442d54a5ea4dbd	12010	22	20	137	12150	877	9791	60	8768	34	529	104	398	121	9069	18656	763	12701	7405	11109	1771	1125	2295	6083	127	74	736	2482	22	184	19256	16640	2649	13097	5	479	117	2	971	269	3260	14	4	6229	9055	6475	140	1909	0	5087	3716	127	1222	20	1616	149	167	62	47	38	120	11044	13712	8051	15884	64	3764	2028	12073	10	177	44	15	143	6211	1473	60	133	0	242	25	2542	45	86	7557	1277	15969	349	5905	4603	2902	1388	44	1633	5387	4175	11	15	2634	4725	1772	576	841	7515	182	66	10	275	NA
176fde83ff318105cb14faba38553161	7674	54	4	52	1227	107	336	23	13	25	8	9	101	87	3380	35	26	37	5418	1550	2045	9425	672	37	131	4	14	5	50	29	2399	1618	2113	15	0	1418	2	0	2691	42	4912	8	0	3422	928	98	8	5	40	2082	3306	100	54	93	49	3	7	13	12	2	70	723	1139	140	1657	151	35	10	930	2	10	18	11	512	596	2	25	1567	0	10	4	529	84	9	103	12	2991	70	7020	1175	8856	2154	38	24	5257	3160	19	14	117	319	793	3	882	1299	404	70	2	83	NA
2743127cd8d1e4ad474b21e83ea2a7b1	6151	19	8	14	1296	313	906	24	466	20	43	132	259	39	520	557	62	953	2247	4603	357	1379	536	1255	92	3	159	791	23	171	1555	1629	500	1453	0	412	40	0	2243	70	1349	4	3	1106	145	413	43	269	8	1940	1549	96	110	50	258	4	9	19	40	264	312	2071	2783	236	2616	321	2521	592	733	2	124	14	18	549	497	15	13	411	0	506	30	423	26	153	178	871	2978	31	1850	393	745	738	12	751	1627	445	4	7	119	157	541	505	367	3024	76	100	0	23	NA
c6dfd83f025371f4cd24d6df5f893865	3708	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	NA
6f2414f3216c719e8f1a44de9f625c94	3216	6	0	6	1194	110	2827	12	2462	8	91	3937	61	158	1956	6340	48	3408	2164	2681	1064	2008	919	4527	52	0	55	1158	2	47	4444	3424	2199	3748	0	8258	41	0	1267	55	505	0	2	3055	1790	1268	17	363	2	2000	1733	12	53	43	337	4	6	0	4	10	28	582	3201	2095	1775	11	1225	965	997	2	4272	5	0	698	1513	2343	6	627	0	324	26	162	20	39	1749	1291	2707	41	4068	1966	584	1081	20	501	673	882	5	2	847	600	1854	1336	400	1074	47	26	0	41	NA
3fe9790738f377c6701b62ec0dadf5ac	3106	23	2	7	0	0	0	12	0	5	0	3	43	21	998	0	5	16	2139	586	702	2774	214	0	43	3	4	0	7	12	946	645	633	1	0	511	0	0	845	14	1496	3	0	0	269	0	4	0	8	0	1062	42	0	17	0	3	2	6	0	0	22	0	0	0	0	47	0	0	44	2	3	4	3	150	233	0	10	445	0	0	0	0	0	2	0	0	0	3	2526	348	2527	759	1	0	1764	1052	7	7	36	133	241	0	0	0	141	25	2	0	NA
e8ea78072f153085f53e28ae19c82705	2816	12	0	8	444	136	655	30	155	45	44	13	56	0	593	448	30	520	1214	1352	1269	94	91	2230	302	2	15	372	4	153	336	471	543	562	0	131	129	0	112	7	235	4	2	2569	160	535	35	440	0	2844	485	17	17	0	1057	3	2	3	8	142	73	525	1908	293	1991	103	2405	1389	182	0	2	8	0	211	187	27	8	303	2	354	42	224	25	553	189	661	1037	58	3378	871	193	492	30	773	336	176	0	7	190	40	222	308	529	958	60	55	0	37	NA
d372b6450fe1d69ae6cb673dfafdce6d	2471	0	0	19	220	17	656	13	424	52	3	35	7	0	29	902	50	1060	1145	841	24	306	152	1073	13	13	70	360	0	15	871	725	51	776	0	985	19	0	369	41	57	2	0	1015	206	17	101	113	2	1270	143	9	13	3	180	27	9	6	2	13	148	250	758	168	720	120	264	105	212	0	182	12	12	610	91	17	2	31	2	184	22	47	12	16	62	140	748	33	1465	103	87	96	17	264	87	76	6	0	14	51	44	874	135	589	19	41	0	69	NA
3b482b3f9da81db80a221a66031aa159	2197	2260	2486	993	1004	156	890	2439	796	1477	2297	2018	2143	1829	1104	1832	667	1333	1227	921	1618	894	2175	1620	1183	4849	196	1704	2724	2032	1253	1171	1247	1009	277	1618	1918	315	604	1456	1597	1897	1364	993	3115	2256	1341	2256	1592	459	832	2014	2470	1517	894	3501	3216	2257	2819	3233	3147	730	1071	2143	761	3558	3319	1693	1071	149	1326	714	3017	2524	1969	3578	3582	1795	1028	1475	3706	397	3152	2427	1858	1552	897	587	1217	2483	1600	2548	1274	1306	660	944	897	1624	3607	1715	1439	1023	2488	387	2343	3646	1820	1608	NA
df45ff114fca650e2150e761e33d947f	2068	3426	3226	2432	1384	76	1468	7047	960	4726	1179	134	1197	2475	226	2082	131	1783	1799	1424	196	1609	1172	1469	4641	3562	79	782	3402	2117	2447	2151	153	1283	77	919	3730	121	1406	2901	1486	2328	725	1080	941	184	5688	3321	1358	878	1198	2279	1240	7389	1883	3289	2563	1252	1243	5619	6775	860	1865	205	1584	9407	4575	70	1122	852	69	1517	3299	653	2902	275	5288	165	415	223	1189	161	10019	4344	197	31	1764	3082	1349	409	1008	1667	6237	396	558	518	1940	992	189	1827	339	21	7819	849	2061	10744	1785	2617	NA
