	observed_features
TL1a_FP_162	74
TL1a_FP_88	126
TL1a_FP_230	127
TL1a_FP_89	63
TL1a_FP_234	79
TL1a_FP_128	126
TL1a_DTT_268_Repeat	119
TL1a_FP_129	138
TL1a_FP_287	135
TL1a_FP_86	116
TL1a_FP_198	87
TL1a_FP_161	91
TL1a_FP_266	128
TL1a_FP_197	170
TL1a_FP_159	105
TL1a_FP_132	127
TL1a_FP_130	113
TL1a_DTT_269_Repeat	67
TL1a_FP_90	112
TL1a_FP_195	113
TL1a_FP_158	113
TL1a_DTT_127_Repeat	149
TL1a_DTT_157_Repeat	119
TL1a_FP_231	141
TL1a_FP_284	107
TL1a_FP_267	145
TL1a_DTT_130_Repeat	84
TL1a_FP_269	105
TL1a_FP_288	108
TL1a_DTT_196_Repeat	74
TL1a_DTT_90_Repeat	86
TL1a_FP_87	89
TL1a_FP_196	128
TL1a_FP_131	108
TL1a_DTT_198_Repeat	88
TL1a_DTT_88_Repeat	84
TL1a_FP_270	93
TL1a_FP_160	138
TL1a_FP_194	74
TL1a_FP_286	148
TL1a_DTT_89_Re_extracted	162
TL1a_DTT_197_Repeat	81
TL1a_FP_232	79
TL1a_DTT_270_Repeat	134
TL1a_FP_233	115
TL1a_FP_268	164
TL1a_FP_285	150
TL1a_DTT_284	132
TL1a_DTT_231	129
TL1a_FP_85	116
TL1a_DTT_267	155
TL1a_FP_127	126
TL1a_DTT_160	153
TL1a_DTT_234	124
TL1a_DTT_158	132
TL1a_FP_193	81
TL1a_FP_265	106
TL1a_DTT_129	140
TL1a_DTT_265	147
TL1a_DTT_285	154
TL1a_DTT_159	151
TL1a_FP_157	113
TL1a_DTT_287	99
TL1a_DTT_233	107
TL1a_DTT_195	114
TL1a_DTT_85	124
TL1a_DTT_86	112
TL1a_DTT_193	141
TL1a_DTT_286	160
TL1a_DTT_230	144
TL1a_DTT_128	120
TL1a_DTT_283	158
TL1a_DTT_194	152
TL1a_DTT_229	135
TL1a_FP_283	153
TL1a_FP_229	120
TL1a_DTT_87	118
TL1a_DTT_266	199
TL1a_DTT_232	66
TL1A_DTT_673	180
TL1A_FP_626	154
TL1A_DTT_675	145
TL1A_DTT_626	159
TL1A_DTT_629	63
TL1A_FP_677	111
TL1A_FP_674	156
TL1A_FP_678	110
TL1A_DTT_674	164
TL1A_DTT_627	164
TL1A_FP_625	132
TL1A_FP_630	178
TL1A_FP_673	144
TL1A_FP_675	155
TL1A_DTT_630	145
TL1A_DTT_628	167
TL1A_FP_627	158
