OTU ID,TL1a_DTT_173_Repeat,TL1a_DTT_76_Repeat,TL1a_DTT_172_Re_extracted,TL1a_DTT_169_Re_extracted,TL1a_DTT_245_Repeat,TL1a_DTT_244_Repeat,TL1a_DTT_142_Repeat,TL1a_DTT_78,TL1a_DTT_139,TL1a_DTT_171,TL1a_DTT_209,TL1a_DTT_74,TL1a_DTT_141,TL1a_DTT_210,TL1a_DTT_241,TL1a_DTT_243,TL1a_DTT_205,TL1a_DTT_206,TL1a_DTT_64,TL1a_DTT_62,TL1a_DTT_65,TL1a_DTT_242,TL1a_DTT_73,TL1a_DTT_63,TL1a_DTT_207,TL1a_DTT_75,TL1a_DTT_246,TL1a_DTT_97,TL1a_DTT_66,TL1a_DTT_140,TL1a_DTT_99,TL1a_DTT_77,TL1a_DTT_98,TL1a_DTT_170,TL1a_DTT_208,TL1A_DTT_642,TL1A_DTT_640,TL1A_DTT_638,TL1A_DTT_641,TL1A_DTT_639,TL1A_DTT_687,TL1A_DTT_689,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,36,167,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,0,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,2876,5857,11124,9565,5052,8021,695,5200,47724,42270,1869,35838,59860,6936,47083,62136,125245,28929,3023,63419,4069,54439,35884,31989,46795,18296,11680,42462,2576,37601,48865,7595,35817,36552,1837,4824,5089,2842,4346,16917,4997,1623,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,22,4,11,181,0,0,0,18,92,86,0,77,131,0,0,0,0,0,8,108,14,0,90,73,0,66,134,151,0,144,141,12,102,71,0,68,59,23,57,167,42,16,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,40,296,16341,21905,567,872,3310,28,17,32,5,18,14,438,322,27,18,89,11,4,6,17,44,11,158,10,8838,16,38,38,217,11,44,275,5534,5007,3186,44,2172,8,0,543,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,0,45,6888,423,0,162,35,0,0,4,0,3,0,0,7,0,1,0,0,2,0,3,4,0,0,0,80,0,0,0,4,0,3,13,0,22,11,0,4,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,0,0,191,5008,0,0,12,0,4,0,0,45,0,0,31,3,1,0,0,0,0,0,0,0,6,0,2828,2,0,0,134,0,24,270,45,2,4,0,0,0,0,32,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,380,824,415,19,0,0,14,1245,6670,7297,0,6207,9486,0,11,0,0,0,253,13047,549,0,8106,6641,0,3296,0,5273,512,4006,7343,1687,5306,4984,0,942,1065,708,1100,2674,1161,228,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,9,0,0,0,0,13,4,0,11,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,11,91,3023,1232,0,30,400,427,445,130,0,411,518,0,46,4,0,6,252,330,233,0,300,213,16,165,1137,543,190,467,562,530,273,227,37,473,366,85,275,477,101,40,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,17,10,0,6,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,0,0,105,2460,189,9,0,0,2,0,11,4,0,1,68,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,66,68,8,5,0,8,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,48,49,363,187,0,0,86,156,906,1209,0,884,909,0,0,0,0,0,31,634,149,0,1077,571,0,499,60,1239,124,893,1478,274,809,1026,0,722,898,563,703,5270,765,248,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,0,24,115,15,0,26,0,0,5,0,0,17,0,38,14,3,1,0,2,0,0,0,0,0,0,9,0,28,7,50,0,0,12,3,37,35,18,0,4,0,0,22,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,18,82,531,497,41,68,379,0,5,0,0,3,3,5,29,4,7,62,0,0,0,0,9,0,18,8,78,0,0,3,13,0,0,21,1975,38,16,0,6,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,0,36,0,0,0,34,0,0,17,14,5,5,39,0,33,12,26,18,39,7,19,11,17,7,18,7,52,0,10,0,17,16,25,3,11,10,10,0,7,7,3,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Candidatus_Arthromitus,781,3355,29,326,694,120,13603,0,11,62,3,5,4,0,26,6,1,25,4,2,0,6,56,2,5,0,32,5,25,6,5,6,44,14,57,0,0,0,0,0,0,10,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1,0,0,54,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,17,213,38,4,72,0,0,0,0,6,0,0,121,3,0,0,0,0,0,5,0,0,19,0,286,0,0,0,34,0,0,33,8,35,13,0,2,0,0,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium,0,0,3,0,0,0,0,9,0,4,5,5,0,0,0,0,2,19,47,2,4,0,16,0,8,0,0,3,33,6,3,12,4,0,4,0,7,5,3,7,10,16,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,0,6,40,61,7,0,0,24,37,39,4,28,60,0,73,71,147,34,0,23,9,39,21,18,58,13,11,75,2,25,47,9,55,33,0,11,13,4,9,55,40,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,0,40,3,6,0,0,0,0,15,11,0,28,43,29,0,9,54,12,0,3,3,0,5,3,26,3,4,46,0,0,20,0,19,7,0,0,8,0,4,0,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,399,549,446,1419,591,308,157,353,957,1230,445,1084,1061,1197,962,877,1371,540,1148,4075,1124,4606,1297,578,825,798,1607,904,944,672,1010,720,999,1526,123,144,99,35,103,93,21,35,
