index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobia
Mucosal,160.0,26280.0,7.0,173.0,6699.0,3310.0,477.0
Luminal,1159.0,32649.0,599.0,64.0,15344.0,5414.0,145.0
