index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobia
Cecum,389.0,25978.0,17.0,469.0,16795.0,1659.0,262.0
Distal_Colon,238.0,29903.0,49.0,1745.0,10828.0,929.0,134.0
Ileum,807.0,30669.0,50.0,77.0,14817.0,4247.0,6.0
Jejunum,993.0,34873.0,470.0,81.0,18353.0,5474.0,220.0
Duodenum,1673.0,32390.0,1278.0,33.0,12803.0,6525.0,208.0
Proximal_Colon,227.0,27365.0,34.0,444.0,12883.0,1139.0,23.0
