"","k__Bacteria.p__Actinobacteria","k__Bacteria.p__Bacteroidetes","k__Bacteria.p__Cyanobacteria","k__Bacteria.p__Deferribacteres","k__Bacteria.p__Firmicutes","k__Bacteria.p__Proteobacteria","k__Bacteria.p__Verrucomicrobia"
"Cecum_L",389,25978,17,469,16795,1659,262
"Distal_Colon_L",238,29903,49,1745,10828,929,134
"Proximal_Colon_L",227,27365,34,444,12883,1139,23
"Cecum_M",75,23146,53,18547,12395,851,33
"Distal_Colon_M",89,28461,45,9129,12449,994,251
"Proximal_Colon_M",53,27157,74,2964,16930,837,60
