index,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacterota
Proximal_Colon,27160.0,16928.0,53.0,63.0,497.0,340.0,74.0,2964.0
Jejunum,27470.0,7652.0,184.0,493.0,3170.0,198.0,7.0,91.0
Cecum,23150.0,12394.0,76.0,34.0,431.0,420.0,53.0,18544.0
Duodenum,26746.0,7375.0,182.0,360.0,3177.0,226.0,8.0,197.0
Distal_Colon,28467.0,12446.0,90.0,264.0,682.0,312.0,45.0,9125.0
Ileum,24614.0,5000.0,118.0,592.0,2975.0,184.0,6.0,230.0
