"","k__Bacteria.p__Actinobacteria","k__Bacteria.p__Bacteroidetes","k__Bacteria.p__Cyanobacteria","k__Bacteria.p__Deferribacteres","k__Bacteria.p__Firmicutes","k__Bacteria.p__Proteobacteria","k__Bacteria.p__Verrucomicrobia"
"Ileum_L",807,30669,50,77,14817,4247,6
"Jejunum_L",993,34873,470,81,18353,5474,220
"Duodenum_L",1673,32390,1278,33,12803,6525,208
"Ileum_M",117,24617,6,230,5000,3159,589
"Jejunum_M",184,27477,7,91,7651,3369,484
"Duodenum_M",179,26751,8,197,7377,3404,356
