index,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Deferribacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Verrucomicrobia
Mucosal,73.0,26258.0,58.0,10213.0,13934.0,894.0,115.0
Luminal,285.0,27755.0,34.0,886.0,13499.0,1242.0,140.0
